journal,year,volume,issue,editor_id,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes,inst_CHECK
bitr,1969,1,1,1809,james,a,peters,ae,ae,smithsonian institution national museum of natural history,division of reptiles and amphibians,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1969,1,1,3809,william,louid,stern,eic,eic,university of maryland,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1970,2,1,3809,william,louid,stern,eic,eic,university of maryland,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1971,3,1,3809,william,louid,stern,eic,eic,university of maryland,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1972,4,1,3809,william,louid,stern,eic,eic,university of maryland,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1973,5,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1973,5,1,1863,jay,c,shaffer,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1974,6,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1974,6,1,1863,jay,c,shaffer,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1975,7,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1975,7,1,1863,jay,c,shaffer,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1976,8,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1976,8,1,443,carl,h,ernst,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1976,8,1,1863,jay,c,shaffer,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1977,9,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1977,9,1,443,carl,h,ernst,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1977,9,1,1863,jay,c,shaffer,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1978,10,1,1491,john,d,bultman,ae,ae,usonr naval research laboratory,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1978,10,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1978,10,1,443,carl,h,ernst,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1978,10,1,1863,jay,c,shaffer,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1979,11,1,1491,john,d,bultman,ae,ae,usonr naval research laboratory,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1979,11,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1979,11,1,443,carl,h,ernst,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1980,12,1,1491,john,d,bultman,ae,ae,usonr naval research laboratory,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1980,12,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1980,12,1,443,carl,h,ernst,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1981,13,1,1491,john,d,bultman,ae,ae,usonr naval research laboratory,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1981,13,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1981,13,1,443,carl,h,ernst,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,3674,vaughn,c,anothony,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,1978,kirt,t,beiningen,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,949,edwin,l,cooper,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,2645,ned,e,fogle,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,469,calvin,l,groen,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,3080,robert,c,haase,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,1645,janice,s,hughes,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,1325,h,a,larkins,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,2506,mercer,h,patriarche,e,eic,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,2227,lee,c,redmond,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1981,1,1,3250,robert,w,wiley,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1982,14,1,1491,john,d,bultman,ae,ae,usonr naval research laboratory,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1982,14,1,2359,michael,g,emsley,eic,eic,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
bitr,1982,14,1,443,carl,h,ernst,ae,ae,george mason university,NA,NA,virginia,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,3674,vaughn,c,anothony,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,1978,kirt,t,beiningen,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,949,edwin,l,cooper,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,2645,ned,e,fogle,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,469,calvin,l,groen,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,3080,robert,c,haase,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,1325,h,a,larkins,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,2506,mercer,h,patriarche,e,eic,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,1018,eric,d,prince,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,2227,lee,c,redmond,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1982,2,1,3250,robert,w,wiley,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1983,15,1,1491,john,d,bultman,ae,ae,usonr naval research laboratory,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
bitr,1983,15,1,978,e,raymond,heithaus,eic,eic,kenyon college,NA,NA,ohio,usa,NA,usa,NA,NA,na / na,NA
bitr,1983,15,1,1901,jay,s,tashiro,ae,ae,kenyon college,NA,NA,ohio,usa,NA,usa,NA,NA,na / na,NA
najfm,1983,3,1,2982,ronald,j,berg,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1983,3,1,3109,robert,m,jenkins,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1983,3,1,2506,mercer,h,patriarche,e,eic,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
