"JOURNAL","YEAR","VOLUME","ISSUE","TITLE","NAME","INST","COUNTRY"
"BITR",1993,25,1,"SE","John E D Fox","Curtin University"," Australia"
"BITR",1994,26,1,"SE","John E D Fox","Curtin University"," Australia"
"BITR",1995,27,1,"SE","John E D Fox","Curtin University"," Australia"
"BITR",1996,28,1,"SE","John E D Fox","Curtin University"," Australia"
"BITR",1997,29,1,"SE","John E D Fox","Curtin University"," Australia"
"BITR",1998,30,1,"SE","John E D Fox","Curtin University"," Australia"
"BITR",1999,31,1,"SE","John E D Fox","Curtin University"," Australia"
"BITR",1999,31,1,"SE","Dennis O'Dowd","Monash University"," Australia"
"BITR",2001,33,1,"SE","Dennis O'Dowd","Monash University"," Australia"
"BITR",2005,37,1,"SE","William Magnusson","INPA"," Brazil"
"BITR",2006,38,1,"SE","William Magnusson","INPA"," Brazil"
"BITR",2007,39,1,"SE","William Magnusson","INPA"," Brazil"
"BITR",2008,40,1,"SE","William Magnusson","INPA"," Brazil"
"BITR",1998,30,1,"SE","David Clark","La Selva Station"," CostaRica"
"BITR",1999,31,1,"SE","David Clark","La Selva Station"," CostaRica"
"BITR",2000,32,1,"SE","David Clark","La Selva Station"," CostaRica"
"BITR",1999,31,1,"SE","John Ewel","USDA Forest Service"," USA"
"BITR",2000,32,1,"SE","John Ewel","USDA Forest Service"," USA"
"BITR",2001,33,1,"SE","John Ewel","USDA Forest Service"," USA"
"BITR",1998,30,1,"SE","David Bowman","N Territory University","Australia"
"BITR",1999,31,1,"SE","David Bowman","N Territory University","Australia"
"BITR",2000,32,1,"SE","David Bowman","N Territory University","Australia"
"BITR",2001,33,1,"SE","Samantha Setterfield","Northern Territory University","Australia"
"BITR",2002,34,1,"SE","Samantha Setterfield","Northern Territory University","Australia"
"BITR",2002,34,1,"SE","David Lamb","University of Queensland","Australia"
"BITR",2003,35,1,"SE","Samantha Setterfield","Northern Territory University","Australia"
"BITR",2003,35,1,"SE","David Lamb","University of Queensland","Australia"
"BITR",2004,36,1,"SE","Samantha Setterfield","Northern Territory University","Australia"
"BITR",2005,37,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2006,38,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2007,39,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2008,40,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2008,40,1,"SE","Luz Boyero","James Cook University Townsville","Australia"
"BITR",2009,41,1,"SE","Donald Franklin","Charles Darwin University Darwin","Australia"
"BITR",2009,41,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2009,41,1,"SE","Luz Boyero","James Cook University Townsville","Australia"
"BITR",2009,41,1,"SE","Corey Bradshaw","University of Adelaide","Australia"
"BITR",2010,42,1,"SE","Donald Franklin","Charles Darwin University Darwin","Australia"
"BITR",2010,42,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2010,42,1,"SE","Luz Boyero","James Cook University Townsville","Australia"
"BITR",2011,43,1,"SE","Donald Franklin","Charles Darwin University Darwin","Australia"
"BITR",2011,43,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2011,43,1,"SE","Luz Boyero","James Cook University Townsville","Australia"
"BITR",2012,44,1,"SE","Donald Franklin","Charles Darwin University Darwin","Australia"
"BITR",2012,44,1,"SE","Frederieke Kroon","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2012,44,1,"SE","David Westcott","Commonwealth Scientific and Industrial Research Organisation","Australia"
"BITR",2013,45,1,"SE","Donald Franklin","Charles Darwin University Darwin","Australia"
"BITR",2013,45,1,"SE","Oscar Venter","James Cook University","Australia"
"BITR",2012,44,1,"SE","Ingrid Parmentier","University Libre de Bruxelles","Belgium "
"BITR",2008,40,1,"SE","Luis F Aguirre","Universidad Mayor de San Simon Cochabamba","Bolivia"
"BITR",2009,41,1,"SE","Luis F Aguirre","Universidad Mayor de San Simon Cochabamba","Bolivia"
"BITR",2010,42,1,"SE","Luis F Aguirre","Universidad Mayor de San Simon Cochabamba","Bolivia"
"BITR",2011,43,1,"SE","Luis F Aguirre","Universidad Mayor de San Simon Cochabamba","Bolivia"
"BITR",2008,40,1,"SE","Marielos Pena-Claros","Instituto Boliviano de Investigacion Forestal","Bolivia "
"BITR",2009,41,1,"SE","Marielos Pena-Claros","Instituto Boliviano de Investigacion Forestal","Bolivia "
"BITR",2010,42,1,"AE","Marielos Pena-Claros","Instituto Boliviano de Investigacion Forestal","Bolivia "
"BITR",2011,43,1,"AE","Marielos Pena-Claros","Instituto Boliviano de Investigacion Forestal","Bolivia "
"BITR",2012,44,1,"AE","Marielos Pena-Claros","Instituto Boliviano de Investigacion Forestal","Bolivia "
"BITR",2013,45,1,"AE","Marielos Pena-Claros","Instituto Boliviano de Investigacion Forestal","Bolivia "
"BITR",1997,29,1,"SE","Paulo Oliveira","University Estadual de Campinas","Brazil"
"BITR",1998,30,1,"SE","William F Laurance","INPA","Brazil"
"BITR",1998,30,1,"SE","Paulo Oliveira","University Estadual de Campinas","Brazil"
"BITR",1999,31,1,"SE","William F Laurance","INPA","Brazil"
"BITR",2000,32,1,"SE","William F Laurance","INPA","Brazil"
"BITR",2002,34,1,"SE","Ary T de Oliveira-Filho","Universidade Federal de Lavras","Brazil"
"BITR",2002,34,1,"SE","Paulo Oliveira","University Estadual de Campinas","Brazil"
"BITR",2003,35,1,"SE","Ary T de Oliveira-Filho","Universidade Federal de Lavras","Brazil"
"BITR",2003,35,1,"SE","Paulo Oliveira","University Estadual de Campinas","Brazil"
"BITR",2004,36,1,"SE","Ary T de Oliveira-Filho","Universidade Federal de Lavras","Brazil"
"BITR",2004,36,1,"SE","Paulo Oliveira","University Estadual de Campinas","Brazil"
"BITR",2006,38,1,"SE","Mauro Galetti","UNESP University Estadual Paulista","Brazil"
"BITR",2006,38,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2007,39,1,"SE","Mauro Galetti","UNESP University Estadual Paulista","Brazil"
"BITR",2007,39,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2008,40,1,"SE","Mauro Galetti","UNESP University Estadual Paulista","Brazil"
"BITR",2008,40,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2009,41,1,"SE","Mauro Galetti","UNESP University Estadual Paulista","Brazil"
"BITR",2009,41,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2010,42,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2011,43,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2012,44,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
