"","JOURNAL","YEAR","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","UNIT","CITY","STATE","COUNTRY","check"
"1","CONBIO",1987,3034,"Raymon",NA,"Dasmann","NoInst",NA,"Santa Cruz","California","USA","2x"
"2","CONBIO",1987,680,"David",NA,"Ehrenfeld","Rutgers University",NA,"New Brunswick","New Jersey","USA","2x"
"3","CONBIO",1987,2380,"Madhav",NA,"Gadgil","Indian Institue of Science",NA,"Bangalore","Karnataka","India","2x"
"4","CONBIO",1987,1188,"Gordon",NA,"Grigg","University of Sydney",NA,"Sydney","New South Wales","Australia","2x"
"5","CONBIO",1987,3109,"Robert",NA,"Jenkins","The Nature Conservancy",NA,"Arlington","Virginia","USA","2x"
"6","CONBIO",1987,3147,"Robert",NA,"May","Princeton University",NA,"Princeton","New Jersey","USA","2x"
"7","CONBIO",1987,335,"Bryan",NA,"Norton","University of Southern Florida",NA,"Tampa","Florida","USA","2x"
"8","CONBIO",1987,1250,"G","Carlton","Ray","University of Virginia",NA,"Charlottesville","Virginia","USA","2x"
"9","CONBIO",1987,3942,"Stephen",NA,"Schneider","National Center for Atmospheric Research",NA,"Santa Barbara","California","USA","2x"
"10","CONBIO",1987,1361,"Herman","H","Shugart","University of Virginia",NA,"Charlottesville","Virginia","USA","2x"
"11","CONBIO",1987,3241,"Robert",NA,"Vrijenhoek","Rutgers University",NA,"New Brunswick","New Jersey","USA","2x"
"12","CONBIO",1987,227,"Arthur",NA,"Westing","Stockholm International Peace Research Institute",NA,"Stockholm","Uppland","USA","2x"
"13","CONBIO",1987,375,"Bruce",NA,"Wilcox","Stanford University",NA,"Stanford","California","USA","2x"
"14","CONBIO",1988,935,"Eric",NA,"Bolen","Texas Tech University",NA,"Lubbock","Texas","USA","2x"
"15","CONBIO",1988,1224,"Guillermo","W","Mann","Conservation International",NA,NA,NA,"USA","spotcheck"
"16","CONBIO",1988,1229,"Gary","K","Meffe","Savannah River Ecology Laboratory",NA,"Aiken","South Carolina","USA","2x"
"17","CONBIO",1988,867,"Daniel",NA,"Simberloff","Florida State University",NA,NA,NA,"USA","spotcheck"
"18","CONBIO",1989,1580,"Jerry",NA,"Franklin","USDA Forest Service",NA,NA,NA,"USA","2x"
"19","CONBIO",1989,3339,"Stephen",NA,"Gliessman","University of California, Santa Cruz",NA,"Santa Cruz","California","USA","2x"
"20","CONBIO",1989,1188,"Gordon",NA,"Grigg","University of Queensland",NA,"Brisbane","Queensland","Australia","2x"
"21","CONBIO",1989,2168,"Larry",NA,"Harris","University of Florida",NA,"Gainesville","Florida","USA","2x"
"22","CONBIO",1989,3367,"Susan","K","Jacobson","University of Florida",NA,"Gainesville","Florida","USA","2x"
"23","CONBIO",1989,3147,"Robert",NA,"May","Oxford University",NA,"Oxford","England","UK","2x"
"24","CONBIO",1989,335,"Bryan",NA,"Norton","New College of the University of South Florida",NA,"Sarasota",NA,"USA","2x"
"25","CONBIO",1989,809,"David","W","Orr","Meadowcreek Project",NA,"Fox","Arkansas","USA","2x"
"26","CONBIO",1989,912,"David",NA,"Western","New York Zoological Society",NA,NA,NA,"USA","spotcheck"
"27","CONBIO",1990,935,"Eric",NA,"Bolen","University of North Carolina, Wilmington",NA,"Wilmington","North Carolina","USA","2x"
"28","CONBIO",1990,58,"Andrew","P","Dobson","Princeton University",NA,"Princeton","New Jersey","USA","2x"
"29","CONBIO",1990,3364,"Stephen",NA,"Hubbell","Princeton University",NA,"Princeton","New Jersey","USA","2x"
"30","CONBIO",1990,335,"Bryan",NA,"Norton","Georgia Institute of Technology",NA,"Atlanta","Georgia","USA","2x"
"31","CONBIO",1991,1047,"Fred",NA,"Allendorf","University of Melbourne",NA,NA,NA,"USA","2x"
"32","CONBIO",1991,1616,"James",NA,"Hall","Oregon State University",NA,"Corvallis","Oregon","USA","2x"
"33","CONBIO",1991,2185,"Les",NA,"Kaufman","New England Aquarium",NA,"Boston","Massachusetts","USA","2x"
"34","CONBIO",1991,1229,"Gary","K","Meffe","University of Montana",NA,"Missoula","Montana","USA","2x"
"35","CONBIO",1991,796,"Dennis",NA,"Murphy","Stanford University",NA,"Stanford","California","USA","2x"
"36","CONBIO",1991,3176,"Reed",NA,"Noss","Oregon State University",NA,"Corvallis","Oregon","USA","2x"
"37","CONBIO",1991,809,"David","W","Orr","Oberlin College",NA,"Oberlin","Ohio","USA","2x"
"38","CONBIO",1991,227,"Arthur",NA,"Westing","Westing Associates",NA,"Putney","Vermont","USA","2x"
"39","CONBIO",1991,918,"David",NA,"Wilcove","Wilderness Society",NA,NA,NA,"USA","2x"
"40","CONBIO",1992,2773,"Peter",NA,"Brussard","University of Nevada, Reno",NA,"Reno","Nevada","USA","2x"
"41","CONBIO",1992,1073,"Fredrick",NA,"Grassle","Rutgers University",NA,"New Brunswick","New Jersey","USA","2x"
"42","CONBIO",1992,2825,"Philip","W","Hedrick","Pennsylvania State University",NA,"State College","Pennsylvania","USA","2x"
"43","CONBIO",1992,1660,"James",NA,"Karr","University of Washington",NA,"Seattle","Washington","USA","2x"
"44","CONBIO",1992,2560,"Mark",NA,"Shaffer","Wilderness Society",NA,NA,NA,"USA","2x"
"45","CONBIO",1992,918,"David",NA,"Wilcove","Environmental Defense Fund",NA,NA,NA,"USA","2x"
"46","CONBIO",1993,2825,"Philip","W","Hedrick","Arizona State University",NA,"Tempe","Arizona","USA","2x"
"47","CONBIO",1993,734,"David",NA,"Jablonski","University of Chicago",NA,NA,NA,"USA","spotcheck"
"48","CONBIO",1993,813,"David","L","Pearson","Arizona State University",NA,"Tempe","Arizona","USA","2x"
"49","CONBIO",1993,3942,"Stephen",NA,"Schneider","Stanford University",NA,"Stanford","California","USA","2x"
"50","CONBIO",1994,1150,"Gary","E","Belovsky","Utah State University",NA,"Logan","Utah","UK","2x"
"51","CONBIO",1994,258,"Blair",NA,"Csuti","University of Idaho",NA,"Moscow","Idaho","USA","2x"
"52","CONBIO",1994,1064,"Frank",NA,"Davis","University of California, Santa Barbara",NA,"Santa Barbara","California","USA","2x"
"53","CONBIO",1994,3079,"R","Edward","Grumbine","University of California, Santa Cruz","Extension","Santa Clara","California","USA","2x"
"54","CONBIO",1994,528,"Curt",NA,"Meine","International Crane Foundation",NA,"Baraboo","Wisconsin","USA","2x"
"55","CONBIO",1994,817,"David",NA,"Perry","Oregon State University",NA,"Corvallis","Oregon","USA","2x"
"56","CONBIO",1994,1838,"John","G","Robinson","Wildlife Conservation Society",NA,NA,NA,"USA","2x"
"57","CONBIO",1994,1355,"Holmes",NA,"Rolstoni","Colorado State University",NA,"Fort Colllins","Colorado","USA","2x"
"58","CONBIO",1994,2686,"Nils",NA,"Ryman","Stockholm University",NA,"Stockholm","Uppland","Sweden","2x"
"59","CONBIO",1994,856,"Denis","A","Saunders","CSIRO","Division of Wildlife and Ecology",NA,NA,"Australia","2x"
"60","CONBIO",1994,1883,"James",NA,"Spotila","Drexel University",NA,NA,NA,"USA","spotcheck"
"61","CONBIO",1995,1463,"Joel",NA,"Berger","University of Nevada, Reno",NA,"Reno","Nevada","USA","2x"
"62","CONBIO",1995,20,"Andrew","R","Blaustein","Oregon State University",NA,"Corvallis","Oregon","USA","2x"
"63","CONBIO",1995,2144,"Lenore",NA,"Fahrig","Carleton University",NA,"Ottowa","Ontario","Canada","spotcheck"
"64","CONBIO",1995,3351,"Susan",NA,"Harrison","University of California, Davis",NA,"Davis","California","USA","spotcheck"
"65","CONBIO",1995,739,"Deborah",NA,"Jensen","The Nature Conservancy",NA,"Arlington","Virginia","USA","2x"
"66","CONBIO",1995,2185,"Les",NA,"Kaufman","Boston University Marine Program",NA,"Boston","Massachusetts","USA","2x"
"67","CONBIO",1995,2613,"Mary","F","Willson","USDA Forest Service",NA,NA,NA,"USA","2x"
"68","CONBIO",1996,3769,"William","C","McComb","Oregon State University",NA,"Corvallis","Oregon","USA","2x"
"69","CONBIO",1996,3455,"Scott","K","Robinson","Illinois Natural History Survey",NA,NA,NA,"USA","spotcheck"
"70","CONBIO",1996,2921,"Pamela","S","Soltis","Washington State University",NA,NA,NA,"USA","spotcheck"
"71","CONBIO",1997,455,"Christopher",NA,"Frissell","Rutgers University",NA,"New Brunswick","New Jersey","USA","2x"
"72","CONBIO",1997,1598,"Joshua",NA,"Ginsberg","Wildlife Conservation Society",NA,NA,NA,"USA","2x"
"73","CONBIO",1997,3769,"William","C","McComb","University of Massachusetts",NA,"Amherst","Massachusetts","USA","2x"
"74","CONBIO",1998,3280,"Steven","R","Beissinger","University of California, Berkeley",NA,"Berkeley","California","USA","2x"
"75","CONBIO",1998,258,"Blair",NA,"Csuti","Washington Park Zoo",NA,"Portland","Oregon","USA","2x"
"76","CONBIO",1998,2795,"Philip","M","Dixon","Savannah River Ecology Laboratory",NA,"Aiken","South Carolina","USA","2x"
"77","CONBIO",1998,455,"Christopher",NA,"Frissell","University of Montana",NA,"Missoula","Montana","USA","2x"
"78","CONBIO",1998,2016,"Kent",NA,"Holsinger","University of Connecticut",NA,"Storrs","Connecticut","USA","2x"
"79","CONBIO",1998,3121,"Richard","L","Knight","Colorado State University",NA,"Fort Colllins","Colorado","USA","2x"
"80","CONBIO",1998,1229,"Gary","K","Meffe","University of Florida",NA,"Gainesville","Florida","USA","2x"
"81","CONBIO",1998,533,"Craig",NA,"Moritz","University of Queensland",NA,"Brisbane","Queensland","Australia","2x"
"82","CONBIO",1998,3172,"Richard",NA,"Neves","Virginia Tech",NA,"Blacksburg","Virginia","USA","2x"
"83","CONBIO",1998,3197,"Richard","B","Primack","Boston University",NA,NA,NA,"USA","spotcheck"
"84","CONBIO",1998,2073,"Kent","H","Redford","Wildlife Conservation Society",NA,NA,NA,"USA","2x"
"85","CONBIO",1998,3217,"Rebecca","R","Sharitz","University of Georgia",NA,"Athens","Georgia","USA","2x"
"86","CONBIO",1999,957,"Eric",NA,"Dinerstein","World Wildlife Fund",NA,NA,NA,"USA","2x"
"87","CONBIO",1999,2795,"Philip","M","Dixon","Iowa State University",NA,"Ames","Iowa","USA","2x"
"88","CONBIO",1999,2390,"Martha","J","Groom","University of Washington",NA,"Seattle","Washington","USA","spotcheck"
