journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,state,country,notes
AGRONOMY,1985,495,C,Cooper,King,Auburn ,Botany and Plant Pathology and Microbio,Leighton,Alabama,USA,
AGRONOMY,1986,495,C,Cooper,King,,,Leighton,Alabama,USA,
AGRONOMY,1987,495,C,Cooper,King,Auburn ,Botany and Plant Pathology and Microbio,Leighton,Alabama,USA,
AGRONOMY,1990,495,C,Cooper,King,Auburn ,Botany and Plant Pathology and Microbio,Leighton,Alabama,USA,
AGRONOMY,1997,635,Donald,NA,Brandon,UNKNOWN,UNKNOWN,Biggs,California,USA,
AGRONOMY,1985,660,D,Green,Cummins,UGA,Agronomy,NA,NA,USA,
AGRONOMY,1991,741,Douglas,NA,Johnson,UNKNOWN,UNKNOWN,Logan,Utah,USA,
AGRONOMY,1986,756,David,A,Lauer,USDA ,ARS,Prosser,Washington,USA,
AGRONOMY,1987,756,David,NA,Lauer,USDA ,ARS,Prosser,Washington,USA,
AGRONOMY,1989,756,David,NA,Lauer,USDA ,ARS,Prosser,Washington,USA,
AGRONOMY,1986,870,Danny,H,Smith,UNKNOWN,UNKNOWN,Argyle,Texas,USA,
AGRONOMY,1988,1351,Harold,NA,Reetz,Purdue,UNKNOWN,Monticello,Illinois,USA,
AGRONOMY,1990,1351,Harold,NA,Reetz,,,Monticello,Illinois,USA,
AGRONOMY,1985,1423,I,D,Teare,UF,College of Agriculture,Cairo,Georgia,USA,Quincy Fl?
AGRONOMY,1986,1423,I,D,Teare,UF,College of Agriculture,Cairo,Georgia,USA,Quincy Fl?
AGRONOMY,1988,1423,Iwan,NA,Teare,UF,IFAS,Cairo,Georgia,USA,Quincy Fl?
AGRONOMY,1991,1423,Iwan,NA,Teare,UF,IFAS,Cairo,Georgia,USA,Quincy Fl?
AGRONOMY,1994,1460,Jerry,NA,Bennett,UNKNOWN,UNKNOWN,Pike Road,Alabama,USA,
AGRONOMY,1994,1461,John,NA,Berdahl,USDA ,ARS,Bismarck,North Dakota,USA,
AGRONOMY,1985,1816,James,F,Power,University of Nebranska,Agronomy,Lincoln,Nebraska,USA,
AGRONOMY,1986,1816,James,F,Power,University of Nebranska,Agronomy,Lincoln,Nebraska,USA,
AGRONOMY,1989,1869,John,NA,Sij,Texas A and M,Agriculture Research Center,Vernon,Texas,USA,
