journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,state,country,notes
CONBIO,2005,2969,Resit,NA,Akcakaya,Applied Biomathematics,,East Setauket,New York,USA,Senior Scientist 
CONBIO,2006,2969,Resit,NA,Akcakaya,Applied Biomathematics,,East Setauket,New York,USA,Senior Scientist 
CONBIO,2007,2969,Resit,NA,Akcakaya,Applied Biomathematics,,East Setauket,New York,USA,Senior Scientist 
CONBIO,2008,2969,Resit,NA,Akcakaya,Applied Biomathematics,,East Setauket,New York,USA,Senior Scientist 
CONBIO,2009,2969,Resit,NA,Akcakaya,Stonybrook University ,Department of Ecology and Evolution,Stony Brook,New York,USA,
CONBIO,2012,2969,Resit,NA,Akcakaya,Stonybrook University ,Department of Ecology and Evolution,Stony Brook,New York,USA,
CONBIO,2013,2969,Resit,NA,Akcakaya,Stonybrook University ,Department of Ecology and Evolution,Stony Brook,New York,USA,
CONBIO,2014,2969,Resit,NA,Akcakaya,Stonybrook University ,Department of Ecology and Evolution,Stony Brook,New York,USA,
CONBIO,1991,1047,Fred,NA,Allendorf,University of Montana,Biology,Missoula,MT,USA,
CONBIO,1992,1047,Fred,NA,Allendorf,University of Montana,Biology,Missoula,MT,USA,
CONBIO,2001,3269,Sandy,J,Andelman,University of California,National Center for Ecological Analysis and Synthesis,Santa Barbara,California,USA,
CONBIO,2002,3269,Sandy,J,Andelman,University of California,National Center for Ecological Analysis and Synthesis,Santa Barbara,California,USA,
CONBIO,2003,3269,Sandy,J,Andelman,University of California,National Center for Ecological Analysis and Synthesis,Santa Barbara,California,USA,
CONBIO,2010,2756,Paul,L,Angermeier,Virginia polytechnic institute and state university ,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2011,2756,Paul,L,Angermeier,Virginia polytechnic institute and state university ,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2012,2756,Paul,L,Angermeier,Virginia polytechnic institute and state university ,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2013,2756,Paul,L,Angermeier,Virginia polytechnic institute and state university ,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2014,2756,Paul,L,Angermeier,Virginia polytechnic institute and state university ,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2002,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2003,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2004,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2005,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2006,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2007,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2008,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2009,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,2001,2756,Paul,L,Angermeier,Virginia Tech,Virginia Cooperat Fish & Wildlife Res Unit,Blacksburg,Virginia,USA,
CONBIO,1998,2277,Mary,V,Ashley,University of Illinois Chicago,Biology,Chicago,IL,USA,
CONBIO,1999,2277,Mary,V,Ashley,University of Illinois Chicago,Biology,Chicago,IL,USA,
CONBIO,2000,2277,Mary,V,Ashley,University of Illinois Chicago,Biology,Chicago,IL,USA,
CONBIO,2001,2277,Mary,V,Ashley,University of Illinois Chicago,Biology,Chicago,IL,USA,
CONBIO,2002,2277,Mary,V,Ashley,University of Illinois Chicago,Biology,Chicago,IL,USA,
CONBIO,2003,2277,Mary,V,Ashley,University of Illinois Chicago,Biology,Chicago,IL,USA,
CONBIO,2004,2277,Mary,V,Ashley,University of Illinois Chicago,Biology,Chicago,IL,USA,
CONBIO,2003,11,Andrew,NA,Balmford,University of Cambridge,Zoology,Cambridge,unknown,England,
CONBIO,2004,11,Andrew,NA,Balmford,University of Cambridge,Zoology,Cambridge,,England,
CONBIO,2005,11,Andrew,NA,Balmford,University of Cambridge,Zoology,Cambridge,,England,
CONBIO,2006,11,Andrew,NA,Balmford,University of Cambridge,Zoology,Cambridge,,England,
CONBIO,2007,11,Andrew,NA,Balmford,University of Cambridge,Zoology,Cambridge,,England,
CONBIO,2008,11,Andrew,NA,Balmford,University of Cambridge,Zoology,Cambridge,,England,
CONBIO,2009,11,Andrew,NA,Balmford,University of Cambridge,Zoology,Cambridge,,England,
CONBIO,2004,1453,Jordi,NA,Bascompte,Doñana Biological Station,Integrative Ecology Group,Sevilla,,Spain,
CONBIO,2005,1453,Jordi,NA,Bascompte,Doñana Biological Station,Integrative Ecology Group,Sevilla,,Spain,
CONBIO,2006,1453,Jordi,NA,Bascompte,Doñana Biological Station,Integrative Ecology Group,Sevilla,,Spain,
CONBIO,2007,1453,Jordi,NA,Bascompte,Doñana Biological Station,Integrative Ecology Group,Sevilla,,Spain,
CONBIO,2008,1453,Jordi,NA,Bascompte,Doñana Biological Station,Integrative Ecology Group,Sevilla,,Spain,
CONBIO,2009,1453,Jordi,NA,Bascompte,Doñana Biological Station,Integrative Ecology Group,Sevilla,,Spain,
CONBIO,1987,1976,Kamaijit,S,Bawa,University of Massachusetts Boston,Biology,Boston,Massachusetts,USA,
CONBIO,1988,1976,Kamaijit,S,Bawa,University of Massachusetts Boston,Biology,Boston,Massachusetts,USA,
CONBIO,1989,1976,Kamaijit,S,Bawa,University of Massachusetts Boston,Biology,Boston,Massachusetts,USA,
CONBIO,1990,1976,Kamaijit,S,Bawa,University of Massachusetts Boston,Biology,Boston,Massachusetts,USA,
CONBIO,1991,1976,Kamaijit,S,Bawa,University of Massachusetts Boston,Biology,Boston,Massachusetts,USA,
CONBIO,1992,1976,Kamaijit,S,Bawa,University of Massachusetts Boston,Biology,Boston,Massachusetts,USA,
CONBIO,1993,1976,Kamaijit,S,Bawa,University of Massachusetts Boston,Biology,Boston,Massachusetts,USA,
CONBIO,1999,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2000,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2001,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2002,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2003,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2004,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2005,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2006,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2007,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2008,3280,Steven,R,Beissinger,University of California Berkeley,Environmental Science and Policy Management ,Berkeley,California,USA,
CONBIO,2003,1150,Gary,E,Belovsky,Notre Dame,Environmental Research Center,Notre Dame,Indiana,USA,
CONBIO,2004,1150,Gary,E,Belovsky,Notre Dame,Environmental Research Center,Notre Dame,Indiana,USA,
CONBIO,2005,1150,Gary,E,Belovsky,Notre Dame,Environmental Research Center,Notre Dame,Indiana,USA,
CONBIO,2006,1150,Gary,E,Belovsky,Notre Dame,Environmental Research Center,Notre Dame,Indiana,USA,
CONBIO,2007,1150,Gary,E,Belovsky,Notre Dame,Environmental Research Center,Notre Dame,Indiana,USA,
CONBIO,2008,1150,Gary,E,Belovsky,Notre Dame,Environmental Research Center,Notre Dame,Indiana,USA,
CONBIO,2009,1150,Gary,E,Belovsky,Notre Dame,Environmental Research Center,Notre Dame,Indiana,USA,
CONBIO,1994,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,1995,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,1996,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,1997,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,1998,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,1999,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife, Logan,Utah,USA,
CONBIO,2000,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,2001,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,2002,1150,Gary,E,Belovsky,Utah State University,Fisheries and Wildlife,Logan,Utah,USA,
CONBIO,1995,1463,Joel,NA,Berger,University of Nevada Reno, Ecology Evolution & Conservation Biology,Reno,Nevada,USA,
CONBIO,1996,1463,Joel,NA,Berger,University of Nevada Reno, Ecology Evolution & Conservation Biology,Reno,Nevada,USA,
CONBIO,1997,1463,Joel,NA,Berger,University of Nevada Reno, Ecology Evolution & Conservation Biology,Reno,Nevada,USA,
CONBIO,1998,1463,Joel,NA,Berger,University of Nevada Reno, Ecology Evolution & Conservation Biology,Reno,Nevada,USA,
