journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,state,country,notes
CONBIO,2013,1463,Joel,NA,Berger,University of Montana Wildlife Conservation Society, Div Biol Sci,Missoula,MT,USA,University of Montana
CONBIO,2014,1463,Joel,NA,Berger,,,,,USA,NA
CONBIO,2012,2317,Mark,A,Burgman,University of Melbourne,Botany,Parkville,Victoria,Australia,NA
CONBIO,2013,2317,Mark,A,Burgman,,,,,Australia,NA
CONBIO,2014,2317,Mark,A,Burgman,,,,,Australia,NA
CONBIO,2013,3865,Douglas,A,Clark,University of Saskatchewan,UNKNOWN,Saskatoon,Saskatchewan,Canada,NA
CONBIO,2014,3865,Douglas,A,Clark,,,,,Canada,NA
CONBIO,2011,3887,J,Alan,Clark,Fordham University,UNKNOWN,New York City,New York,USA,NA
CONBIO,2012,3887,J,Alan,Clark,,,,,USA,NA
EVOL,2010,2139,Lynda,NA,Delph,Indiana University,UNKNOWN,Bloomington,IN,USA,NA
NEWPHYT,2013,2139,Lynda,F,Delph,Indiana University,UNKNOWN,Bloomington,IN,USA,NA
NEWPHYT,2014,2139,Lynda,F,Delph,,,,,USA,NA
NEWPHYT,2015,2139,Lynda,F,Delph,,Department of Biology,,,USA,NA
PLANTECOL,2011,1395,Ian,A,Dickie,Manaaki Whenua Landcare Research,UNKNOWN,Lincoln,UNKNOWN,New Zealand,NA
NEWPHYT,2013,1395,Ian,A,Dickie,Lincoln University ,,Lincoln,,New Zealand,NA
NEWPHYT,2014,1395,Ian,A,Dickie,Lincoln University ,,Lincoln,,New Zealand,NA
NEWPHYT,2015,1395,Ian,A,Dickie,,Bioprotect Res Ctr,,,New Zealand,NA
CONBIO,2012,261,Brett,NA,Dickson,Northern Arizona University,UNKNOWN,Flagstaff,Arizona,USA,NA
CONBIO,2013,261,Brett,NA,Dickson,,,,,USA,NA
CONBIO,2014,261,Brett,NA,Dickson,,,,,USA,NA
BITR,2013,672,Donald,NA,Drake,University of Hawaii Manoa,Botany,Honolulu,Hawaii,USA,NA
CONBIO,2014,672,Donald,NA,Drake,University of Hawaii Manoa,,Honolulu,Hawaii,USA,NA
NEWPHYT,2011,1605,J,H,Graham,University of Florida,UNKNOWN,Lake Alfred ,Florida,USA,NA
NEWPHYT,2012,1605,J,H,Graham,,,,Florida,USA,NA
NEWPHYT,2013,1605,J,H,Graham,,,,Florida,USA,NA
NEWPHYT,2014,1605,J,H,Graham,,,,Florida,USA,NA
NEWPHYT,2015,1605,Jim,H,Graham,,,,Florida,USA,NA
CONBIO,2010,3598,Tara,NA,Martin,CSIRO,UNKNOWN,Dutton Park,Queensland,Australia,NA
CONBIO,2011,3598,Tara,NA,Martin,,,,,Australia,NA
CONBIO,2012,3598,Tara,NA,Martin,,,,,Australia,NA
CONBIO,2013,3598,Tara,NA,Martin,,,,,Australia,NA
CONBIO,2014,3598,Tara,NA,Martin,,,,,Australia,NA
JAPE,2013,1339,Hamish,NA,McCallum,Griffith University,UNKNOWN,Nathan,Queensland,Australia,NA
CONBIO,2014,1339,Hamish,NA,McCallum,Griffith University,Environm Futures Res Inst,Nathan,Queensland,Australia,NA
CONBIO,1994,817,David,NA,Perry,Oregon State University,UNKNOWN,Corvallis,Oregon,USA,NA
CONBIO,1995,817,David,NA,Perry,,,,,USA,NA
CONBIO,1996,817,David,NA,Perry,,,,,USA,NA
CONBIO,1997,817,David,NA,Perry,,,,,USA,NA
NEWPHYT,2010,2515,Marinus,NA,Pilon,Colorado State University,UNKNOWN,Fort Collins,Colorado,USA,NA
NEWPHYT,2011,2515,Marinus,NA,Pilon,Colorado State University,UNKNOWN,Fort Collins,Colorado,USA,NA
NEWPHYT,2012,2515,Marinus,NA,Pilon,,,,,USA,NA
NEWPHYT,2013,2515,Marinus,NA,Pilon,,,,,USA,NA
NEWPHYT,2014,2515,Marinus,NA,Pilon,,,,,USA,NA
NEWPHYT,2015,2515,Marinus,NA,Pilon,,Biology,,,USA,NA
OIKOS,1996,3439,Stuart,L,Pimm,University of Tennessee,Zoology,Knoxville,TN,USA,NA
CONBIO,1998,3439,Stuart,L,Pimm,University of Tennessee,Zoology,Knoxville,TN,USA,NA
CONBIO,1999,3439,Stuart,L,Pimm,,,,,USA,NA
CONBIO,2000,3439,Stuart,L,Pimm,,,,,USA,NA
CONBIO,2001,3439,Stuart,L,Pimm,,,,,USA,NA
BITR,2008,2516,Michelle,NA,Pinard,University of Aberdeen,UNKNOWN,Aberdeen,Scotland,United Kingdom,NA
CONBIO,2009,2516,Michelle,NA,Pinard,University of Aberdeen,UNKNOWN,Aberdeen,Scotland,United Kingdom,NA
CONBIO,2010,2516,Michelle,NA,Pinard,,,,,United Kingdom,NA
CONBIO,2011,2516,Michelle,NA,Pinard,,,,,United Kingdom,NA
CONBIO,2012,2516,Michelle,NA,Pinard,,IBES,,,United Kingdom,NA
NEWPHYT,2006,168,Andrea,NA,Polle,Göttingen,UNKNOWN,Gottingen,UNKNOWN,Germany,NA
NEWPHYT,2007,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2008,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2009,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2010,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2011,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2012,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2013,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2014,168,Andrea,NA,Polle,,,,,Germany,NA
NEWPHYT,2015,168,Andrea,NA,Polle,,Dept Forest Bot & Tree Physiol,,,Germany,NA
CONBIO,2001,1347,Hugh,NA,Possingham,University of Queensland,UNKNOWN,Brisbane,Queensland,Australia,NA
CONBIO,2002,1347,Hugh,NA,Possingham,,,,,Australia,NA
CONBIO,2003,1347,Hugh,NA,Possingham,,,,,Australia,NA
CONBIO,2004,1347,Hugh,NA,Possingham,,,,,Australia,NA
CONBIO,2005,1347,Hugh,NA,Possingham,,,,,Australia,NA
CONBIO,2008,342,Bob,NA,Pressey,James Cook University,UNKNOWN,UNKNOWN,Queensland,Australia,NA
CONBIO,2000,342,Bob,NA,Pressey,New South Wales National Parks and Wildlife Service,,,New South Wales,Australia,NA
CONBIO,2006,342,Bob,NA,Pressey,UNKNOWN,UNKNOWN,Invergowrie,New South Wales,Australia,NA
CONBIO,2007,342,Bob,NA,Pressey,University of Queensland,UNKNOWN,Brisbane,Queensland,Australia,NA
CONBIO,2001,342,Bob,NA,Pressey,New South Wales National Parks and Wildlife Service,,,New South Wales,Australia,NA
CONBIO,2002,342,Bob,NA,Pressey,,,,,Australia,NA
CONBIO,2003,342,Bob,NA,Pressey,,,,,Australia,NA
CONBIO,2004,342,Bob,NA,Pressey,,,,,Australia,NA
CONBIO,2005,342,Bob,NA,Pressey,,,,,Australia,NA
CONBIO,2009,342,Bob,NA,Pressey,James Cook University,,UNKNOWN,Queensland,Australia,NA
CONBIO,1994,3197,Richard,B,Primack,Boston University,Department of Biology,Boston,Massachusetts,USA,NA
CONBIO,1995,3197,Richard,B,Primack,,,,,USA,NA
CONBIO,1996,3197,Richard,B,Primack,,,,,USA,NA
CONBIO,1997,3197,Richard,B,Primack,,,,,USA,NA
CONBIO,1998,3197,Richard,B,Primack,,,,,USA,NA
CONBIO,1999,3197,Richard,B,Primack,,,,,USA,NA
CONBIO,2003,1120,Francis,E,Putz,University of Florida,UNKNOWN,Gainesville,Florida,USA,NA
CONBIO,2004,1120,Francis,E,Putz,University of Florida,,Gainesville,Florida,USA,NA
CONBIO,2005,1120,Francis,E,Putz,University of Florida,,Gainesville,Florida,USA,NA
CONBIO,2006,1120,Francis,E,Putz,University of Florida,,Gainesville,Florida,USA,NA
CONBIO,2007,1120,Francis,E,Putz,University of Florida,,Gainesville,Florida,USA,NA
EVOL,1986,2532,Mark,D,Rausher,Duke University,UNKNOWN,Durham,NC,,NA
NEWPHYT,2003,2532,Mark,D,Rausher,Duke University,UNKNOWN,Durham,NC,USA,NA
NEWPHYT,2004,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2005,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2006,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2007,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2008,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2009,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2010,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2011,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2012,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2013,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2014,2532,Mark,D,Rausher,,,,,USA,NA
NEWPHYT,2015,2532,Mark,D,Rausher,,,,,USA,NA
CONBIO,1987,1250,G,Carlton,Ray,University of Virginia,UNKNOWN,Charlottesville,Virginia,USA,NA
CONBIO,1988,1250,G,Carlton,Ray,,,,,USA,NA
CONBIO,2012,2073,Kent,H,Redford,Archipelago Consulting,UNKNOWN,Portland,Maine,USA,NA
CONBIO,1998,2073,Kent,H,Redford,NYZS/Wildlife Conservation Society,UNKNOWN,Bronx,NY,USA,NA
CONBIO,1999,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2000,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2001,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2002,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2003,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2004,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2005,2073,Kent,H,Redford,Wildlife Conservation Society ,,,,USA,NA
CONBIO,2006,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2007,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2008,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2009,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2010,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2011,2073,Kent,H,Redford,,,,,USA,NA
CONBIO,2013,2073,Kent,H,Redford,Archipelago Consulting,,Portland,Maine,USA,NA
CONBIO,2014,2073,Kent,H,Redford,,,,,USA,NA
NEWPHYT,2008,2685,Natalia,NA,Requena,Karlsruhe,UNKNOWN,UNKNOWN,Karlsruhe,Germany,NA
NEWPHYT,2009,2685,Natalia,NA,Requena,,,,,Germany,NA
NEWPHYT,2010,2685,Natalia,NA,Requena,,,,,Germany,NA
NEWPHYT,2011,2685,Natalia,NA,Requena,,,,,Germany,NA
NEWPHYT,2012,2685,Natalia,NA,Requena,,,,,Germany,NA
NEWPHYT,2013,2685,Natalia,NA,Requena,,,,,Germany,NA
NEWPHYT,2014,2685,Natalia,NA,Requena,,,,,Germany,NA
NEWPHYT,2015,2685,Natalia,NA,Requena,,,,,Germany,NA
AJB,1997,2229,Loren,NA,Rieseberg,Indiana University,UNKNOWN,Bloomington,Indiana,USA,NA
NEWPHYT,2001,2229,Loren,NA,Rieseberg,Indiana University,UNKNOWN,Bloomington,Indiana,USA,NA
NEWPHYT,2002,2229,Loren,NA,Rieseberg,,,,,USA,NA
NEWPHYT,2003,2229,Loren,NA,Rieseberg,,,,,USA,NA
NEWPHYT,2004,2229,Loren,NA,Rieseberg,,,,,USA,NA
CONBIO,2000,562,Callum,NA,Roberts,University of York,UNKNOWN,York,England,United Kingdom,NA
CONBIO,2001,562,Callum,NA,Roberts,,,,,United Kingdom,NA
CONBIO,2002,562,Callum,NA,Roberts,,,,,United Kingdom,NA
CONBIO,2003,562,Callum,NA,Roberts,,,,,United Kingdom,NA
CONBIO,1994,1838,John,G,Robinson,NYZS/Wildlife Conservation Society,UNKNOWN,Bronx,New York,USA,NA
CONBIO,1995,1838,John,G,Robinson,,,,,USA,NA
CONBIO,1996,1838,John,G,Robinson,,,,,USA,NA
CONBIO,1997,1838,John,G,Robinson,,,,,USA,NA
CONBIO,1998,1838,John,G,Robinson,,,,,USA,NA
CONBIO,1999,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2000,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2001,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2002,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2003,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2004,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2005,1838,John,G,Robinson,Wildlife Conservation Society ,,,,USA,NA
CONBIO,2006,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2007,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2008,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2009,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2010,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2011,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2012,1838,John,G,Robinson,,,,,USA,NA
CONBIO,2013,1838,John,G,Robinson,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,USA,NA
CONBIO,2014,1838,John,G,Robinson,,,,,USA,NA
BITR,2002,3455,Scott,K,Robinson,Illinois Natural History Survey,UNKNOWN,Champaign,Illinois,USA,NA
OECOL,2005,3455,Scott,K,Robinson,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,USA,NA
CONBIO,1995,3455,Scott,K,Robinson,Illinois Natural History Survey,UNKNOWN,Champaign,Illinois,USA,NA
CONBIO,1996,3455,Scott,K,Robinson,,,,,USA,NA
CONBIO,1997,3455,Scott,K,Robinson,,,,,USA,NA
CONBIO,1998,3455,Scott,K,Robinson,,,,,USA,NA
CONBIO,1999,3455,Scott,K,Robinson,,,,,USA,NA
CONBIO,2000,3455,Scott,K,Robinson,,,,,USA,NA
CONBIO,2001,3455,Scott,K,Robinson,,,,,USA,NA
CONBIO,2008,1839,Jon,Paul,Rodriguez,Venezuelan Institute For Scientific Investigation,Center for Ecology,Caracas,unknown,Venezuela,NA
CONBIO,2009,1839,Jon,Paul,Rodriguez,,,,,Venezuela,NA
CONBIO,2010,1839,Jon,Paul,Rodriguez,,,,,Venezuela,NA
CONBIO,2011,1839,Jon,Paul,Rodriguez,,,,,Venezuela,NA
CONBIO,2012,1839,Jon,Paul,Rodriguez,,,,,Venezuela,NA
CONBIO,2013,1839,Jon,Paul,Rodriguez,,,,,Venezuela,NA
CONBIO,2014,1839,Jon,Paul,Rodriguez,,,,,Venezuela,NA
CONBIO,1994,1355,Holmes,NA,Rolston,Colorado State University,UNKNOWN,Fort Colllins,Colorado,USA,NA
CONBIO,1995,1355,Holmes,NA,Rolston,,,,,USA,NA
CONBIO,1996,1355,Holmes,NA,Rolston,,,,,USA,NA
CONBIO,1997,1355,Holmes,NA,Rolston,,,,,USA,NA
CONBIO,1998,1355,Holmes,NA,Rolston,,,,,USA,NA
CONBIO,2010,2543,Murray,NA,Rudd,University of York,UNKNOWN,York,England,United Kingdom,NA
CONBIO,2011,2543,Murray,NA,Rudd,,,,,United Kingdom,NA
CONBIO,2012,2543,Murray,NA,Rudd,,,,,United Kingdom,NA
CONBIO,1994,2736,Oliver,A,Ryder,Zoological Society of San Diego,UNKNOWN,San Diego,California,USA,NA
CONBIO,1995,2736,Oliver,A,Ryder,,,,,USA,NA
CONBIO,1996,2736,Oliver,A,Ryder,,,,,USA,NA
CONBIO,1997,2736,Oliver,A,Ryder,,,,,USA,NA
CONBIO,1998,2736,Oliver,A,Ryder,,,,,USA,NA
CONBIO,1994,2686,Nils,NA,Ryman,Stockholm University,UNKNOWN,Stockholm,Uppland,Sweden,NA
CONBIO,1995,2686,Nils,NA,Ryman,,,,,Sweden,NA
CONBIO,1996,2686,Nils,NA,Ryman,,,,,Sweden,NA
CONBIO,1997,2686,Nils,NA,Ryman,,,,,Sweden,NA
CONBIO,1998,2686,Nils,NA,Ryman,,,,,Sweden,NA
CONBIO,1999,2686,Nils,NA,Ryman,,,,,Sweden,NA
CONBIO,2000,2686,Nils,NA,Ryman,,,,,Sweden,NA
CONBIO,2001,2686,Nils,NA,Ryman,,,,,Sweden,NA
NEWPHYT,2014,187,Ari,NA,Sadanandom,University of Durham,School of Biological and Biomedical Sciences ,Durham,England,United Kingdom,NA
NEWPHYT,2015,187,Ari,NA,Sadanandom,,,,,United Kingdom,NA
CONBIO,2005,3841,Yvonne,NA,Sadovy,University of Hong Kong,UNKNOWN,Pokfulam,Hong Kong,China,NA
CONBIO,2006,3841,Yvonne,NA,Sadovy,,,,,China,NA
CONBIO,2007,3841,Yvonne,NA,Sadovy,,,,,China,NA
