journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,state,country,notes
BITR,1993,5,Anthony,NA,Anderson,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Brazil,
BITR,1994,5,Anthony,NA,Anderson,,,,,Brazil,
BITR,1995,5,Anthony,NA,Anderson,,,,,Brazil,
BITR,1996,5,Anthony,NA,Anderson,,,,,Brazil,
BITR,1997,5,Anthony,NA,Anderson,,,,,Brazil,
BITR,1993,43,Antoine,M,Cleef,University of Amsterdam,UNKNOWN,Amsterdam,UNKNOWN,Netherlands,
BITR,1995,43,Antoine,M,Cleef,,,,,Netherlands,
BITR,1996,43,Antoine,M,Cleef,,,,,Netherlands,
BITR,1997,43,Antoine,M,Cleef,,,,,Netherlands,
BITR,1993,323,Betty,J,Meggers,Smithsonian Institute ,UNKNOWN,Washington,DC,USA,
BITR,1994,323,Betty,J,Meggers,,,,,USA,
BITR,1995,323,Betty,J,Meggers,,,,,USA,
BITR,1996,323,Betty,J,Meggers,,,,,USA,
BITR,1997,323,Betty,J,Meggers,,,,,USA,
BITR,1996,558,Catherine,NA,Pringle,UGA,UNKNOWN,Athens,Georgia,USA,
BITR,1997,558,Catherine,NA,Pringle,,,,,USA,
BITR,1996,930,Elena,NA,Alvarez-Buylla,Univ Nacl Autonoma Mexico,UNKNOWN,Mexico City,UNKNOWN,Mexico,
BITR,1997,930,Elena,NA,Alvarez-Buylla,,,,,Mexico,
BITR,1985,978,E,Raymond,Heithaus,Kenyon College,UNKNOWN,Gambier,Ohio,USA,
BITR,1990,978,E,Raymond,Heithaus,Kenyon College,UNKNOWN,Gambier,Ohio,USA,
BITR,1996,978,E,Raymond,Heithaus,,,,,USA,
BITR,1993,1001,Ernesto,NA,Medina,Venezuelan Institute for Scientific Research ,UNKNOWN,Caracas,UNKNOWN,Venezuela,
BITR,1994,1001,Ernesto,NA,Medina,,,,,Venezuela,
BITR,1995,1001,Ernesto,NA,Medina,,,,,Venezuela,
BITR,1996,1001,Ernesto,NA,Medina,,,,,Venezuela,
BITR,1993,1042,Edward,O,Wilson,Harvard University ,UNKNOWN,Cambridge,MA,USA,
BITR,1994,1042,Edward,O,Wilson,,,,,USA,
BITR,1995,1042,Edward,O,Wilson,,,,,USA,
BITR,1996,1042,Edward,O,Wilson,,,,,USA,
BITR,1993,1120,Francis,E,Putz,University of Florida,UNKNOWN,Gainesville,Florida,USA,
BITR,1994,1120,Francis,E,Putz,,,,,USA,
BITR,1995,1120,Francis,E,Putz,,,,,USA,
BITR,1996,1120,Francis,E,Putz,,,,,USA,
BITR,1997,1120,Francis,E,Putz,,,,,USA,
FEM,1998,1120,Francis,E,Putz,University of Florida,UNKNOWN,Gainesville,Florida,USA,
BITR,1996,1127,Fred,NA,Scatena,US FOREST SERV,UNKNOWN,Rio Piedras,Puerto Rico,USA,Country?
BITR,1997,1127,Fred,NA,Scatena,,,,,USA,Country?
BITR,1987,1248,Ghillean,T,Prance,NEW YORK BOT GARDEN,UNKNOWN,Bronx,NY,USA,
BITR,1993,1248,Ghillean,T,Prance,Royal Botanical Gardens,,Richmond,Surrey,United Kingdom,
BITR,1994,1248,Ghillean,T,Prance,,,,,United Kingdom,
BITR,1993,1307,Harold,NA,Heatwole,NC State University,UNKNOWN,Raleigh,NC,USA,
BITR,1995,1307,Harold,NA,Heatwole,,,,,USA,
BITR,1996,1307,Harold,NA,Heatwole,,,,,USA,
BITR,1997,1307,Harold,NA,Heatwole,,,,,USA,
BITR,1996,1412,Ingrid,NA,Olmsted,Yucatan Center for Scientific Research,UNKNOWN,Yucatan,UNKNOWN,Mexico,
BITR,1997,1412,Ingrid,NA,Olmsted,,,,,Mexico,
BITR,1997,1505,Jaime,NA,Cavelier,Univ Los Andes,UNKNOWN,Bogota,UNKNOWN,Colombia,
BITR,1993,1576,John,ED,Fox,,,,,Australia,
BITR,1994,1576,John,ED,Fox,,,,,Australia,
BITR,1995,1576,John,ED,Fox,,,,,Australia,
BITR,1996,1576,John,ED,Fox,,,,,Australia,
BITR,1997,1576,John,ED,Fox,,,,,Australia,
BITR,1998,1576,John,ED,Fox,Curtin University of Technology,UNKNOWN,Perth,WA,Australia,
BITR,1997,1819,John,NA,Proctor,,,,,United Kingdom,
