journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,state,country,notes
AMNAT,2008,605,David,D,Ackerly,University of California Berkeley,missing,Berkeley,California,USA,
AMNAT,2009,605,David,D,Ackerly,,,,,USA,
AMNAT,2010,605,David,D,Ackerly,,,,,USA,
AMNAT,2011,605,David,D,Ackerly,,,,,USA,
AMNAT,2012,605,David,D,Ackerly,,,,,USA,
AMNAT,2013,605,David,D,Ackerly,,,,,USA,
AMNAT,2014,605,David,D,Ackerly,,,,,USA,
AMNAT,2010,606,Dean,C,Adams,Iowa State University,missing,Ames,Iowa,USA,
AMNAT,2011,606,Dean,C,Adams,,,,,USA,
AMNAT,2012,606,Dean,C,Adams,,,,,USA,
AMNAT,2013,606,Dean,C,Adams,,,,,USA,
AMNAT,2005,928,Elizabeth,,Adkins-Regan,Cornell University,Psychology,Ithaca,New York,USA,
AMNAT,2006,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2007,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2008,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2009,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2010,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2011,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2012,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2013,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2014,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2015,928,Elizabeth,missing,Adkins-Regan,,,,,USA,
AMNAT,2009,1046,Fredrick,R,Adler,University of Utah,missing,Salt Lake City,Utah,USA,
AMNAT,2010,1046,Fredrick,R,Adler,,,,,USA,
AMNAT,2011,1046,Fredrick,R,Adler,,,,,USA,
AMNAT,2012,1046,Fredrick,R,Adler,,,,,USA,
AMNAT,2013,1046,Fredrick,R,Adler,,,,,USA,
AMNAT,2014,1046,Fredrick,R,Adler,,,,,USA,
AMNAT,2011,2,Anurag,missing,Agrawal,Cornell University,missing,Ithaca,New York,USA,
AMNAT,2012,2,Anurag,missing,Agrawal,,,,,USA,
AMNAT,2013,2,Anurag,missing,Agrawal,,,,,USA,
AMNAT,2010,3266,Suzanne,H,Alonzo,Yale University,missing,New Haven,Connecticut,USA,
AMNAT,2011,3266,Suzanne,H,Alonzo,,,,,USA,
AMNAT,2012,3266,Suzanne,H,Alonzo,,,,,USA,
