journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,state,country,notes
BITR,2001,3506,S,Joseph,Wright,Smithsonian Tropical Research Institute,,Balboa,UNKNOWN,Panama,NA
JBIOG,1992,1144,F,Ian,Woodward,University of Sheffield,,Sheffield,UNKNOWN,United Kingdom,NA
JBIOG,1991,2611,Mark,H,Williamson,University of York,Department Of Biology,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1996,50,Anthony,J,Davy,University of East Anglia,UNKNOWN,Norwich,UNKNOWN,United Kingdom,NA
JECOL,2007,50,Anthony,J,Davy,University of East Anglia,UNKNOWN,,UNKNOWN,United Kingdom,NA
JECOL,1992,74,Alastair,H,Fitter,University of York,UNKNOWN,York,North Yorkshire,United Kingdom,NA
JECOL,1996,74,Alastair,H,Fitter,,,York,UNKNOWN,United Kingdom,NA
JECOL,1997,74,Alastair,H,Fitter,,,York,UNKNOWN,United Kingdom,NA
JECOL,1998,74,Alastair,H,Fitter,,,York,UNKNOWN,United Kingdom,NA
JECOL,1991,89,Alan,J,Gray,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1992,89,Alan,J,Gray,Institute for Terrestrial Ecology,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1993,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1994,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1995,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1996,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1997,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1998,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1999,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,2000,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,2001,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,2002,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,2003,89,Alan,J,Gray,,,Wareham,UNKNOWN,United Kingdom,NA
JECOL,1987,130,Alan,J,Lack,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,United Kingdom,HE IS AN EDITOR THRU 1998- OXFORD
JECOL,1988,130,Alan,J,Lack,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1989,130,Alan,J,Lack,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1990,130,Alan,J,Lack,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1991,230,Arthur,J,Willis,CSIRO,UNKNOWN,UNKNOWN,Canberra,United Kingdom,NA
JECOL,1993,230,Arthur,J,Willis,Australian National University ,,UNKNOWN,Canberra,Australia,NA
JECOL,1994,230,Arthur,J,Willis,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1995,230,Arthur,J,Willis,University of Sheffield,DEPT ANIM & PLANT SCI,Sheffield,S Yorkshire,United Kingdom,NA
JECOL,1996,230,Arthur,J,Willis,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1997,230,Arthur,J,Willis,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1998,230,Arthur,J,Willis,,UNKNOWN,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1999,230,Arthur,J,Willis,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,2000,230,Arthur,J,Willis,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,2001,230,Arthur,J,Willis,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,2002,230,Arthur,J,Willis,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,2005,230,Arthur,J,Willis,,,UNKNOWN,UNKNOWN,,NA
JECOL,1985,289,B,NA,Hopkins,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1987,291,B,NA,Huntely,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1985,292,B,NA,Huntley,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1986,292,B,NA,Huntley,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1988,292,B,NA,Huntley,,,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1985,330,Brian,NA,Moss,University of East Anglia,UNKNOWN,Norwich,Norfolk,United Kingdom,NA
JECOL,1986,330,Brian,NA,Moss,,,,,United Kingdom,NA
JECOL,1987,330,Brian,NA,Moss,,,,,United Kingdom,NA
JECOL,1994,351,Bernhard,NA,Schmid,University of Basel,UNKNOWN,Basel,UNKNOWN,Switzerland,NA
JECOL,1995,351,Bernhard,NA,Schmid,University of Zurich,,Zurich,UNKNOWN,Switzerland,NA
JECOL,1996,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,1997,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,1998,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,1999,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,2000,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,2001,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,2002,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,2003,351,Bernhard,NA,Schmid,,,Zurich,UNKNOWN,Switzerland,NA
JECOL,2000,553,Chris,J,Peterson,University of Georgia,UNKNOWN,Athens,Georgia,USA,NA
JECOL,2001,553,Chris,J,Peterson,,,,UNKNOWN,USA,NA
JECOL,2002,553,Chris,J,Peterson,,,,UNKNOWN,USA,NA
JECOL,2003,553,Chris,J,Peterson,,,,UNKNOWN,USA,NA
JECOL,2002,639,David,NA,Burslem,University of Aberdeen,UNKNOWN,Aberdeen,Scotland,United Kingdom,NA
JECOL,2003,639,David,NA,Burslem,,,,,United Kingdom,NA
JECOL,2004,639,David,NA,Burslem,,,,,United Kingdom,NA
JECOL,2005,639,David,NA,Burslem,,,,,United Kingdom,NA
JECOL,1991,644,David,R,Causton,University College of ABERYSTWYTH,UNKNOWN,UNKNOWN,UNKNOWN,United Kingdom,NA
JECOL,1992,644,David,R,Causton,,,Aberystwyth,UNKNOWN,United Kingdom,NA
JECOL,1993,644,David,R,Causton,University of Wales,,Aberystwyth,UNKNOWN,United Kingdom,NA
JECOL,1991,690,David,R,Foster,Harvard University,,Petersham,UNKNOWN,USA,NA
JECOL,1992,690,David,R,Foster,Harvard University,Harvard Forest,Petersham,UNKNOWN,USA,NA
JECOL,1993,690,David,R,Foster,Harvard University,Harvard Forest,Petersham,UNKNOWN,USA,NA
JECOL,1994,690,David,R,Foster,Harvard University,Harvard Forest,Petersham,UNKNOWN,USA,NA
JECOL,1992,703,David,J,Gibson,University of West Florida ,bio,Pensacola,Florida,USA,MISSING VALUES- He was an editor between 99 and 14'
JECOL,1993,703,David,J,Gibson,Southern Illinois University,UNKNOWN,Carbondale,Illinois,USA,NA
JECOL,1994,703,David,J,Gibson,,,Carbondale,,USA,NA
JECOL,1995,703,David,J,Gibson,,,Carbondale,,USA,NA
JECOL,1996,703,David,J,Gibson,,,Carbondale,,USA,NA
JECOL,1997,703,David,J,Gibson,,,Carbondale,,USA,NA
JECOL,1998,703,David,J,Gibson,,,Carbondale,,USA,NA
JECOL,1999,703,David,J,Gibson,,,Carbondale,,USA,NA
JECOL,2014,703,David,J,Gibson,,"Center for Ecology, Department of Plant Biology",Carbondale,,USA,NA
JECOL,2003,880,David,NA,Streeter,University of Sussex,UNKNOWN,Brighton,UNKNOWN,United Kingdom,NA
JECOL,2004,880,David,NA,Streeter,,UNKNOWN,Brighton,UNKNOWN,United Kingdom,NA
JECOL,2005,880,David,NA,Streeter,,UNKNOWN,Brighton,UNKNOWN,United Kingdom,NA
JECOL,2009,880,David,NA,Streeter,,UNKNOWN,Brighton,UNKNOWN,United Kingdom,NA
JECOL,1989,1036,Eddy,NA,Van Der Meijden,Univeristy of Leiden,UNKNOWN,Leiden,UNKNOWN,Netherlands,NA
JECOL,1990,1036,Eddy,NA,Van Der Meijden,,,Leiden,UNKNOWN,Netherlands,NA
JECOL,1991,1036,Eddy,NA,Van Der Meijden,,,Leiden,UNKNOWN,Netherlands,NA
JECOL,1992,1036,Eddy,NA,Van Der Meijden,,,Leiden,UNKNOWN,Netherlands,NA
JECOL,1993,1036,Eddy,NA,Van Der Meijden,,,Leiden,UNKNOWN,Netherlands,NA
JECOL,2004,1070,Frank,S,Gilliam,Marshall University,UNKNOWN,Huntington,West VA,USA,NA
JECOL,2014,1070,Frank,S,Gilliam,Marshall University,UNKNOWN,Huntington,West VA,USA,NA
JECOL,1990,1144,F,Ian,Woodward,Cambridge,UNKNOWN,Cambridge,UNKNOWN,United Kingdom,NA
JECOL,1991,1144,F,Ian,Woodward,,,,UNKNOWN,United Kingdom,NA
JECOL,1992,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,1993,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,1994,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,1995,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,1996,1144,F,Ian,Woodward,,,sheffield,UNKNOWN,United Kingdom,NA
JECOL,1997,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,1998,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,1999,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,2000,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,2001,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,2002,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,2003,1144,F,Ian,Woodward,,,Sheffield,UNKNOWN,United Kingdom,NA
JECOL,1991,1210,George,L,Jacobson,University of Maine,UNKNOWN,Orono,UNKNOWN,USA,NA
JECOL,1992,1210,George,L,Jacobson,,,Orono,UNKNOWN,USA,NA
JECOL,2002,1296,Hans,NA,De Kroon,Radboud University Nijmegen,Department of Experimental Plant Ecology,Nijmegen,UNKNOWN,Netherlands,NA
JECOL,2003,1296,Hans,NA,De Kroon,,,Nijmegen,UNKNOWN,Netherlands,NA
JECOL,2004,1296,Hans,NA,De Kroon,,,Nijmegen,UNKNOWN,Netherlands,NA
JECOL,2005,1296,Hans,NA,De Kroon,,,Nijmegen,UNKNOWN,Netherlands,NA
JECOL,1995,1349,Honor,C,Prentice,Lund University,UNKNOWN,Lund,UNKNOWN,Sweden,NA
JECOL,1996,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,1997,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,1998,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,1999,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,2000,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,2001,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,2002,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,2003,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
JECOL,2004,1349,Honor,C,Prentice,,,Lund,UNKNOWN,Sweden,NA
