,journal,year,editor_id,first_na,middle_,last_na,inst,unit,city,state,country,notes
85,JAPE,1985,24,Anthony,David,Bradshaw,University of Liverpool,Botany,Liverpool,unknown,United Kingdom,
86,JAPE,1986,24,Anthony,David,Bradshaw,,,,,,
87,JAPE,1987,24,Anthony,David,Bradshaw,,,,,,
88,JAPE,1988,24,Anthony,David,Bradshaw,,,,,,
189,JAPE,2006,65,Andreas,NA,Erhardt,University of Basel,Dept Integrat Biol,Basel,unknown,Switzerland,
190,JAPE,2007,65,Andreas,NA,Erhardt,,,,,,
191,JAPE,2008,65,Andreas,NA,Erhardt,,,,,,
192,JAPE,2009,65,Andreas,NA,Erhardt,,,,,,
285,JAPE,1996,104,Alison,NA,Hester,Macaulay Institute,unknown,Cragiebuckler,Aberdeen,Scotland,
286,JAPE,1997,104,Alison,NA,Hester,,,,,,
287,JAPE,1998,104,Alison,NA,Hester,,,,,,
288,JAPE,1999,104,Alison,NA,Hester,,,,,,
289,JAPE,2000,104,Alison,NA,Hester,,,,,,
290,JAPE,2001,104,Alison,NA,Hester,,,,,,
291,JAPE,2002,104,Alison,NA,Hester,,,,,,
461,JAPE,2013,150,Ailsa,NA,McKenzie,Newcastle University,unknown,Newcastle upon Tyne,unknown,United Kingdom,
462,JAPE,2014,150,Ailsa,NA,McKenzie,,unknown,,unknown,United Kingdom,
463,JAPE,2015,150,Ailsa,NA,McKenzie,,unknown,,unknown,United Kingdom,
560,JAPE,2006,174,Andres,NA,Punt,University of Washington,unknown,Seattle,unknown,USA,
561,JAPE,2007,174,Andres,NA,Punt,,unknown,,,USA,
562,JAPE,2008,174,Andres,NA,Punt,,unknown,,,USA,
563,JAPE,2009,174,Andres,NA,Punt,,unknown,,,USA,
559,JAPE,2010,174,Andres,NA,Punt,,unknown,,,USA,
564,JAPE,2011,174,Andres,NA,Punt,,unknown,,,USA,
565,JAPE,2012,174,Andres,NA,Punt,,unknown,,,USA,
566,JAPE,2013,174,Andres,NA,Punt,,unknown,,,USA,
