,journal,year,volume,issue,editor_id.x,editor_id.y,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes
29,OECOL,1985,65,2,2361,NA,Michael,NA,Evenari,Editorial.Board,SE,pen patr,missing,Jerusalem ,missing,Israel,NA,ISR,NA,NA,DOUBLE CHECK INST
63,OECOL,1985,65,2,1320,NA,Heinrich,NA,Kaiser,Editorial.Board,SE,RWTH Aachen University,missing,Aachen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
77,OECOL,1985,65,2,2725,NA,Otto,L,Lange,Editorial.Board,SE,University of Wurzburg,missing,Würzburg,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
78,OECOL,1985,65,2,3761,NA,Walter,NA,Larcher,Editorial.Board,SE,University of Innsbruck,missing,Innsbruck,missing,Austria,NA,AUT,NA,NA,DOUBLE CHECK INST
97,OECOL,1985,65,2,799,NA,Dietrich,NA,Neumann,Editorial.Board,SE,Univeristy of Cologne ,missing,Köln,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
107,OECOL,1985,65,2,1811,NA,John,NA,Phillipson,Editorial.Board,SE,University of Oxford,missing,Oxford,missing,United Kingdom,NA,GBR,NA,NA,DOUBLE CHECK INST
117,OECOL,1985,65,2,1352,NA,Hermann,NA,Remmert,EIC,EIC,University of Marburg,missing,Marburg/Lahn,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
122,OECOL,1985,65,2,1128,NA,Friedrich,NA,Schaller,Editorial.Board,SE,NA,missing,Wien,missing,Austria,NA,AUT,NA,NA,DOUBLE CHECK INST
126,OECOL,1985,65,2,1024,NA,Ernst-Detlef,NA,Schulze,EIC,EIC,University of Bayreuth,missing,Bayreuth,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
154,OECOL,1985,65,2,225,NA,Andrew,NA,Watkinson,Editorial.Board,SE,University of East Anglia ,missing,Norwich,missing,United Kingdom,NA,GBR,NA,NA,DOUBLE CHECK INST
155,OECOL,1985,65,2,3817,NA,Wolfgang,W,Wieser,Editorial.Board,SE,University of Innsbruck,missing,Innsbruck,missing,Austria,NA,AUT,NA,NA,DOUBLE CHECK INST
163,OECOL,1985,65,2,1384,NA,Hubert,NA,Ziegler,Editorial.Board,SE,NA,missing,München,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
164,OECOL,1985,65,2,1385,NA,Helmut,NA,Zwolfer,Editorial.Board,SE,University of Bayreuth,missing,Bayreuth,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
90,OECOL,1986,68,2,1727,NA,Jane,NA,Lubchenco,Editorial.Board,SE,Oregon State University ,missing,Corvallis,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
146,OECOL,1986,68,2,2699,NA,Neil,J,Turner,Editorial.Board,SE,CSIRO,missing,Wembley,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
11,OECOL,1987,71,2,17,NA,Andreas,NA,Bertsch,Editorial.Board,SE,University of Marburg,missing,Marburg,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
121,OECOL,1988,75,1,2551,NA,Matthias,NA,Schaefer,Editorial.Board,SE,University of Gottingen,missing,Göttingen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
73,OECOL,1989,78,1,499,NA,Christian,NA,Korner,Editorial.Board,SE,University of Innsbruck,missing,Innsbruck,missing,Austria,NA,AUT,NA,NA,DOUBLE CHECK INST
10,OECOL,1990,82,1,1053,NA,Frank,NA,Berendse,Editorial.Board,SE,Center for Agrobiological Research,missing,Wageningen,missing,Netherlands,NA,NLD,NA,NA,DOUBLE CHECK INST
54,OECOL,1990,82,1,3566,NA,Tadaki,NA,Hirose,Editorial.Board,SE,Tohoku University ,missing,Sendai,missing,Japan,NA,JPN,NA,NA,DOUBLE CHECK INST
69,OECOL,1990,82,1,1668,NA,Joel,NA,Kingsolver,Editorial.Board,SE,University of Washington ,missing,Seattle ,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
101,OECOL,1990,82,1,3180,NA,Ram,NA,Oren,Editorial.Board,SE,Duke University,missing,Durham,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
