,journal,year,volume,issue,editor_id,first_name,middle_name,last_name,title,inst,unit,city,state,country,notes
1,OIKOS,2004,104,1,54,Andre,M,DeRoos,Subject.Editor,University of Amsterdam ,Inst Biodivers & Ecosyst Dynam,Amsterdam,NA,Netherlands,
2,OIKOS,2011,120,1,124,Anders,NA,Klemetsen,Subject.Editor,University of Tromso, Dept Arct & Marine Biol,Tromso,NA,Norway,
3,OIKOS,2014,123,1,131,Anna-Liisa,NA,Laine,Subject.Editor,University of Helsinki,Dept of Biosciences,Helsinki,NA,Finland,
4,OIKOS,1985,44,1,193,A,NA,Semb-Johansson,Editorial.Board,University of Oslo,Zoology,Oslo,NA,Norway,
5,OIKOS,2009,118,1,217,Anna,NA,Traveset,Subject.Editor,CSIC UIB, Inst Mediterrani Estudis Avancats,Mallorca, Balearic Island,Spain,
6,OIKOS,2011,120,1,217,Anna,NA,Traveser,Subject.Editor,NA,NA,NA,NA,Spain,
7,OIKOS,2008,117,1,244,Beatrix,NA,Beisner,Subject.Editor,University of Quebec,Biological Sciences,Montreal,NA,Canada,
8,OIKOS,2012,121,1,253,Ben,NA,Chapman,Subject.Editor,Lund University ,Biology ,Lund,NA,Sweden,
9,OIKOS,2012,121,1,268,Bruno,NA,Ernande,Subject.Editor,IFREMER,Lab Ressources Halieut,Port En Bessin,NA,France,
10,OIKOS,2012,121,1,283,Bente,NA,Grae,Subject.Editor,NA,NA,NA,NA,Norway,Not in web of science 
11,OIKOS,2009,118,1,288,Brad,NA,Hawkins,Subject.Editor,University of California Irvine,Ecology and Evolutionary Biology ,Irvine,CA,USA,
12,OIKOS,2011,120,1,288,Brad,NA,Hawkins,Subject.Editor,University of California Irvine,Ecology and Evolutionary Biology ,Irvine,CA,USA,
13,OIKOS,2007,116,1,405,Christer,NA,Bronmark,Subject.Editor,Lund University ,Ecology ,Lund,NA,Sweden,
14,OIKOS,2006,112,1,514,Chris,NA,Lortie,Subject.Editor,York University ,Biology ,Vancouver,NA,Canada,
15,OIKOS,2011,120,1,514,Chris,NA,Lortie,Subject.Editor,York University ,Biology ,Vancouver,NA,Canada,
16,OIKOS,2012,121,1,519,Carlos,NA,Malian,Subject.Editor,NA,NA,NA,NA,Switzerland,Not in web of science 
17,OIKOS,1985,44,1,538,C,Overgaard,Nielsen,Editorial.Board,University of PK,ZOOL MUSEUM,Copenhagen,NA,Denmark,
18,OIKOS,2012,121,1,564,Carry,Le,Roy,Subject.Editor,NA,NA,NA,NA,USA,go back
19,OIKOS,2011,120,1,570,Christer,NA,Solbreck,Subject.Editor,Swedish University of Agricultural Sciences,Ecology,Uppsala,NA,Sweden,
20,OIKOS,2012,121,1,575,Christopher,NA,Swan,Subject.Editor,University of Maryland,Geography and Environmental Systems,Baltimore,Maryland,USA,
21,OIKOS,2012,121,1,632,Dries,NA,Bonte,Acting.Director.In.Chief,University of Ghent,Biology ,Ghent,NA,Belgium,
22,OIKOS,2011,120,1,646,David,NA,Chalcraft,Subject.Editor,East Carolina University,Biology ,Greenville,North Carolina,USA,
23,OIKOS,2009,118,1,713,Daniel,NA,Gruner,Subject.Editor,University of California Davis,Bodega Marine Lab,Bodega Bay,CA,USA,
24,OIKOS,2010,119,1,713,Daniel,NA,Gruner,Subject.Editor,University of Maryland,Entomology,College Park,MD,USA,
