,journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,state,country,check,notes,correct_inst,correct_city,correct_state,correct_country,correct_name_first,correct_name_last
1,LECO,1987,3060,R,TT,Forman,Merlewood Research Station,NA,NA,NA,USA,spotcheck,Incorrect,Harvard University,Cambridge ,MA,USA,,
6,LECO,1987,3392,S,A,Levin,Centre National de la Recherche Scientifique,NA,NA,NA,USA,2x,Incorrect,Cornell University,,NJ,USA,,
7,LECO,1987,1230,G,NA,Merriam,University of Iowa,NA,NA,NA,Canada,2x,Incorrect,Carleton University,NA,NA,Canada,,
8,LECO,1987,3846,Z,NA,Naveh,University of Quebec in Abitibi-Temiscamingue,NA,NA,NA,Israel,2x,Incorrect,technion israel institute of technology,,,Israel,,
13,LECO,1987,2083,K,F,Schreiber,USDA Forest Service,NA,NA,NA,Germany,2x,Incorrect,2x university of munster,,,,,
14,LECO,1987,1361,H,H,Shugart,USDA Forest Service,NA,NA,NA,USA,2x,Incorrect,university of virginia,,VA,,,
16,LECO,1987,3233,R,NA,Tosswall,University of Illinois,NA,NA,NA,Sweden,spotcheck,Incorrect,swedish university of agricultural sciences,,,,T,Rosswall
20,LECO,1988,3633,T,NA,Rosswall,University of Wisconsin-Madison,NA,NA,NA,Sweden,spotcheck,Incorrect,swedish university of agricultural sciences,,,,,
22,LECO,1993,1480,J,NA,Brandt,Swiss Federal Research Institute WSL,NA,NA,NA,Denmark,2x,Incorrect,roskilde university,,,,,
23,LECO,1993,1295,H,NA,Decamps,University of Cambridge,NA,NA,NA,France,2x,Incorrect,cnrs centre decologie des ressources renouvelables,,,,,
24,LECO,1993,968,E,NA,Fuentes,Duke University,NA,NA,NA,Chile,2x,Incorrect,pontificia universidade catolica de chile,NA,,,,
25,LECO,1993,1090,F,NA,Kienast,University of Georgia,NA,NA,NA,Switzerland,2x,Incorrect,"Swiss Federal Institute for Forest, Snow and Landscape Research WSL",,,,,
27,LECO,1993,1781,J,NA,Nassauer,University of Sao Paolo,NA,NA,NA,USA,2x,Incorrect,university of minnesota,,,,,
29,LECO,1993,2580,M,NA,Turner,Center of Biological and Ecological Sciences,NA,NA,NA,USA,2x,Incorrect,Oak Ridge National Laboratory,,,,,
29,LECO,1994,2580,M,NA,Turner,Center of Biological and Ecological Sciences,NA,NA,NA,USA,2x,Incorrect,University of Wisconsin,,,,,
212,LECO,2015,2299,M,NA,Betts,University of Sherbrooke,NA,NA,NA,USA,spotcheck,Incorrect,Oregon State University,,,,,
223,LECO,2015,3398,S,S,Luque,National res. Inst.Of science and tech. for env.And agriculture,NA,NA,NA,France,2x,Incorrect,IRSTEA National Research Institute of Science and Technology for Environment and Agriculture ,,,,,
103,LECO,2004,1954,John,NA,Wiens,Environmental Protection Agency,NA,NA,NA,USA,spotcheck,NA,the nature conservancy,,,,,
224,LECO,2015,1795,J,M,Overton,"Landcare Research , Lincoln",NA,NA,NA,New Zealand,2x,,,NA,,,,
