,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,TITLE,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,COUNTRY_Prior_Class,geo.code,geo.code_Prior_Class,GENDER,NOTES
21,JANE,1985,54,1,149,A,D,Mcintyre,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
23,JANE,1985,54,1,1558,J,Malcolm,Elliott,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
37,JANE,1985,54,1,1951,J,B,Whittaker,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
47,JANE,1985,54,1,2249,L,R,Taylor,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
53,JANE,1985,54,1,2401,M,P,Hassell,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
71,JANE,1985,54,1,3118,R,A,Kempton,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
9,JANE,1987,56,1,1170,G,M,Dunnet,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
29,JANE,1987,56,1,1808,J,N,Perry,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
57,JANE,1987,56,1,2638,N,B,Davies,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
69,JANE,1987,56,1,3025,Richard,M,Cormack,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
95,JANE,1987,56,1,3525,Tim,H,Clutton-Brock,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
121,JANE,1988,57,1,848,D,J,Rogers,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
35,JANE,1989,58,1,1907,J,E,Thorpe,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
113,JANE,1990,59,1,507,C,M,Lessells,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
14,JANE,1991,60,1,1302,H,CharlesJ,Godfray,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
19,JANE,1991,60,1,1409,Ian,NA,Newton,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
49,JANE,1991,60,1,2291,Mike,E,Begon,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
63,JANE,1991,60,1,2835,Pete,J,Hudson,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
98,JANE,1991,60,1,356,Bryan,NA,Shorrocks,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
105,JANE,1991,60,1,3931,Roger,N,Hughes,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
11,JANE,1992,61,1,120,Anne,NA,Keymer,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
28,JANE,1992,61,1,1807,Josephine,NA,Pemberton,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
41,JANE,1992,61,1,2040,Kate,NA,Lessells,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
77,JANE,1992,61,1,3264,Steve,NA,Albon,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
7,JANE,1993,62,1,1160,Graeme,NA,Caughley,SE,SE,,missing,,missing,Australia,NA,AUS,NA,NA,
81,JANE,1993,62,1,3287,Stan,NA,Boutin,SE,SE,,missing,,missing,Canada,NA,CAN,NA,NA,
,,,,,,,,,,,,,,,,,,,,
4,JANE,1994,63,1,110,Andrew,NA,Illius,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
65,JANE,1994,63,1,284,Bryan,T,Grenfell,SE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
64,JANE,1996,65,1,2838,Peter,NA,Jarman,SE,SE,,missing,,missing,Australia,NA,AUS,NA,NA,
,,,,,,,,,,,,,,,,,,,,
22,JANE,1997,66,1,1513,Jean,NA,Clobert,AE,SE,,missing,,missing,France,NA,FRA,NA,NA,
26,JANE,1997,66,1,1654,John,NA,Jaenike,AE,SE,,missing,,missing,USA,NA,USA,NA,NA,
70,JANE,1997,66,1,3103,Rolf,NA,Ims,AE,SE,,missing,,missing,Norway,NA,NOR,NA,NA,
88,JANE,1997,66,1,3413,Sean,NA,Nee,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
115,JANE,1997,66,1,577,Chris,NA,Thomas,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
120,JANE,1997,66,1,831,Dave,NA,Raffaelli,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
67,JANE,1998,67,1,2949,Philip,NA,Warren,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
68,JANE,1998,67,1,299,Bror,NA,Jonsson,AE,SE,,missing,,missing,Norway,NA,NOR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
66,JANE,1999,68,1,287,Bill,NA,Gurney,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
108,JANE,1999,68,1,3939,Steve,NA,Hall,AE,SE,,missing,,missing,Australia,NA,AUS,NA,NA,
,,,,,,,,,,,,,,,,,,,,
106,JANE,2000,69,1,3933,Robert,NA,Smith,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
43,JANE,2001,70,1,2063,Ken,NA,Norris,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
94,JANE,2001,70,1,3517,Terry,NA,Burke,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
119,JANE,2001,70,1,83,Andre,NA,Gilburn,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
84,JANE,2002,71,1,3321,Steve,NA,Ellner,AE,SE,,missing,,missing,USA,NA,USA,NA,NA,
,,,,,,,,,,,,,,,,,,,,
25,JANE,2005,74,1,160,Atle,NA,Mysterud,AE,SE,,missing,,missing,Norway,NA,NOR,NA,NA,
42,JANE,2005,74,1,2047,Kevin,NA,Mccann,EIC,EIC,,missing,,missing,Canada,NA,CAN,NA,NA,
74,JANE,2005,74,1,316,Bryan,NA,Manly,AE,SE,,missing,,missing,USA,NA,USA,NA,NA,
85,JANE,2005,74,1,3387,Simon,NA,Leather,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
,,,,,,,,,,,,,,,,,,,,
10,JANE,2006,75,1,1196,Graeme,NA,Hays,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
12,JANE,2006,75,1,1256,Graeme,NA,Ruxton,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
13,JANE,2006,75,1,1276,Guy,NA,Woodward,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
15,JANE,2006,75,1,1376,Henri,NA,Weimerskirch,AE,SE,,missing,,missing,France,NA,FRA,NA,NA,
32,JANE,2006,75,1,1824,Joseph,NA,Rasmussen,AE,SE,,missing,,missing,Canada,NA,CAN,NA,NA,
46,JANE,2006,75,1,2221,Lennart,NA,Persson,AE,SE,,missing,,missing,Sweden,NA,SWE,NA,NA,
51,JANE,2006,75,1,2358,Mark,NA,Emmerson,AE,SE,,missing,,missing,Ireland,NA,IRL,NA,NA,
54,JANE,2006,75,1,2416,Murray,NA,Humphries,AE,SE,,missing,,missing,Canada,NA,CAN,NA,NA,
59,JANE,2006,75,1,2713,Ottar,NA,Bjornstad,AE,SE,,missing,,missing,USA,NA,USA,NA,NA,
76,JANE,2006,75,1,3194,Robert,NA,Poulin,AE,SE,,missing,,missing,New Zealand,NA,NZL,NA,NA,
79,JANE,2006,75,1,3278,Stuart,NA,Bearhop,AE,SE,,missing,,missing,Ireland,NA,IRL,NA,NA,
89,JANE,2006,75,1,3438,Stuart,NA,Piertney,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
93,JANE,2006,75,1,3514,Tim,NA,Benton,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
97,JANE,2006,75,1,353,Ben,NA,Sheldon,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
111,JANE,2006,75,1,403,Corey,NA,Bradshaw,AE,SE,,missing,,missing,Australia,NA,AUS,NA,NA,
122,JANE,2006,75,1,868,David,NA,Sims,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
124,JANE,2006,75,1,88,Andy,NA,Gonzalez,AE,SE,,missing,,missing,Canada,NA,CAN,NA,NA,
,,,,,,,,,,,,,,,,,,,,
27,JANE,2007,76,1,1785,Jonathan,NA,Newman,AE,SE,,missing,,missing,Canada,NA,CAN,NA,NA,
30,JANE,2007,76,1,181,Anthony,NA,Richardson,AE,SE,,missing,,missing,Australia,NA,AUS,NA,NA,
33,JANE,2007,76,1,1830,Jane,NA,Reid,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
34,JANE,2007,76,1,184,Alex,NA,Roulin,AE,SE,,missing,,missing,Switzerland,NA,CHE,NA,NA,
38,JANE,2007,76,1,1965,Jon,NA,Wright,AE,SE,,missing,,missing,Norway,NA,NOR,NA,NA,
44,JANE,2007,76,1,2111,Ken,NA,Wilson,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
61,JANE,2007,76,1,2766,Peter,NA,Bennett,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
91,JANE,2007,76,1,349,Brett,NA,Sandercock,AE,SE,,missing,,missing,USA,NA,USA,NA,NA,
104,JANE,2007,76,1,3929,Piran,NA,White,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
110,JANE,2007,76,1,402,Christiaan,NA,Both,AE,SE,,missing,,missing,Netherlands,NA,NLD,NA,NA,
,,,,,,,,,,,,,,,,,,,,
39,JANE,2008,77,1,1992,Karl,NA,Cottenie,AE,SE,,missing,,missing,Canada,NA,CAN,NA,NA,
50,JANE,2008,77,1,2305,Mike,NA,Boots,EIC,EIC,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
72,JANE,2008,77,1,3120,Rob,NA,Knell,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
73,JANE,2008,77,1,3148,Robin,NA,Mccleery,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
82,JANE,2008,77,1,3292,Simon,NA,Butler,AE,SE,,missing,,missing,United Kingdom,NA,GBR,NA,NA,
92,JANE,2008,77,1,3493,Simon,NA,Verhulst,AE,SE,,missing,,missing,Netherlands,NA,NLD,NA,NA,
