"","JOURNAL","YEAR","VOLUME","ISSUE","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","INST","UNIT","CITY","STATE","COUNTRY","geo.code","NOTES","GENDER","check"
"1","JZOOL",1985,NA,NA,3918,"Marcia","A","Edwards",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"2","JZOOL",1986,NA,NA,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,"2x"
"3","JZOOL",1987,"211","1",3918,"Marcia","A","Edwards","Editor",NA,"Zoological Society of London",NA,NA,NA,"England","GBR",NA,NA,"2x"
"4","JZOOL",1989,"216",NA,384,"C",NA,"Arme","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"5","JZOOL",1989,"216",NA,2983,"R","J","Berry","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"6","JZOOL",1989,"216",NA,3717,"W","N","Bonner","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"7","JZOOL",1989,"216",NA,2777,"P","J","Butler","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"spotcheck"
"8","JZOOL",1989,"216",NA,419,"C","K","Catchpole","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"9","JZOOL",1989,NA,NA,35,"A","JE","Cave",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"10","JZOOL",1989,"216",NA,2332,"M","J","Coe","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"11","JZOOL",1989,"216",NA,72,"A","A","Fincham","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"12","JZOOL",1989,NA,NA,277,"B","Green","Gardiner",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"spotcheck"
"13","JZOOL",1989,"216",NA,1761,"J","B","Messenger","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"14","JZOOL",1989,"216",NA,2955,"P","J","Whitfield","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"15","JZOOL",1990,"220",NA,1531,"J","P","Croxall","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"16","JZOOL",1990,"220",NA,2899,"P","S","Rainbow","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"17","JZOOL",1991,"223",NA,1614,"J",NA,"Gurnell","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"spotcheck"
"18","JZOOL",1991,"223",NA,3232,"R","C","Tinsley","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"19","JZOOL",1992,"226",NA,2491,"Marion",NA,"Nixon","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"20","JZOOL",1993,"229",NA,1155,"G","A","Boxshall","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"21","JZOOL",1993,"229",NA,2826,"P","J","Herring","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"22","JZOOL",1995,"235",NA,3264,"S","D","Albon","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"23","JZOOL",1995,"235",NA,2313,"M","W","Bruford","Publications Committee",NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"24","JZOOL",1995,"235",NA,1515,"Juliet",NA,"Clutton-Brock","Editor",NA,"(Retired)-Natural History Museum London",NA,NA,NA,"England","GBR",NA,"F","2x"
"25","JZOOL",1996,"238",NA,2983,"R","J","Berry","Editorial Board",NA,"University of London",NA,NA,NA,"England","GBR",NA,NA,"2x"
"26","JZOOL",1996,"238",NA,3050,"R","W","Elwood","Editorial Board",NA,"Queens University of Belfast",NA,NA,NA,"N. Ireland","IRL",NA,NA,"2x"
"27","JZOOL",1996,"238",NA,2802,"P","R","Evans","Editorial Board",NA,"University of Durham",NA,NA,NA,"England","GBR",NA,NA,"2x"
"28","JZOOL",1996,"238",NA,1876,"J","D","Skinner","Editorial Board",NA,"University of Pretoria",NA,NA,NA,"South Africa","ZAF",NA,NA,"2x"
"29","JZOOL",1997,"241",NA,419,"C","K","Catchpole","Editorial Board",NA,"University of London",NA,NA,NA,"England","GBR",NA,NA,"2x"
"30","JZOOL",1997,"241",NA,3092,"R","R","Hofmann","Editorial Board",NA,"IZW",NA,NA,NA,"Germany","DEU",NA,NA,"spotcheck"
"31","JZOOL",1997,"241",NA,329,"B",NA,"Morton","Editorial Board",NA,"University of Hong Kong",NA,NA,NA,"Hong Kong","HKG",NA,NA,"spotcheck"
"32","JZOOL",1997,"241",NA,1422,"I","R","Swingland","Editorial Board",NA,"University of Kent",NA,NA,NA,"England","GBR",NA,NA,"spotcheck"
