"","JOURNAL","YEAR","VOLUME","ISSUE","editor_id.x","editor_id.y","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","INST","UNIT","CITY","STATE","COUNTRY","COUNTRY_Prior_Class","geo.code","geo.code_Prior_Class","GENDER","NOTES"
"1","OECOL",2011,165,1,"1434",NA,"Jon",NA,"Agren","Handling.Editor","SE","missing","missing","missing","missing","Sweden",NA,"SWE",NA,NA,"DOUBLE CHECK INST"
"2","OECOL",2014,174,1,"1441",NA,"Juan",NA,"Armesto","Handling.Editor","SE","missing","missing","missing","missing","Chile",NA,"CHL",NA,NA,"DOUBLE CHECK INST"
"3","OECOL",2010,162,1,"1148",NA,"Gerardo",NA,"Avalos","Handling.Editor","SE","missing","missing","missing","missing","Costa Rica",NA,"CRI",NA,NA,"DOUBLE CHECK INST"
"4","OECOL",2005,142,1,"3274",NA,"Sven",NA,"Bacher","Editorial.Board","SE","missing","missing","missing","missing","Switzerland",NA,"CHE",NA,NA,"DOUBLE CHECK INST"
"5","OECOL",1991,85,3,"1051",NA,"Franz",NA,"Bairlein","Editorial.Board","SE","missing","missing","missing","missing","Germany",NA,"DEU",NA,NA,"DOUBLE CHECK INST"
"6","OECOL",2011,165,1,"2124",NA,"Leon",NA,"Barmuta","Handling.Editor","SE","missing","missing","missing","missing","Australia",NA,"AUS",NA,NA,"DOUBLE CHECK INST"
"7","OECOL",2006,146,4,"1284",NA,"Hormoz",NA,"BassiriRad","Editorial.Board","SE","missing","missing","missing","missing","USA",NA,"USA",NA,NA,"DOUBLE CHECK INST"
"8","OECOL",2012,170,2,"3278",NA,"Stuart",NA,"Bearhop","Handling.Editor","SE","missing","missing","missing","missing","United Kingdom",NA,"GBR",NA,NA,"DOUBLE CHECK INST"
"9","OECOL",2009,158,4,"243",NA,"Brian",NA,"Beckage","Handling.Editor","SE","missing","missing","missing","missing","USA",NA,"USA",NA,NA,"DOUBLE CHECK INST"
"10","OECOL",1990,82,1,"1053",NA,"Frank",NA,"Berendse","Editorial.Board","SE","missing","missing","missing","missing","Netherlands",NA,"NLD",NA,NA,"DOUBLE CHECK INST"
"11","OECOL",1987,71,2,"17",NA,"Andreas",NA,"Bertsch","Editorial.Board","SE","missing","missing","missing","missing","Germany",NA,"DEU",NA,NA,"DOUBLE CHECK INST"
"12","OECOL",2012,170,2,"1465",NA,"James",NA,"Bever","Handling.Editor","SE","missing","missing","missing","missing","USA",NA,"USA",NA,NA,"DOUBLE CHECK INST"
"13","OECOL",1992,89,1,"1471",NA,"Jacques",NA,"Blondel","Editorial.Board","SE","missing","missing","missing","missing","France",NA,"FRA",NA,NA,"DOUBLE CHECK INST"
"14","OECOL",2000,122,4,"1981",NA,"Katrin",NA,"Bohning-Gaese","Editorial.Board","SE","missing","missing","missing","missing","Germany",NA,"DEU",NA,NA,"DOUBLE CHECK INST"
"15","OECOL",2013,171,1,"2988",NA,"Riccardo",NA,"Bommarco","Handling.Editor","SE","missing","missing","missing","missing","Sweden",NA,"SWE",NA,NA,"DOUBLE CHECK INST"
