,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,check,please note if INCORRECT
1,LECO,1987,3060,R,TT,Forman,Merlewood Research Station,NA,NA,NA,USA,spotcheck,
3,LECO,1987,1072,Frank,B,Golley,University of Georgia,Institute of Ecology,Athens,GA,USA,2x,
4,LECO,1987,1192,G,NA,Haase,USGS/NRII,NA,NA,NA,Germany,2x,
5,LECO,1987,3744,W,NA,Haber,Oak Ridge National Laboratory,NA,NA,NA,Germany,2x,
6,LECO,1987,3392,S,A,Levin,Centre National de la Recherche Scientifique,NA,NA,NA,USA,2x,
7,LECO,1987,1230,G,NA,Merriam,University of Iowa,NA,NA,NA,Canada,2x,
8,LECO,1987,3846,Z,NA,Naveh,University of Quebec in Abitibi-Temiscamingue,NA,NA,NA,Israel,2x,
10,LECO,1987,177,A,F,Ramos,missing,NA,NA,NA,Spain,2x,
12,LECO,1987,2546,M,NA,Ruzicka,University of Nottingham,NA,NA,NA,Slovakia,2x,
13,LECO,1987,2083,K,F,Schreiber,USDA Forest Service,NA,NA,NA,Germany,2x,
14,LECO,1987,1361,H,H,Shugart,USDA Forest Service,NA,NA,NA,USA,2x,
16,LECO,1987,3233,R,NA,Tosswall,University of Illinois,NA,NA,NA,Sweden,spotcheck,
20,LECO,1988,3633,T,NA,Rosswall,University of Wisconsin-Madison,NA,NA,NA,Sweden,spotcheck,
22,LECO,1993,1480,J,NA,Brandt,Swiss Federal Research Institute WSL,NA,NA,NA,Denmark,2x,
23,LECO,1993,1295,H,NA,Decamps,University of Cambridge,NA,NA,NA,France,2x,
24,LECO,1993,968,E,NA,Fuentes,Duke University,NA,NA,NA,Chile,2x,
25,LECO,1993,1090,F,NA,Kienast,University of Georgia,NA,NA,NA,Switzerland,2x,
27,LECO,1993,1781,J,NA,Nassauer,University of Sao Paolo,NA,NA,NA,USA,2x,
28,LECO,1993,2885,P,NA,Opdam,Helmholtz Centre for Environmental Research - UFZ,NA,NA,NA,Netherlands,spotcheck,
29,LECO,1993,2580,M,NA,Turner,Center of Biological and Ecological Sciences,NA,NA,NA,USA,2x,
31,LECO,1997,3067,R,H,Gardner,Harvard University,NA,NA,NA,USA,2x,
32,LECO,1997,492,C,W,Johnson,USDA Forest Service,NA,NA,NA,USA,2x,
33,LECO,1998,1480,J,NA,Brandt,Roskilde University,Institute of Geography and International Development Studies,Roskilde,NA,Denmark,2x,
34,LECO,1998,1295,H,NA,Decamps,Centre d'Ecologie des Ressources Renouvelables,NA,Toulouse Cedex,NA,France,2x,
35,LECO,1998,3060,R,TT,Forman,Harvard University,Graduate School of Design,Cambridge,MA,USA,2x,
38,LECO,1998,3744,W,NA,Haber,Lehrstuhl fur Landschaftsokologie der Technischen Universitat Munchen,NA,NA,Freising-Weihenstephan,Germany,2x,
39,LECO,1998,492,C,W,Johnson,South Dakota State University,Department of Horticulture and Forestry,Brookings,SD,USA,2x,
40,LECO,1998,1090,F,NA,Kienast,"Swiss Federal Institute for Forest, Snow and Landscape Research",NA,Birmensdorf,NA,Switzerland,2x,
41,LECO,1998,2674,N,NA,Nakagoshi,Hiroshima University,Faculty of Integrated Arts and Sciences,Hiroshima,NA,Japan,2x,
42,LECO,1998,1781,J,NA,Nassauer,University of Minnesota,Department of Landscape Architecture,St. Paul,Minnesota,USA,spotcheck,
43,LECO,1998,3846,Z,NA,Naveh,Technion-Israel Institute of Technology,The Lowdermilk Faculty of Agricultural Engineering,Haifa,NA,Israel,2x,
44,LECO,1998,2885,P,NA,Opdam,Institute of Forestry and Nature Research,NA,Leersum,NA,Netherlands,2x,
45,LECO,1998,177,A,F,Ramos,Ciudad Universitaria,"Catedra de Planficacion, Ets Ingenieros de Montes",Madrid,NA,Spain,2x,
46,LECO,1998,2546,M,NA,Ruzicka,Center of Biological and Ecological Sciences,Department of Landscape Ecology,Bratislava,NA,Slovakia,2x,
47,LECO,1998,2580,M,NA,Turner,Oak Ridge National Laboratory,Environmental Sciences Division,Oak Ridge,TN,USA,2x,
48,LECO,1998,1034,E,NA,VanDer,University of Uppsala,Institute of Ecological Botany,Uppsala,NA,Sweden,2x,
49,LECO,1998,3912,J,A,Wiens,Colorado State University,Department of Biology,Fort Collins,CO,USA,2x,
50,LECO,1999,1429,Juan,NA,Abad,Universidad de Alicante,Department of Ecology,NA,NA,Spain,2x,
53,LECO,1999,3002,Robert,NA,Bunce,Merlewood Research Station,Institute of Terrestrial Ecology,NA,NA,UK,2x,
54,LECO,1999,640,David,NA,Butler,Southwest Texas State University,Department of Geography & Planning,NA,NA,USA,spotcheck,
55,LECO,1999,3678,Virginia,NA,Dale,Oak Ridge National Laboratory,Environmental Sciences Division,NA,NA,USA,2x,
56,LECO,1999,2373,M,NA,Fortin,Universite de Montreal,Department de Geographie,NA,NA,Canada,2x,
60,LECO,1999,2178,Louis,NA,Iverson,USDA Forest Service,NA,NA,NA,USA,spotcheck,
62,LECO,1999,1223,George,NA,Malanson,University of Iowa,Department of Geography,NA,NA,USA,2x,
65,LECO,1999,3169,Robert,NA,Naiman,University of Washington,School of Fisheries,NA,NA,USA,2x,
67,LECO,1999,2113,Kimberly,A,With,Bowling Green State University,Department of Biological Sciences,NA,NA,USA,2x,
68,LECO,2000,637,Daniel,NA,Brown,University of Michigan,School of Natural Resources and Environment,Ann Arbor,MI,USA,2x,
69,LECO,2000,765,D,NA,Lindenmayer,The Australian National University,Centre for Resource and Environmental Studies,NA,NA,Australia,spotcheck,
70,LECO,2000,790,David,NA,Mladenoff,University of Wisconsin,Department of Forest Ecology and Management,Madison,WI,USA,2x,
72,LECO,2001,1295,H,NA,Decamps,Centre National de la Recherche Scientifique,Centre d'Ecologie des Systemes,NA,NA,France,spotcheck,
75,LECO,2001,2162,L,NA,Hannson,Swedish Agricultural University,Department of Conservation Biology,NA,NA,Sweden,2x,
77,LECO,2001,1091,Frans,NA,Klijn,WL Delft Hydraulics,NA,NA,NA,Netherlands,spotcheck,
78,LECO,2001,1223,George,NA,Malanson,Southwest Texas State University,Department of Geography,NA,NA,USA,2x,
79,LECO,2001,3846,Z,NA,Naveh,"Technion, Israel Institute of Technology",Faculty of Agricultural Engineering,NA,NA,Israel,2x,
80,LECO,2001,2885,P,NA,Opdam,ALTERRA-Research Instituut voor de groene ruimte,Department of Landscape Ecology,Wageningen,NA,Netherlands,2x,
81,LECO,2001,2580,M,NA,Turner,University of Wisconsin,Department of Zoology,Madison,WI,USA,2x,
82,LECO,2001,2113,Kimberly,A,With,Kansas State University,Division of Biology,Manhattan,KS,USA,2x,
83,LECO,2001,1966,Jianguo,NA,Wu,Arizona State University-west,NA,NA,NA,USA,2x,
85,LECO,2002,1781,J,NA,Nassauer,University of Michigan,School of Natural Resources and Environment,Ann Arbor,MI,USA,2x,
87,LECO,2002,1966,Jianguo,NA,Wu,Arizona State University,Department of Plant Biology,Tempe,AZ,USA,2x,
88,LECO,2003,1482,J,NA,Breuste,Salzburg University,Department of Geography and Geoinformatics,NA,NA,Germany,2x,
91,LECO,2003,2181,Lucinda,B,Johnson,University of Minnesota,Natural Resources Research Institute,Duluth,MN,USA,2x,
92,LECO,2003,1763,Jean-Paul,NA,Metzger,University of Sao Paolo,Department of Ecology,NA,NA,Brazil,2x,
93,LECO,2003,1787,Jari,NA,Niemela,University of Helsinki,Department of Ecology and Systematics,NA,NA,Finland,2x,
94,LECO,2003,2885,P,NA,Opdam,ALTERRA Research Institute for the Green World,Department of Landscape Ecology,NA,NA,Netherlands,2x,
96,LECO,2003,2580,M,NA,Turner,University of Wisconsin-Madison,Department of Zoology,Madison,WI,USA,spotcheck,
98,LECO,2003,1952,James,NA,Wickham,Environmental Protection Agency,National Exposure Research Laboratory,NA,NA,USA,2x,
99,LECO,2003,3912,J,A,Wiens,The Nature Conservancy,NA,NA,NA,USA,2x,
101,LECO,2004,448,Curtis,NA,Flather,Universidad de Concepcion,NA,NA,NA,USA,2x,
103,LECO,2004,1954,John,NA,Wiens,Environmental Protection Agency,NA,NA,NA,USA,spotcheck,
104,LECO,2005,1429,Juan,NA,Abad,University of Alicante,Department of Ecology,NA,NA,Spain,2x,
107,LECO,2005,2306,M,A,Bowers,University of Virginia,Blandy Experimental Farm,NA,NA,USA,spotcheck,
111,LECO,2005,975,E,NA,Gustafson,USDA Forest Service,NA,Rhinelander,WI,USA,spotcheck,
112,LECO,2005,3114,R,NA,Jongman,Alterra,NA,Wageningen,NA,Netherlands,2x,
116,LECO,2005,3902,J,NA,Niemela,University of Helsinki,Department of Ecology and Systematics,NA,NA,Finland,2x,
117,LECO,2005,2885,P,NA,Opdam,Alterra,NA,Wageningen,NA,Netherlands,2x,
119,LECO,2005,3878,H,NA,Wagner,WSL Swiss Federal Research Institute,NA,Birmensdorf,NA,Switzerland,2x,
120,LECO,2005,2253,L,NA,Walker,University of Nevada-Las Vegas,Department of Biological Sciences,Las Vegas,NV,USA,spotcheck,
