"","JOURNAL","YEAR","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","UNIT","CITY","STATE","COUNTRY","NOTES","X"
"1","JAPE",2011,"608","David",NA,"Angeler","","","Uppsala",NA,"",NA,""
"2","JAPE",2012,"608","David",NA,"Angeler",NA,NA,NA,NA,"Sweden",NA,NA
"3","JAPE",2013,"608","David",NA,"Angeler",NA,NA,NA,NA,"Sweden",NA,NA
"4","JAPE",2014,"608","David",NA,"Angeler",NA,NA,NA,NA,"Sweden",NA,NA
"5","JAPE",2015,"608","David",NA,"Angeler",NA,NA,NA,NA,"Sweden",NA,NA
"6","JAPE",2010,"2757","Paul",NA,"Armsworth","University of Tennessee","",NA,NA,"",NA,""
"7","JAPE",2011,"2757","Paul",NA,"Armsworth",NA,NA,NA,NA,"USA",NA,NA
"8","JAPE",2012,"2757","Paul",NA,"Armsworth",NA,NA,NA,NA,"USA",NA,NA
"9","JAPE",2013,"2757","Paul",NA,"Armsworth",NA,NA,NA,NA,"USA",NA,NA
"10","JAPE",2014,"2757","Paul",NA,"Armsworth",NA,NA,NA,NA,"USA",NA,NA
"11","JAPE",2010,"3272","Shelley",NA,"Arnott","","",NA,"Ontario","",NA,""
"12","JAPE",2011,"3272","Shelley",NA,"Arnott",NA,NA,NA,NA,"Canada",NA,NA
"13","JAPE",2012,"3272","Shelley",NA,"Arnott",NA,NA,NA,NA,"Canada",NA,NA
"14","JAPE",2013,"3272","Shelley",NA,"Arnott",NA,NA,NA,NA,"Canada",NA,NA
"15","JAPE",2014,"3272","Shelley",NA,"Arnott",NA,NA,NA,NA,"Canada",NA,NA
"16","JAPE",2015,"3272","Shelley",NA,"Arnott",NA,NA,NA,NA,"Canada",NA,NA
"17","JAPE",2011,"2280","Mel",NA,"Austen","Plymouth Marine Laboratory",NA,"Playmouth",NA,"United Kingdom",NA,NA
"18","JAPE",2012,"2280","Mel",NA,"Austen",NA,NA,NA,NA,"United Kingdom",NA,NA
"19","JAPE",2013,"390","Christina",NA,"Banks-Leite","Imperial College London",NA,NA,NA,"United Kingdom",NA,NA
"20","JAPE",2014,"390","Christina",NA,"Banks-Leite",NA,NA,NA,NA,"United Kingdom",NA,NA
"21","JAPE",2015,"390","Christina",NA,"Banks-Leite",NA,NA,NA,NA,"United Kingdom",NA,NA
"22","JAPE",2010,"1452","Jos",NA,"Barlow","","",NA,NA,"",NA,""
"23","JAPE",2008,"1452","Jos",NA,"Barlow",NA,NA,"Lancaster",NA,"United Kingdom",NA,NA
"24","JAPE",2009,"1452","Jos",NA,"Barlow",NA,NA,NA,NA,"United Kingdom",NA,NA
"25","JAPE",2011,"1452","Jos",NA,"Barlow",NA,NA,NA,NA,"United Kingdom",NA,NA
"26","JAPE",2012,"1452","Jos",NA,"Barlow",NA,NA,NA,NA,"United Kingdom",NA,NA
"27","JAPE",2013,"1452","Jos",NA,"Barlow",NA,NA,NA,NA,"United Kingdom",NA,NA
"28","JAPE",2014,"1452","Jos",NA,"Barlow",NA,NA,NA,NA,"United Kingdom",NA,NA
"29","JAPE",2015,"1452","Jos",NA,"Barlow",NA,NA,NA,NA,"United Kingdom",NA,NA
"30","JAPE",2010,"2125","Lesley",NA,"Batty","Unviersity of Birmingham",NA,NA,NA,"United Kingdom",NA,NA
"31","JAPE",2011,"2125","Lesley",NA,"Batty",NA,NA,NA,NA,"United Kingdom",NA,NA
"32","JAPE",2012,"2125","Lesley",NA,"Batty",NA,NA,NA,NA,"United Kingdom",NA,NA
"33","JAPE",2013,"2125","Lesley",NA,"Batty",NA,NA,NA,NA,"United Kingdom",NA,NA
"34","JAPE",2002,"3881","Jacques",NA,"Baudry",NA,NA,"Rennes",NA,"France",NA,NA
"35","JAPE",2003,"3881","Jacques",NA,"Baudry",NA,NA,NA,NA,"France",NA,NA
"36","JAPE",2004,"3881","Jacques",NA,"Baudry",NA,NA,NA,NA,"France",NA,NA
"37","JAPE",2005,"3881","Jacques",NA,"Baudry",NA,NA,NA,NA,"France",NA,NA
"38","JAPE",2006,"3881","Jacques",NA,"Baudry",NA,NA,NA,NA,"France",NA,NA
"39","JAPE",1985,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"40","JAPE",1986,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"41","JAPE",1987,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"42","JAPE",1988,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"43","JAPE",1989,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"44","JAPE",1990,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"45","JAPE",1991,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"46","JAPE",1992,"242","B","L","Bayne",NA,NA,"Playmouth",NA,"United Kingdom",NA,NA
"47","JAPE",1993,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"48","JAPE",1994,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"49","JAPE",1995,"242","B","L","Bayne",NA,NA,NA,NA,"United Kingdom",NA,NA
"50","JAPE",2014,"3882","Joseph",NA,"Bennett","University of Queensland",NA,NA,NA,"Australia",NA,NA
"51","JAPE",2015,"3882","Joseph",NA,"Bennett",NA,NA,NA,NA,"Australia",NA,NA
"52","JAPE",2012,"2294","Malcom",NA,"Bennett",NA,NA,NA,NA,"United Kingdom",NA,NA
"53","JAPE",1985,"629","David","E","Bignell",NA,NA,NA,NA,"United Kingdom",NA,NA
"54","JAPE",1986,"629","David","E","Bignell",NA,NA,NA,NA,"United Kingdom",NA,NA
"55","JAPE",1987,"629","David","E","Bignell",NA,NA,NA,NA,"United Kingdom",NA,NA
"56","JAPE",1988,"629","David","E","Bignell",NA,NA,NA,NA,"United Kingdom",NA,NA
