"","JOURNAL","YEAR","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","UNIT","CITY","STATE","COUNTRY","NOTES","X"
"1","JECOL",2005,"2751","Paul",NA,"Adam","University of New South Wales",NA,NA,NA,"Australia",NA,NA
"2","JECOL",2000,"2751","Paul",NA,"Adam",NA,NA,"Sydney",NA,"Australia",NA,NA
"3","JECOL",2001,"2751","Paul",NA,"Adam",NA,NA,"Sydney",NA,"Australia",NA,NA
"4","JECOL",2002,"2751","Paul",NA,"Adam",NA,NA,"Sydney",NA,"Australia",NA,NA
"5","JECOL",2003,"2751","Paul",NA,"Adam",NA,NA,"Sydney",NA,"Australia",NA,NA
"6","JECOL",2004,"2751","Paul",NA,"Adam",NA,NA,"Sydney",NA,"Australia",NA,NA
"7","JECOL",2005,"2753","Peter",NA,"Alpert","University of Massachusetts Amherst","",NA,NA,"USA",NA,NA
"8","JECOL",2000,"2753","Peter",NA,"Alpert",NA,NA,"Amherst",NA,"USA",NA,NA
"9","JECOL",2001,"2753","Peter",NA,"Alpert",NA,NA,"Amherst",NA,"USA",NA,NA
"10","JECOL",2002,"2753","Peter",NA,"Alpert",NA,NA,"Amherst",NA,"USA",NA,NA
"11","JECOL",2003,"2753","Peter",NA,"Alpert",NA,NA,"Amherst",NA,"USA",NA,NA
"12","JECOL",2004,"2753","Peter",NA,"Alpert",NA,NA,"Amherst",NA,"USA",NA,NA
"13","PLANTECOL",1985,"2281","Mike","P","Austin","CSIRO","","Canberra",NA,"Australia",NA,NA
"14","JECOL",1988,"2281","Mike","P","Austin",NA,NA,NA,NA,"Australia",NA,NA
"15","JECOL",1989,"2281","Mike","P","Austin",NA,NA,NA,NA,"Australia",NA,NA
"16","JECOL",1990,"2281","Mike","P","Austin",NA,NA,NA,NA,"Australia",NA,NA
"17","JECOL",1991,"2281","Mike","P","Austin",NA,NA,NA,NA,"Australia",NA,NA
"18","JECOL",1992,"2281","Mike","P","Austin",NA,NA,"Canberra",NA,"Australia",NA,NA
"19","JECOL",1993,"2281","Mike","P","Austin",NA,NA,"Canberra",NA,"Australia",NA,NA
"20","JECOL",2007,"2977","Richard","D","Bardgett","","","Lancaster",NA,"",NA,""
"21","JECOL",2005,"2977","Richard","D","Bardgett","University of Lancaster",NA,NA,NA,"United Kingdom",NA,NA
"22","JECOL",2014,"2977","Richard","D","Bardgett","University of Manchester",NA,NA,NA,"United Kingdom",NA,NA
"23","JECOL",2004,"2977","Richard","D","Bardgett",NA,NA,"Lancaster",NA,"United Kingdom",NA,NA
"24","JECOL",2005,"3276","Spencer","CH","Barrett","","",NA,NA,"",NA,""
"25","JECOL",1998,"3276","Spencer","CH","Barrett",NA,NA,NA,NA,"Canada",NA,NA
"26","JECOL",1999,"3276","Spencer","CH","Barrett",NA,NA,NA,NA,"Canada",NA,NA
"27","JECOL",2000,"3276","Spencer","CH","Barrett",NA,NA,"Toronto",NA,"Canada",NA,NA
"28","JECOL",2001,"3276","Spencer","CH","Barrett",NA,NA,"Toronto",NA,"Canada",NA,NA
"29","JECOL",2002,"3276","Spencer","CH","Barrett",NA,NA,"Toronto",NA,"Canada",NA,NA
"30","JECOL",2003,"3276","Spencer","CH","Barrett",NA,NA,"Toronto",NA,"Canada",NA,NA
"31","JECOL",2004,"3276","Spencer","CH","Barrett",NA,NA,"Toronto",NA,"Canada",NA,NA
"32","JECOL",1991,"2979","Richard","W","Battarbee",NA,NA,NA,NA,"United Kingdom",NA,NA
"33","JECOL",1992,"2979","Richard","W","Battarbee",NA,NA,"London",NA,"United Kingdom",NA,NA
"34","JECOL",1993,"2979","Richard","W","Battarbee",NA,NA,"London",NA,"United Kingdom",NA,NA
"35","JECOL",2005,"639","David",NA,"Burslem","University of Aberdeen","",NA,NA,"United Kingdom",NA,NA
"36","JECOL",2002,"639","David",NA,"Burslem",NA,NA,"Aberdeen",NA,"United Kingdom",NA,NA
"37","JECOL",2003,"639","David",NA,"Burslem",NA,NA,"Aberdeen",NA,"United Kingdom",NA,NA
"38","JECOL",2004,"639","David",NA,"Burslem",NA,NA,"Aberdeen",NA,"United Kingdom",NA,NA
"39","JECOL",2005,"3009","Ragan","M","Callaway","University of Montana",NA,NA,NA,"USA",NA,NA
"40","JECOL",2004,"3009","Ragan","M","Callaway",NA,NA,"Missoula",NA,"USA",NA,NA
"41","JECOL",1991,"644","David","R","Causton",NA,NA,NA,NA,"United Kingdom",NA,NA
"42","JECOL",1992,"644","David","R","Causton",NA,NA,"Aberystwyth",NA,"United Kingdom",NA,NA
"43","JECOL",1993,"644","David","R","Causton",NA,NA,"Aberystwyth",NA,"United Kingdom",NA,NA
"44","JECOL",1987,"1519","John",NA,"Connolly",NA,NA,NA,NA,"Ireland",NA,NA
"45","JECOL",1988,"1519","John",NA,"Connolly",NA,NA,NA,NA,"Ireland",NA,NA
"46","JECOL",1989,"1519","John",NA,"Connolly",NA,NA,NA,NA,"Ireland",NA,NA
"47","JECOL",1990,"1519","John",NA,"Connolly",NA,NA,NA,NA,"Ireland",NA,NA
"48","JECOL",1991,"1519","John",NA,"Connolly",NA,NA,NA,NA,"Ireland",NA,NA
"49","JECOL",1992,"1519","John",NA,"Connolly",NA,NA,"Dublin",NA,"Ireland",NA,NA
"50","JECOL",1993,"1519","John",NA,"Connolly",NA,NA,"Dublin",NA,"Ireland",NA,NA
"51","JECOL",1987,"2338","M","J","Crawley",NA,NA,NA,NA,"United Kingdom",NA,NA
"52","JECOL",1988,"2338","M","J","Crawley",NA,NA,NA,NA,"United Kingdom",NA,NA
"53","JECOL",1989,"2338","M","J","Crawley",NA,NA,NA,NA,"United Kingdom",NA,NA
"54","JECOL",1990,"2338","M","J","Crawley",NA,NA,NA,NA,"United Kingdom",NA,NA
"55","JECOL",1991,"2338","M","J","Crawley",NA,NA,NA,NA,"United Kingdom",NA,NA
"56","JECOL",1992,"2338","M","J","Crawley",NA,NA,"Ascot",NA,"United Kingdom",NA,NA
"57","JECOL",1993,"2338","M","J","Crawley",NA,NA,"Ascot",NA,"United Kingdom",NA,NA
"58","JECOL",1994,"2338","M","J","Crawley",NA,NA,"Ascot",NA,"United Kingdom",NA,NA
"59","OECOL",1994,"2338","Michael","J","Crawley","","",NA,NA,"",NA,""
"60","PLANTECOL",2001,"2338","Michael","J","Crawley","Imperial College London","","Ascot",NA,"United Kingdom",NA,NA
"61","JECOL",1990,"2342","M","S","Davies",NA,NA,NA,NA,"United Kingdom",NA,NA
"62","JECOL",1991,"2342","M","S","Davies",NA,NA,NA,NA,"United Kingdom",NA,NA
"63","JECOL",1992,"2342","M","S","Davies",NA,NA,"Cardiff",NA,"United Kingdom",NA,NA
"64","JECOL",1993,"2342","M","S","Davies",NA,NA,"Cardiff",NA,"United Kingdom",NA,NA
"65","JECOL",2007,"50","Anthony","J","Davy","University of East Anglia",NA,NA,NA,"United Kingdom",NA,NA
"66","JECOL",1996,"50","Anthony","J","Davy",NA,NA,"Norwich",NA,"United Kingdom",NA,NA
"67","ECOLOGY",1996,"1296","Hans",NA,"DeKroon","","","Wageningen","Gelderland","",NA,""
"68","JECOL",2005,"1296","Hans",NA,"DeKroon","Radboud University Nijmegen","",NA,NA,"Netherlands",NA,NA
"69","JECOL",2002,"1296","Hans",NA,"DeKroon",NA,NA,"Nijmegen",NA,"Netherlands",NA,NA
"70","JECOL",2003,"1296","Hans",NA,"DeKroon",NA,NA,"Nijmegen",NA,"Netherlands",NA,NA
"71","JECOL",2004,"1296","Hans",NA,"DeKroon",NA,NA,"Nijmegen",NA,"Netherlands",NA,NA
"72","JECOL",1985,"1564","John","R","Etherington",NA,NA,NA,NA,"United Kingdom",NA,NA
"73","JECOL",1986,"1564","John","R","Etherington",NA,NA,NA,NA,"United Kingdom",NA,NA
"74","JECOL",1987,"1564","John","R","Etherington",NA,NA,NA,NA,"United Kingdom",NA,NA
"75","JECOL",1988,"1564","John","R","Etherington",NA,NA,NA,NA,"United Kingdom",NA,NA
"76","JECOL",1989,"1564","John","R","Etherington",NA,NA,NA,NA,"United Kingdom",NA,NA
"77","JECOL",1990,"1564","John","R","Etherington",NA,NA,NA,NA,"United Kingdom",NA,NA
"78","JECOL",1995,"2364","Michael",NA,"Fenner",NA,NA,"Southampton",NA,"United Kingdom",NA,NA
"79","JECOL",1996,"2364","Michael",NA,"Fenner",NA,NA,"Southampton",NA,"United Kingdom",NA,NA
"80","JECOL",1997,"2364","Michael",NA,"Fenner",NA,NA,"Southampton",NA,"United Kingdom",NA,NA
"81","JECOL",1998,"2364","Michael",NA,"Fenner",NA,NA,"Southampton",NA,"United Kingdom",NA,NA
"82","JECOL",1999,"2364","Michael",NA,"Fenner",NA,NA,"Southampton",NA,"United Kingdom",NA,NA
"83","JECOL",2000,"2364","Michael",NA,"Fenner",NA,NA,"Southampton",NA,"United Kingdom",NA,NA
"84","JECOL",2001,"2364","Michael",NA,"Fenner",NA,NA,"Southampton",NA,"United Kingdom",NA,NA
"85","JECOL",1996,"74","Alastair","H","Fitter","","",NA,NA,"",NA,""
"86","JECOL",1992,"74","Alastair","H","Fitter",NA,NA,"York",NA,"United Kingdom",NA,NA
"87","JECOL",1997,"74","Alastair","H","Fitter",NA,NA,"York",NA,"United Kingdom",NA,NA
"88","JECOL",1998,"74","Alastair","H","Fitter",NA,NA,"York",NA,"United Kingdom",NA,NA
"89","ECOLOGY",1993,"690","David","R","Foster","Harvard University","Harvard Forest","Petersham","MA","USA",NA,NA
"90","JECOL",1991,"690","David","R","Foster",NA,NA,NA,NA,"USA",NA,NA
"91","JECOL",1992,"690","David","R","Foster",NA,NA,"Petersham",NA,"USA",NA,NA
"92","JECOL",1993,"690","David","R","Foster",NA,NA,"Petersham",NA,"USA",NA,NA
"93","JECOL",1994,"690","David","R","Foster",NA,NA,"Petersham",NA,"USA",NA,NA
"94","JECOL",2014,"703","David","J","Gibson","Southern Illinois University","Center for Ecology, Department of Plant Biology","Carbondale","IL 62901-6509","USA",NA,NA
"95","JECOL",1992,"703","David","J","Gibson",NA,NA,"Pensacola",NA,"USA",NA,NA
"96","JECOL",1993,"703","David","J","Gibson",NA,NA,"Carbondale",NA,"USA",NA,NA
"97","JECOL",1994,"703","David","J","Gibson",NA,NA,"Carbondale",NA,"USA",NA,NA
"98","JECOL",1995,"703","David","J","Gibson",NA,NA,"Carbondale",NA,"USA",NA,NA
"99","JECOL",1996,"703","David","J","Gibson",NA,NA,"Carbondale",NA,"USA",NA,NA
"100","JECOL",1997,"703","David","J","Gibson",NA,NA,"Carbondale",NA,"USA",NA,NA
"101","JECOL",1998,"703","David","J","Gibson",NA,NA,"Carbondale",NA,"USA",NA,NA
"102","JECOL",1999,"703","David","J","Gibson",NA,NA,"Carbondale",NA,"USA",NA,NA
"103","JECOL",2014,"1070","Frank","S","Gilliam","Marshall University",NA,NA,NA,"USA",NA,NA
"104","JECOL",2004,"1070","Frank","S","Gilliam",NA,NA,"Huntington",NA,"USA",NA,NA
"105","JECOL",1985,"3892","James ","B.","Grace",NA,NA,"Baton Rouge","Louisiana","USA",NA,NA
"106","JECOL",1991,"89","Alan","J","Gray",NA,NA,NA,NA,"United Kingdom",NA,NA
"107","JECOL",1992,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"108","JECOL",1993,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"109","JECOL",1994,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"110","JECOL",1995,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"111","JECOL",1996,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"112","JECOL",1997,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
