,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,UNIT,INST,CITY,STATE,COUNTRY,check,please note here if INCORRECT
1,JBIOG,1985,2758,Peter,Shaw,Ashton,NA,Arnold Arboretum Of Harvard University,NA,NA,United States,spotcheck,
2,JBIOG,1985,2790,Pierre,NA,Dansereau,NA,missing,NA,NA,Canada,2x,Incorrect
4,JBIOG,1985,1574,John,NA,Flenley,NA,missing,NA,NA,United States,2x,Incorrect
5,JBIOG,1985,94,Anthony,NA,Hallam,NA,missing,NA,NA,UK,2x,Incorrect
6,JBIOG,1985,3560,Tim,NA,Halliday,NA,missing,NA,NA,UK,2x,Incorrect
8,JBIOG,1985,2832,Peter,NA,Holland,NA,missing,NA,NA,New Zealand,2x,NOT LISTED FOR THIS YEAR
9,JBIOG,1985,117,Allen,NA,Keast,NA,missing,NA,NA,Canada,2x,Incorrect
10,JBIOG,1985,1328,Helmut,NA,Lieth,NA,missing,NA,NA,Germany,2x,Incorrect
11,JBIOG,1985,2877,Peter,NA,Muller,NA,missing,NA,NA,Germany,2x,Incorrect
12,JBIOG,1985,2889,Peter,A,Parsons,Department Of Genetics And Human Variation,La Trobe University,NA,NA,Australia,2x,
14,JBIOG,1985,3906,Jonathan,D,Sauer,Department Of Geography,University Of California At Los Angeles,NA,NA,United States,spotcheck,
15,JBIOG,1985,867,Daniel,NA,Simberloff,NA,missing,NA,NA,United States,2x,Incorrect
17,JBIOG,1985,2927,Philip,NA,Stott,NA,missing,NA,NA,UK,2x,Incorrect
19,JBIOG,1985,1139,Francois,NA,Vuilleumier,NA,missing,NA,NA,United States,2x,Incorrect
20,JBIOG,1985,900,Donald,NA,Walker,NA,missing,NA,NA,Australia,2x,Incorrect
21,JBIOG,1985,1375,Heinrich,NA,Walter,NA,missing,NA,NA,Germany,2x,Incorrect
24,JBIOG,1988,347,Brian,NA,Rosen,NA,missing,NA,NA,UK,2x,Incorrect
25,JBIOG,1988,3249,Robert,NA,Whittaker,NA,missing,NA,NA,UK,2x,Incorrect
26,JBIOG,1989,932,Eduard,MeineVanZinderen,Bakker,Institute For Environmental Studies,University Of Orange Free State,NA,NA,South Africa,spotcheck,
29,JBIOG,1991,1285,H,JohnB,Birks,Botanical Institute,University Of Bergen,NA,NA,Norway,2x,
30,JBIOG,1991,2823,Paul,H,Harvey,NA,missing,NA,NA,Canada,2x,Incorrect
31,JBIOG,1991,3089,Rob,NA,Hengeveld,NA,missing,NA,NA,Netherlands,2x,Incorrect
33,JBIOG,1991,485,Christopher,J,Humphries,Department Of Botany,The Natural History Museum,NA,NA,UK,2x,
34,JBIOG,1991,292,Brian,NA,Huntley,NA,missing,NA,NA,UK,2x,Incorrect
35,JBIOG,1991,2430,Martin,NA,Kellman,NA,missing,NA,NA,Canada,2x,Incorrect
36,JBIOG,1991,1670,Jamie,NA,Kirkpatrick,NA,missing,NA,NA,Australia,2x,Incorrect
38,JBIOG,1991,2869,Peter,NA,Moore,NA,missing,NA,NA,UK,2x,Incorrect
39,JBIOG,1991,1237,Gareth,NA,Nelson,NA,missing,NA,NA,United States,2x,Incorrect
40,JBIOG,1991,1248,Ghillean,T,Prance,Director,Royal Botanic Gardens,NA,NA,UK,2x,
41,JBIOG,1991,1826,Jennifer,NA,Read,NA,missing,NA,NA,Australia,2x,Incorrect
42,JBIOG,1991,1418,Ian,Green,Simmons,NA,missing,NA,NA,UK,2x,Incorrect
43,JBIOG,1991,3655,Thompson,NA,Webb,NA,missing,NA,NA,United States,2x,Incorrect
46,JBIOG,1994,2800,Pehr,H,Enckell,Department Of Ecology,Lund University,NA,NA,Sweden,spotcheck,
49,JBIOG,1996,3927,Pam,M,Berry,School Of Geography,University Of Oxford,NA,NA,UK,2x,
51,JBIOG,1996,2742,Otto,T,Solbrig,NA,Harvard University,NA,NA,United States,spotcheck,
52,JBIOG,1996,3249,Robert,J,Whittaker,School Of Geography,University Of Oxford,NA,NA,UK,2x,
55,JBIOG,1999,1220,Glen,M,MacDonald,Department Of Geography,University Of California At Los Angeles,NA,NA,United States,2x,
56,JBIOG,2000,1248,Ghillean,T,Prance,NA,Lyme Regis,NA,NA,UK,2x,
59,JBIOG,2002,3057,Richard,NA,Field,NA,missing,NA,NA,UK,spotcheck,Incorrect
61,JBIOG,2005,634,David,MJS,Bowman,Key Centre For Tropical Wildlife Management,Charles Darwin University,NA,NA,Australia,2x,
66,JBIOG,2005,2356,Malte,C,Ebach,Department Of Botany,The Natural History Museum,NA,NA,UK,2x,
68,JBIOG,2005,2648,Nicholas,J,Gotelli,Department Of Biology,University Of Vermont,NA,NA,United States,spotcheck,
70,JBIOG,2005,2855,P,JohnD,Lambshead,Department Of Zoology,The Natural History Museum,NA,NA,UK,2x,
72,JBIOG,2005,1220,Glen,M,MacDonald,Geography And Ecology And Evolutionary Biology,University Of California,NA,NA,United States,2x,
73,JBIOG,2005,2469,Melodie,A,McGeoch,Department Of Conservation Ecology,University Of Stellenbosch,NA,NA,South Africa,2x,
74,JBIOG,2005,2746,Ole,R,Vetaas,Centre For Development Studies,University Of Bergen,NA,NA,Norway,2x,
76,JBIOG,2006,2356,Malte,C,Ebach,Laboratoire Informatique Et Systematique,Universite Pierre Et Marie Curie,NA,NA,France,2x,
77,JBIOG,2006,288,Bradford,A,Hawkins,Department Of Ecology & Evolutionary Biology,"University Of California, Irvine",NA,NA,United States,spotcheck,
82,JBIOG,2007,97,Alexander,NA,Harcourt,NA,missing,NA,NA,United States,spotcheck,Incorrect
84,JBIOG,2007,3443,Serban,NA,Proches,NA,missing,NA,NA,South Africa,2x,Incorrect
86,JBIOG,2008,2201,Lisa,NA,Manne,NA,missing,NA,NA,Canada,2x,Incorrect
87,JBIOG,2008,546,Catherine,NA,Parr,NA,missing,NA,NA,UK,2x,Incorrect
88,JBIOG,2008,2507,Michael,NA,Patten,NA,missing,NA,NA,United States,2x,Incorrect
90,JBIOG,2008,1899,Jens-Christian,NA,Svenning,NA,missing,NA,NA,Denmark,2x,Incorrect
92,JBIOG,2009,2356,Malte,C,Ebach,International Institute For Species Exploration,Arizona State University,NA,NA,United States,2x,
93,JBIOG,2009,2469,Melodie,A,McGeoch,Cape Research Centre,South African National Parks,NA,NA,South Africa,2x,
94,JBIOG,2009,1013,Eileen,M,O'Brien,Science Division,Gainesville College,NA,NA,United States,2x,
95,JBIOG,2009,3189,Richard,NA,Pearson,NA,missing,NA,NA,United States,2x,Incorrect
96,JBIOG,2009,3913,Jack,NA,Williams,NA,missing,NA,NA,United States,2x,Incorrect
99,JBIOG,2010,2356,Malte,C,Ebach,School Of Bees,Unsw,NA,NA,Australia,2x,Incorrect
101,JBIOG,2010,2855,P,JohnD,Lambshead,NA,Universtity Of Southampton,NA,NA,UK,2x,Incorrect
102,JBIOG,2010,1747,Judith,NA,Masters,NA,missing,NA,NA,South Africa,2x,NOT LISTED FOR THIS YEAR
103,JBIOG,2010,1013,Eileen,M,O'Brien,NA,Oxford University,NA,NA,UK,spotcheck,Incorrect
107,JBIOG,2011,716,Dennis,NA,Hansen,NA,missing,NA,NA,United States,spotcheck,
108,JBIOG,2011,3125,Richard,J,Ladle,NA,University Of Oxford,NA,NA,UK,2x,
110,JBIOG,2011,1834,James,NA,Richardson,NA,missing,NA,NA,UK,2x,
112,JBIOG,2011,2232,Luiz,A,Rocha,NA,California Academy Of Sciences,NA,NA,United States,2x,Incorrect
115,JBIOG,2012,343,Brett,R,Riddle,Department Of Biological Sciencies,University Of Nevada Las Vegas,NA,NA,United States,spotcheck,Incorrect/partially correct
116,JBIOG,2012,2232,Luiz,A,Rocha,NA,Uc Santa Cruz,NA,NA,United States,2x,Incorrect
119,JBIOG,2013,1436,Jason,NA,Ali,NA,missing,NA,NA,Japan,2x,
121,JBIOG,2013,266,Brent,NA,Emerson,NA,missing,NA,NA,Spain,spotcheck,
125,JBIOG,2013,3125,Richard,J,Ladle,NA,Icbs Ufal And Oxford University,NA,NA,Brazil And UK,spotcheck,
127,JBIOG,2013,166,Albert,NA,Phillimore,NA,missing,NA,NA,UK,spotcheck,
131,JBIOG,2014,647,Daniel,NA,Chapman,NA,missing,NA,NA,UK,spotcheck,
136,JBIOG,2014,3125,Richard,J,Ladle,NA,Universidade Federal De Alagoas,NA,NA,Brazil,2x,
137,JBIOG,2014,1097,Fu-Min,NA,Lei,NA,missing,NA,NA,China,spotcheck,
