Column,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,Inst_Prior_Class,DATA
50,PLANTECOL,1992,1534,John,WH,Dacey,Woods Hole Oceanographic Institution,,,,United States,Woods Hole Oceanographic Institution,United States
19,PLANTECOL,1988,576,Cajo,JF,TerBraak,Wageningen University,,,,Netherlands,Wageningen University,The Netherlands
99,PLANTECOL,2003,2102,Karle,V,Sykora,Wageningen University,,,,Netherlands,Wageningen University,The Netherlands
2,PLANTECOL,1985,1457,James,S,Beard,Vegetation Survey of Western Australia,,Applecross,Western Australia,Australia,Vegetation Survey of Western Australia,Australia
116,PLANTECOL,2007,3624,Thijs,L,Pons,Utrecht University,,,,Netherlands,Utrecht University,The Netherlands
32,PLANTECOL,1991,139,Ariel,E,Lugo,USDA Forest Service,,,,Puerto Rico,USDA Forest Service,Puerto Rico
150,PLANTECOL,2012,3341,Santiago,C,Gonzales-Martinez,USDA Forest Service,,,,United States,USDA Forest Service,United States
11,PLANTECOL,1985,1415,Iain,C,Prentice,Uppsala University,,Uppsala,,Sweden,Uppsala University,Sweden
57,PLANTECOL,1993,2325,Marion,L,Cambridge,University of Western Australia,,,,Australia,University of Western Australia,Australia
72,PLANTECOL,1997,3161,Roger,del,Moral,University of Washington,,,,United States,University of Washington ,United States
36,PLANTECOL,1991,2882,Pier,L,Nimis,University of Trieste,,,,Italy,University of Trieste,Italy
53,PLANTECOL,1992,3108,Robert,L,Jefferies,University of Toronto,,,,Canada,University of Toronto,Canada
94,PLANTECOL,2002,3209,Rowan,F,Sage,University of Toronto,,,,Canada,University of Toronto,Canada
120,PLANTECOL,2007,1043,Edward,TF,Witkowski,University of the Witwatersrand,,,,South Africa,University of the Witwatersrand,South Africa
161,PLANTECOL,2012,1272,Glenda,M,Wardle,University of Sydney,,,,Australia,University of Sydney,Australia
153,PLANTECOL,2012,1687,John,A,Kupfer,University of South Carolina,,,,United States,University of South Carolina,United States
111,PLANTECOL,2007,3723,Walter,P,Carson,University of Pittsburgh,,,,United States,University of Pittsburgh,United States
10,PLANTECOL,1985,3190,Robert,K,Peet,University of North Carolina at Chapel Hill,,Chapel Hill,North Carolina,United States,University of North Carolina at Chapel Hill,United States
76,PLANTECOL,1997,3497,Stephen,J,Walsh,University of North Carolina at Chapel Hill,,,,United States,University of North Carolina at Chapel Hill,United States
104,PLANTECOL,2004,2253,Lawrence,R,Walker,University of Nevada,,,,United States,University of Nevada,United States
90,PLANTECOL,2002,3334,Susan,M,Galatowitsch,University of Minnesota,,,,United States,University of Minnesota,United States
80,PLANTECOL,1998,1315,Henry,F,Howe,University of Illinois at Chicago,,,,United States,University of Illinois at Chicago,United States
60,PLANTECOL,1994,956,Evan,H,DeLucia,University of Illinois,,,,United States,University of Illinois,United States
74,PLANTECOL,1997,3201,Richard,J,Reader,University of Guelph,,,,Canada,University of Guelph,Canada
49,PLANTECOL,1992,937,Elgene,O,Box,University of Georgia,,,,United States,"University of Georgia, Athens",United States
5,PLANTECOL,1985,49,Antoni,WH,Damman,University of Connecticut,,Storrs,Connecticut,United States,University of Connecticut,United States
22,PLANTECOL,1989,3652,Thomas,T,Veblen,University of Colorado-Boulder,,Boulder,Colorado,United States,University of Colorado,United States
77,PLANTECOL,1998,3026,Richard,M,Cowling,University of Cape Town,,,,South Africa,University of Cape Town,South Africa
101,PLANTECOL,2004,3716,William,J,Bond,University of Cape Town,,,,South Africa,University of Cape Town,South Africa
40,PLANTECOL,1991,2737,Osvaldo,E,Sala,University of Buenos Aires,,,,Argentina,University of Buenos Aires,Argentina
96,PLANTECOL,2003,800,David,M,Newbery,University of Bern,,,,Switzerland,University of Bern ,Switzerland
148,PLANTECOL,2012,78,Anthony,M,Fowler,University of Auckland,,,,New Zealand,University of Auckland,New Zealand
43,PLANTECOL,1991,899,Dale,H,Vitt,University of Alberta,,,,Canada,University of Alberta,Canada
121,PLANTECOL,2008,1496,James,F,Cahill,University of Alberta,,,,Canada,University of Alberta,Canada
66,PLANTECOL,1997,1441,Juan,J,Armesto,Universidad de Chile,,,,Chile,Universidad de Chile,Chile
16,PLANTECOL,1987,1117,Francisco,D,Pineda,Universidad Complutense,,Madrid,,Spain,Universidad Complutense,Spain
79,PLANTECOL,1998,1604,James,B,Grace,U.S. Geological Survey,,,,United States,U.S. Geological Survey,United States
156,PLANTECOL,2012,3790,William,E,Rogers,Texas A&M University,,,,United States,Texas A&M University,United States
162,PLANTECOL,2013,3366,Shayne,M,Jacobs,Stellenbosch University,,,,South Africa,Stellenbosch University,South Africa
135,PLANTECOL,2011,2868,Peter,R,Minchin,Southern Illinois University,,,,United States,Southern Illinois University,United States
160,PLANTECOL,2012,371,Benjamin,L,Turner,Smithsonian Tropical Research Institute,,,,Panama,Smithsonian Tropical Research Institute,Panama
33,PLANTECOL,1991,2200,Leonid,I,Malyshev,Siberian Central Botanical Garden,,,,USSR,Siberian Central Botanical Garden,USSR
12,PLANTECOL,1985,216,Argenta,A,Titlyanova,Siberian Branch of the Academy of Sciences,,Novosibirsk,,USSR,Siberian Branch of the Academy of Sciences,USSR
125,PLANTECOL,2008,1029,Edward,W,Stiles,Rutgers University,,,,United States,Rutgers University,United States
59,PLANTECOL,1993,3491,Siebe,C,VanDeGeijn,Research Institute for Agrobiology and Soil Fertility,,,,Netherlands,Research Institute for Agrobiology and Soil Fertility,The Netherlands
88,PLANTECOL,2001,318,Brian,C,McCarthy,Ohio University,,,,United States,Ohio University,United States
44,PLANTECOL,1991,2597,Mohan,K,Wali,Ohio State University,,,,United States,Ohio State University,United States
18,PLANTECOL,1988,3437,Steward,TA,Pickett,New York Botanical Garden,,Millbrook,,United States,New York Botanical Garden,United States
39,PLANTECOL,1991,2545,Michael,C,Rutherford,National Botanical Institute,,,,South Africa,National Botanical Institute,South Africa
176,OECOL,1985,1062,F,Stuart,Chapin,University of Alaska,NA,NA,NA,USA,NA,USA
177,OECOL,1985,2793,Piet,J,denBoer,Biological Station Wijster,NA,NA,NA,Netherlands,NA,Netherlands
178,OECOL,1985,1555,James,R,Ehleringer,University of Utah,NA,NA,NA,USA,NA,USA
179,OECOL,1985,2799,Paul,R,Ehrlich,Stanford University,NA,NA,NA,USA,NA,USA
180,OECOL,1985,2361,Michael,,Evenari,NA,NA,NA,NA,Israel,NA,Israel
181,OECOL,1985,1624,John,L,Harper,Bangor University,NA,NA,NA,UK,NA,UK
182,OECOL,1985,3101,Raymond,B,Huey,University of Washington,NA,NA,NA,USA,NA,USA
183,OECOL,1985,1320,Heinrich,,Kaiser,NA,NA,NA,NA,Germany,NA,Germany
184,OECOL,1985,500,Charles,J,Krebs,University of British Columbia,NA,NA,NA,Canada,NA,Canada
185,OECOL,1985,2725,Otto,L,Lange,NA,NA,NA,NA,Germany,NA,Germany
186,OECOL,1985,3761,Walter,,Larcher,NA,NA,NA,NA,Austria,NA,Austria
187,OECOL,1985,1779,Judith,H,Myers,University of British Columbia,NA,NA,NA,Canada,NA,Canada
188,OECOL,1985,799,Dietrich,,Neumann,NA,NA,NA,NA,Germany,NA,Germany
189,OECOL,1985,1811,John,,Phillipson,NA,NA,NA,NA,UK,NA,UK
