"","JOURNAL","YEAR","NAME","COUNTRY","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","UNIT","CITY.x","STATE","source.x","BASIC2015","Classification","UNITID","CITY.y","STABBR","Category","source.y"
"1","BITR",2002,"Academy of Natural Science Philadelphia","USA",701,"Lucinda",NA,"McDade",NA,NA,NA,"class",NA,NA,NA,NA,NA,NA,NA
"2","ECOLOGY",2002,"Alaska Department of Fish and Game","USA",594,"Jay",NA,"VerHoef",NA,NA,NA,"class",NA,NA,NA,NA,NA,NA,NA
"3","BITR",1998,"American Museum of Natural History","USA",853,"Nancy",NA,"Simmons",NA,NA,NA,"class",NA,NA,NA,NA,NA,NA,NA
"4","EVOL",1996,"American Museum of Natural History","USA",952,"Rob",NA,"Desalle",NA,"New York","NY","class",NA,NA,NA,NA,NA,NA,NA
"5","CONBIO",1999,"American Museum of Natural History","USA",814,"Melanie","IJ","Stiassny",NA,"New York City","NY","class",NA,NA,NA,NA,NA,NA,NA
"6","CONBIO",2010,"American Museum of Natural History","USA",841,"Ned",NA,"Horning",NA,"New York City","NY","class",NA,NA,NA,NA,NA,NA,NA
"7","ECOLOGY",2006,"Appalachian State University","USA",1108,"Steven","W","Seagle",NA,NA,NA,"class",18,"Master's Colleges & Universities: Larger Programs",197869,"Boone","NC","Masters","carnegie"
"8","CONBIO",2005,"Applied Biomathematics","USA",935,"Resit",NA,"Akcakaya",NA,"East Setauket","NY","class",NA,NA,NA,NA,NA,NA,NA
"9","ECOLOGY",2002,"Archbold Biological Station","USA",876,"Patrick","J","Bohlen",NA,NA,NA,"class",NA,NA,NA,NA,NA,NA,NA
"10","ECOLOGY",2002,"Archbold Biological Station","USA",336,"Eric",NA,"Menges",NA,NA,NA,"class",NA,NA,NA,NA,NA,NA,NA
"11","CONBIO",2012,"Archipelago Consulting","USA",646,"Kent","H","Redford",NA,"Portland","ME","class",NA,NA,NA,NA,NA,NA,NA
"12","LECO",2002,"Arizona State University","USA",612,"Jianguo",NA,"Wu","Department of Plant Biology","Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"13","LECO",2007,"Arizona State University","USA",447,"J",NA,"Briggs","School of Life Sciences","Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"14","LECO",2010,"Arizona State University","USA",1055,"S","Green","Fisher",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"15","LECO",2010,"Arizona State University","USA",581,"J","C","Stromberg",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"16","OECOL",2000,"Arizona State University","USA",476,"James","J","Elser",NA,NA,NA,"class",NA,NA,NA,NA,NA,NA,NA
"17","EVOL",1989,"Arizona State University","USA",745,"Michael","E","Douglas",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"18","EVOL",1996,"Arizona State University","USA",462,"James","P","Collins",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"19","EVOL",2012,"Arizona State University","USA",802,"Michael",NA,"Rosenberg",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"20","ECOLOGY",1992,"Arizona State University","USA",1053,"Stanley","H","Faeth",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"21","ECOLOGY",2010,"Arizona State University","USA",1243,"Janet",NA,"Franklin",NA,NA,NA,"class",NA,NA,NA,NA,NA,NA,NA
"22","ECOLOGY",1995,"Arizona State University","USA",839,"Nancy","B","Grimm",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"23","CONBIO",1993,"Arizona State University","USA",898,"Philip","W","Hedrick",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"24","CONBIO",1993,"Arizona State University","USA",261,"David","L","Pearson",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"25","CONBIO",2004,"Arizona State University","USA",678,"Leah",NA,"Gerber",NA,"Tempe","AZ","class",NA,NA,NA,NA,NA,NA,NA
"26","EVOL",1997,"Arizona State University West Campus","USA",106,"Brian","K","Sullivan",NA,"Phoenix","AZ","class",NA,NA,NA,NA,NA,NA,NA
"27","BITR",1998,"Auburn University","USA",147,"Craig",NA,"Guyer",NA,NA,NA,"class",16,"Doctoral Universities: Higher Research Activity",100858,"Auburn University","AL","Doctoral","carnegie"
"28","ECOLOGY",2003,"Auburn University","USA",351,"F","Stephen","Dobson",NA,NA,NA,"class",16,"Doctoral Universities: Higher Research Activity",100858,"Auburn University","AL","Doctoral","carnegie"
"29","ECOLOGY",2005,"Auburn University","USA",749,"Micky","D","Eubanks",NA,NA,NA,"class",16,"Doctoral Universities: Higher Research Activity",100858,"Auburn University","AL","Doctoral","carnegie"
"30","LECO",2005,"Baylor University","USA",625,"K",NA,"Gutzwiller","Department of Biology","Waco","TX","class",16,"Doctoral Universities: Higher Research Activity",223232,"Waco","TX","Doctoral","carnegie"
"31","CONBIO",2005,"BBL Inc","USA",890,"Peggy","L","Fiedler",NA,"Walnut Creek","CA","class",NA,NA,NA,NA,NA,NA,NA
"32","ECOLOGY",2002,"Bennington College","USA",666,"Kerry","D","Woods",NA,NA,NA,"class",21,"Baccalaureate Colleges: Arts & Sciences Focus",230816,"Bennington","VT","Baccalaureate","carnegie"
"33","BITR",1997,"Boston University","USA",1213,"Whendee",NA,"Silver",NA,NA,NA,"class",15,"Doctoral Universities: Highest Research Activity",164988,"Boston","MA","Doctoral","carnegie"
"34","EVOL",2005,"Boston University","USA",812,"Michael","D","Sorenson",NA,"Boston","MA","class",15,"Doctoral Universities: Highest Research Activity",164988,"Boston","MA","Doctoral","carnegie"
"35","ECOLOGY",2014,"Boston University","USA",924,"Pamela","H","Templer",NA,NA,NA,"class",15,"Doctoral Universities: Highest Research Activity",164988,"Boston","MA","Doctoral","carnegie"
"36","CONBIO",1994,"Boston University","USA",1013,"Richard","B","Primack",NA,"Boston","MA","class",15,"Doctoral Universities: Highest Research Activity",164988,"Boston","MA","Doctoral","carnegie"
"37","CONBIO",1995,"Boston University","USA",694,"Les",NA,"Kaufman","Marine Program","Boston","MA","class",15,"Doctoral Universities: Highest Research Activity",164988,"Boston","MA","Doctoral","carnegie"
