"","journal","year","editor_id","first_name","middle_name","last_name","title","category.x","name","unit","city.x","state","country","geo.code_prior_class","geo.code","income_level","region","source.x","unitid","city.y","stabbr","category.y","classification","source.y"
"1","bitr",2002,2024,"lucinda",NA,"mcdade","se","se","academy of natural science philadelphia",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"2","ecology",2002,1770,"jay",NA,"verhoef",NA,"se","alaska department of fish and game",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"3","jbiog",1985,1043,"francois",NA,"vuilleumier","se","se","american museum of natural history",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"4","jbiog",1991,1134,"gareth",NA,"nelson","se","se","american museum of natural history",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"5","evol",1996,2788,"rob",NA,"desalle","ae","se","american museum of natural history",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"6","bitr",1998,2469,"nancy",NA,"simmons","se","se","american museum of natural history",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"7","conbio",1999,2360,"melanie","ij","stiassny","se","se","american museum of natural history",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"8","jbiog",2009,2924,"richard",NA,"pearson","se","se","american museum of natural history",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"9","conbio",2010,2435,"ned",NA,"horning","se","se","american museum of natural history",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"10","bitr",2008,281,"beth",NA,"kaplin","se","se","antioch new england graduate school",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"11","leco",1997,2815,"r","h","gardner","eic","eic","appalachian environmental laboratory",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"12","oecol",2010,2260,"michael",NA,"madritch","handling.editor","se","appalachian state university",NA,"boone",NA,"usa",NA,"USA","High income: OECD","North America","class","197869","boone","nc","18","masters","carnegie"
"13","conbio",2005,2728,"resit",NA,"akcakaya","se","se","applied biomathematics",NA,"east setauket","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"14","conbio",1993,919,"eric",NA,"menges","se","se","archbold biological station",NA,"lake placid","FL","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"15","ecology",2002,2545,"patrick","j","bohlen",NA,"se","archbold biological station",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"16","evol",1989,2157,"michael","e","douglas","special.editor","special","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"17","evol",1990,3302,"therese","a","markow","ae","se","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"18","conbio",1993,744,"david","l","pearson","se","se","arizona state university","department of zoology","tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"19","evol",1996,1396,"james","p","collins","ae","se","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"20","oecol",2000,1435,"james","j","elser","editorial.board","se","arizona state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"21","conbio",2004,1977,"leah",NA,"gerber","se","se","arizona state university","school of life science","tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"22","funecol",2006,1878,"kevin","j","mcgraw","associate editor","ae","arizona state university",NA,NA,"AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"23","leco",2007,1365,"j",NA,"briggs","se","se","arizona state university","school of life sciences","tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"24","jbiog",2009,2162,"malte","c","ebach","ae","ae","arizona state university","international institute for species exploration",NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"25","leco",2010,3055,"s","green","fisher","se","se","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"26","leco",2010,1739,"j","c","stromberg","se","se","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"27","evol",2012,2332,"michael",NA,"rosenberg","ae","se","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"28","ecology",1992,3051,"stanley","h","faeth",NA,"se","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"29","ecology",1995,2432,"nancy","b","grimm",NA,"se","arizona state university",NA,"tempe","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"30","evol",1997,337,"brian","k","sullivan","ae","se","arizona state university west campus",NA,"phoenix","AZ","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"31","leco",2001,1804,"jianguo",NA,"wu","se","se","arizona state university west campus",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
