levels(both$INST),,2x,OLDinst,NEWinst,NEWunit,notes,,"keep as factors, then add new factor and replace."
Aarhus University,,Biological Centre,Aberdeen,University of Aberdeen,,,,"spelling mistakes - convert to characters, and gsub"
,Aberdeen,Biological Institute,Aberystwyth,Aberystwyth University,,,,
,Aberystwyth,Bogota,Alabama A and M,Alabama A and M University,,,,
Academia Sinica,,CNRS,Alterra,Wageningen University and Research,,,,
Academy of Natural Science Philadelphia,,CSIRO,ALTERRA Research Institute for the Green World,Wageningen University and Research,ALTERRA Research Institute for the Green World,,,
Academy of Sciences of the Czech Republic,,DiSTEBA University of Salento / DiSTEBA Universita di Lecce,Assicuates,Associates,,,,
Addis Ababa University,,DOUBLE CHECK,Bangor,Bangor University,,,,
Africa Plant Seeds International,,Haus Nr.9,British Anarctic Society,British Antarctic Survey,,,,
African Agricultural Technology Foundation,,James Cook University Townsville,British Antartic Survey,British Antarctic Survey,,,,
AgResearch Ltd,,Lancaster,Centro de Investigaciones y Experiencias Forestales (CIEF),Centro de Investigaciones y Experiencias Forestales,,,,
Agricultural Institute Osijek,,London,Chinese Academy of Sciencies,Chinese Academy of Sciences,,,,
Agricultural Research Center,,Madrid,Christian Albrechts Universitat zu Kiel,Christian Albrechts Universitat Kiel,,,,
Agricultural University,,Maine,Consejo Superior de Investigaciones Cientificas (CSIC),CSIC,,,,
Agricultural University of Norway,,missing,CSIC UPV,INGENIO,,,,
Agrium Advanced Technologies,,Royal Botanic Gardens Melbourne University of Melbourne,Durham,Durham University,,,,
Agroscope Reckenholz Tanikon Research Station,,Salzburg,EAWAG/ETH,Swiss Federal Institute of Aquatic Science and Technology,,,,
,Alabama A and M,Smithsonian Institution,Edinburgh,University of Edinburgh,,,,
Alaska Department of Fish and Game,,Swansea,Freie Universitt Berlin,Free University of Berlin,,,,
Albert Ludwigs UniversitatFreiburg,,Sydney,Freie University of Berlin,Free University of Berlin,,,,
Alexandra University,,University of Arkansas,Göttingen,University of Gottingen,,,,
Alfred Wegener Institut fur Polar und Meeresforschung,,University of British Columbia,Gatty Marine Lab (University of Saint Andrews,University of Saint Andrews,Gatty Marine Lab,,,
,Alterra,University of California,Georg August Universitat Gottingen,University of Gottingen,,,,
,ALTERRA Research Institute for the Green World,University of Exeter,Glasgow,University of Glasgow,,,,
American Museum of Natural History,,University of Georgia,Gottingen University,University of Gottingen,,,,
Antioch New England,,University of Illinois,Helsinki,University of Helsinki,,,,
Appalachian State University,,University of Massachusetts,Humboldt Universitat zu Berlin,Humboldt University of Berlin,,,,
Applied Biomathematics,,University of Minnesota,Humboldt University,Humboldt University of Berlin,,,,
Archbold Biological Station,,University of South Carolina,Institut Mediterrani dEstudis Avencats (CSIC UIB),CSIC Institut Mediterrani dEstudis Avencats,,,,
Archipelago Consulting,,University of Texas,Instituto de Ciencias del Mar CSIC,Instituto de Ciencias del Mar CSIC,,,,
Arete Assicuates,,University of Toronto,Istituto per l¢Ambiente Marino Costiero,Istituto per lAmbiente Marino Costiero,,,,
Argonne National Laboratory,,University of Wisconsin,IZW,Leibniz Institute for Zoo and Wildlife Research,,,,
Arizona State University,,US Geological Survey,Kansas State,Kansas State University,,,,
Arizona State University West Campus,,"SEIDENSTZICKER& Kleiman = Smithsonian National Zoological Park, Labandeira: Smithsonian National Museum of Natural History",Karlsruhe,Karlsruhe Institute of Technology,,,,
Ashoka Trust for Research in Ecology and the Environment,,Montpellier,Khorasan Agricultural and Natural Resources Res. Ctr,Khorasan Agricultural and Natural Resources Research Center,,,,
Auburn University,,,Kyushu Unniversity,Kyushu University,,,,
Australian Institute of Marine Science,,,Lehman College CUNY,CUNY Lehman College,,,,
Australian International Development Bureau,,,Los Alamos National Lab,Los Alamos National Laboratory,,,,
Australian Museum,,,Ludwig Maximilians Universitat Munchen,Ludwig Maximilians Universitat Munchen,,,,
Australian National Parks and Wildlife Service,,,Lyme Regis,,,is this ghillean prance unattached?,,
Australian National University,,,Macaulay Institute,Macaulay Land Use Research Institute,,,,
Australian Research Center for Urban Ecology,,,Max Planck Inst Plant Breeding Res,Max Planck Institute for Plant Breeding Research,,,,
Austrian Research Centre for Forests,,,Max Planck Institut fur Verhaltensphysiologie,Max Planck Institute for Behavioral Physiology,,,,
,Bangor,,Max Planck Institute Jena,Max Planck Institute for the Science of Human History,,,,
,Bangor University,,Monterey Bay Aquarium Research Institute (MBARI),Monterey Bay Aquarium Research Institute,,,,
Bavarian Forest National Park,,,Mt Holyoke College,Mount Holyoke College,,,,
Bayer CropScience,,,Museum National dHistoire Naturelle,National History Museum Paris,,,,
