Variable,Label,Value,Label
BASIC2015,2015 Carnegie Basic Classification,0,(Not classified)
BASIC2015,2015 Carnegie Basic Classification,1,Associate's Colleges: High Transfer-High Traditional
BASIC2015,2015 Carnegie Basic Classification,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
BASIC2015,2015 Carnegie Basic Classification,3,Associate's Colleges: High Transfer-High Nontraditional
BASIC2015,2015 Carnegie Basic Classification,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
BASIC2015,2015 Carnegie Basic Classification,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
BASIC2015,2015 Carnegie Basic Classification,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional
BASIC2015,2015 Carnegie Basic Classification,7,Associate's Colleges: High Career & Technical-High Traditional
BASIC2015,2015 Carnegie Basic Classification,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional
BASIC2015,2015 Carnegie Basic Classification,9,Associate's Colleges: High Career & Technical-High Nontraditional
BASIC2015,2015 Carnegie Basic Classification,10,Special Focus Two-Year: Health Professions
BASIC2015,2015 Carnegie Basic Classification,11,Special Focus Two-Year: Technical Professions
BASIC2015,2015 Carnegie Basic Classification,12,Special Focus Two-Year: Arts & Design
BASIC2015,2015 Carnegie Basic Classification,13,Special Focus Two-Year: Other Fields
BASIC2015,2015 Carnegie Basic Classification,14,Baccalaureate/Associate's Colleges: Associate's Dominant
BASIC2015,2015 Carnegie Basic Classification,15,Doctoral Universities: Highest Research Activity
BASIC2015,2015 Carnegie Basic Classification,16,Doctoral Universities: Higher Research Activity
BASIC2015,2015 Carnegie Basic Classification,17,Doctoral Universities: Moderate Research Activity
BASIC2015,2015 Carnegie Basic Classification,18,Master's Colleges & Universities: Larger Programs
BASIC2015,2015 Carnegie Basic Classification,19,Master's Colleges & Universities: Medium Programs
BASIC2015,2015 Carnegie Basic Classification,20,Master's Colleges & Universities: Small Programs
BASIC2015,2015 Carnegie Basic Classification,21,Baccalaureate Colleges: Arts & Sciences Focus
BASIC2015,2015 Carnegie Basic Classification,22,Baccalaureate Colleges: Diverse Fields
BASIC2015,2015 Carnegie Basic Classification,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's
BASIC2015,2015 Carnegie Basic Classification,24,Special Focus Four-Year: Faith-Related Institutions
BASIC2015,2015 Carnegie Basic Classification,25,Special Focus Four-Year: Medical Schools & Centers
BASIC2015,2015 Carnegie Basic Classification,26,Special Focus Four-Year: Other Health Professions Schools
BASIC2015,2015 Carnegie Basic Classification,27,Special Focus Four-Year: Engineering Schools
BASIC2015,2015 Carnegie Basic Classification,28,Special Focus Four-Year: Other Technology-Related Schools
BASIC2015,2015 Carnegie Basic Classification,29,Special Focus Four-Year: Business & Management Schools
BASIC2015,2015 Carnegie Basic Classification,30,"Special Focus Four-Year: Arts, Music & Design Schools"
BASIC2015,2015 Carnegie Basic Classification,31,Special Focus Four-Year: Law Schools
BASIC2015,2015 Carnegie Basic Classification,32,Special Focus Four-Year: Other Special Focus Institutions
BASIC2015,2015 Carnegie Basic Classification,33,Tribal Colleges
