"JOURNAL","YEAR","VOLUME","ISSUE","TITLE","FIRST_NAME","MIDDLE_NAME","LAST_NAME","COUNTRY","CATEGORY","NOTES","NAME","editor_id","geo.code","INCOME_LEVEL","REGION"
"BITR",2014,46,1,"EB","Alexandra-Maria","","Klein","Germany","SE","","Alexandra-Maria Klein",123,"DEU","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Ann","","Russell","USA","SE","","Ann Russell",185,"USA","High income: OECD","North America"
"BITR",2014,46,1,"AE","Bryan","","Finegan","Costa Rica","AE","","Bryan Finegan",271,"CRI","Upper middle income","Latin America & Caribbean"
"BITR",2014,46,1,"EB","Bryan","","Finegan","Costa Rica","SE","","Bryan Finegan",271,"CRI","Upper middle income","Latin America & Caribbean"
"BITR",2014,46,1,"AE","Beth","","Kaplin","USA","AE","Also: National University of Rwanda, Rwanda.","Beth Kaplin",300,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Christopher","","Baraloto","French Guiana","SE","","Christopher Baraloto",391,"GUF",NA,NA
"BITR",2014,46,1,"EB","Christopher","","Dick","USA","SE","","Christopher Dick",434,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Chris","J","Kettle","Switzerland","SE","","Chris J Kettle",494,"CHE","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Catherine","","Yule","Malaysia","SE","","Catherine Yule",603,"MYS","Upper middle income","East Asia & Pacific"
"BITR",2014,46,1,"EB","David","","Bickford","Singapore","SE","","David Bickford",628,"SGP","High income: nonOECD","East Asia & Pacific"
"BITR",2014,46,1,"EB","Donald","","Drake","USA","SE","","Donald Drake",672,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Donald","","Franklin","Australia","SE","","Donald Franklin",692,"AUS","High income: OECD","East Asia & Pacific"
"BITR",2014,46,1,"EB","Elizabeth","","Arnold","USA","SE","","Elizabeth Arnold",931,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EIC","Emilio","M","Bruna","USA","EIC","","Emilio M Bruna",941,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Erik","","Meijaard","Indonesia","SE","","Erik Meijaard",1002,"IDN","Lower middle income","East Asia & Pacific"
"BITR",2014,46,1,"EB","Fred","","Babweteera","Uganda","SE","","Fred Babweteera",1050,"UGA","Low income","Sub-Saharan Africa"
"BITR",2014,46,1,"EB","Ferry","","Slik","China","SE","","Ferry Slik",1132,"CHN","Upper middle income","East Asia & Pacific"
"BITR",2014,46,1,"EB","Graciela","","Garcia-Guzman","Mexico","SE","","Graciela Garcia-Guzman",1182,"MEX","Upper middle income","Latin America & Caribbean"
"BITR",2014,46,1,"EB","Heraldo","","Vasconcelos","Brazil","SE","","Heraldo Vasconcelos",1372,"BRA","Upper middle income","Latin America & Caribbean"
"BITR",2014,46,1,"EB","John","","Blake","USA","SE","","John Blake",1469,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Jorge","Meave","DelCastillo","Mexico","SE","","Jorge Meave DelCastillo",1539,"MEX","Upper middle income","Latin America & Caribbean"
"BITR",2014,46,1,"RE","Jaboury","","Ghazoul","Switzerland","SE","Reviews Editor (RE)","Jaboury Ghazoul",1594,"CHE","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Jennifer","","Powers","USA","SE","","Jennifer Powers",1817,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Karina","","Boege","Mexico","SE","","Karina Boege",1980,"MEX","Upper middle income","Latin America & Caribbean"
"BITR",2014,46,1,"EB","Kate","","Parr","United Kingdom","SE","","Kate Parr",2067,"GBR","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Kim","","Williams-Guillen","USA","SE","","Kim Williams-Guillen",2110,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Luitgard","","Schwendenmann","New Zealand","SE","","Luitgard Schwendenmann",2240,"NZL","High income: OECD","East Asia & Pacific"
