FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Alan ,H.,Brush,,Editor,University of Connecticut,Biological Science Group,Storrs,USA,,Connecticut,1985
K Elizabeth,K,Pacala,,Copy Editor,None given,None given,None given,None given,,None given,1985
J,F,Lynch,,Editorial Board,None given,None given,None given,,,None given,1985
D,,Mock,,Editorial Board,None given,None given,None given,,,None given,1985
Fred,E,Lohrer,,Associate Editor,None given,None given,None given,,Periodical Literature,None given,1985
William,E.,Southern,,Associate Editor,None given,None given,None given,,Book Reviews,None given,1985
Alan,H,Brush,,Editor,University of Connecticut,Department of Physiology and Neurobiology,Storrs,USA,,Connecticut,1986
K Elizabeth,K,Pacala,,Copy Editor,None given,None given,None given,,,None given,1986
J,F,Lynch,,Editorial Board,None given,None given,None given,,,None given,1986
D,,Mock,,Editorial Board,None given,None given,None given,,,,1986
R,B,Payne,,Editorial Board,None given,None given,None given,,,None given,1986
Fred,E,Lohrer,,Associate Editor,None given,None given,None given,,Periodical Literature,None given,1986
M,Ross,Lein,,Associate Editor,None given,None given,None given,,,None given,1986
ALAN ,H,BRUSH,,Editor,University of Connecticut,Department of Physiology and Neurobiology,Storrs,USA,,Connecticut,1987
K ELIZABETH,K,PACALA,,Copy Editor,None given,None given,None given,,,None given,1987
J,F,LYNCH,,Editorial Board,None given,None given,None given,,,None given,1987
D,,MOCK,,Editorial Board,None given,None given,None given,,,None given,1987
R,B,PAYNE,,Editorial Board,None given,None given,None given,,,None given,1987
FRED,E,LOHRER,,Associate Editor,None given,None given,None given,,PERIODICAL LITERATURE,None given,1987
M,ROSS,LEN ,,Associate Editor,None given,None given,None given,,BOOK REVIEW,None given,1987
ALAN,H,BRUSH,,Editor,University of Connecticut,Department of Physiology and Neurobiology,Storrs,USA,,Connecticut,1988
K ELIZABETH,K,PACALA,,Copy Editor,None given,None given,None given,,,None given,1988
FRED,E,LOHRER,,Associate Editor,None given,None given,None given,,PERIODICAL LITERATURE,None given,1988
M,ROSS,LEIN,,Associate Editor,None given,None given,None given,,BOOK REVIEWS,None given,1988
ALAN,H,BRUSH,,Editor,University of Connecticut,Department of Physiology and Neurobiology,Storrs,,,,1989
GAIL,W,HUNTER,,Copy Editor,University of Connecticut,Department of Physiology and Neurobiology,Storrs,USA,,Connecticut,1989
GAIL,W,HUNTER,,Copy Editor,None given,None given,None given,,,None given,1989
FRED,E,LOHRER,,Associate Editor,None given,None given,None given,,PERIODICAL LITERATURE,None given,1989
M,ROSS,LEIN,,Associate Editor,None given,None given,None given,,BOOK REVIEWS,None given,1989
ALAN,H,BRUSH,,Editor,University of Connecticut,Department of Physiology and Neurobiology,Storrs,USA,,Connecticut,1990
GAIL,W,HUNTER,,Copy Editor,None given,None given,None given,,,None given,1990
FRED,E,LOHRER,,Associate Editor,None given,None given,None given,,PERIODICAL LITERATURE,None given,1990
M,ROSS,LEN,,Associate Editor,None given,None given,None given,,BOOK REVIEWS,None given,1990
BRUCE,M,BEEHLER,,Associate Editor,,None given,None given,,BOOK REVIEWS,None given,1990
alan,h,brush,,Editor,university of Connecticut ,u of connecticut,starrs,USA,,connecticut,1990
gail,w,hunter,,Copy Editor,None given,None given,None given,None given,,None given,1990
Alan,H,Brush,,Editor,University of Connecticut,Department of Physiology and Neurobiology,Storrs,USA,,Connecticut,1991
Gail,W,Hunter,,Copy Editor,None given,None given,None given,None given,,None given,1991
John,L,Trapp,,Copy Editor,None given,None given,None given,None given,Recent Ornithological Literature,None given,1991
Bruce,M,Beehler,,Associate Editor,None given,None given,None given,None given,Book Reviews,None given,1991
Gary,D,Schnell,,Editor,University of Oklahoma,Department of Zoology,Norman,USA,,Oklahoma,1992
Timothy ,C,Lamey,,Managing Editor,None given,None given,None given,None given,,None given,1992
John,L,Trapp,,Associate Editor,None given,None given,None given,None given,Recent Ornithological Literature,None given,1992
Bruce,M,Beehler,,Associate Editor,None given,None given,None given,None given,Book review,None given,1992
Gary,D,Schnell,,Editor,University of Oklahoma,Department of Zoology,Norman,USA,,Oklahoma,1993
Neil,J,Buckley,,Managing Editor,None given,None given,None given,None given,,None given,1993
John,L,Trapp,,Associate Editor,,None given,None given,None given,Recent Ornithological Literature,None given,1993
Bruce,M,Beehler,,Associate Editor,None given,None given,None given,None given,Book Reviews,None given,1993
Gary,D,Schnell,,Editor,University of Oklahoma,Department of Zoology,Norman,USA,,Oklahoma,1994
Neil,J,Buckley,,Managing Editor,None given,None given,None given,None given,,None given,1994
Robert ,M,Zink,,Associate Editor,University of Minnesota,Bell Museum of Natural History,St Paul,USA,Book reviews,Minnesota,1994
Gary,D,Schnell,,Editor,University of Oklahoma,Department of Zoology,Norman,USA,,Oklahoma,1995
Neil,J,Buckley,,Managing Editor,None given,None given,None given,None given,,None given,1995
Robert,M,Zink,,Associate Editor,University of Minnesota,Bell Museum of Natural History,St Paul,USA,Book reviews,Minnesota,1995
Gary ,D,Schnell,,Editor,University of Oklahoma,Department of Zoology,Norman,USA,,Oklahoma,1996
Thomas ,E,Martin,,Editor elect,None given,None given,None given,None given,,None given,1996
Tabatha,A,Franklin,,Managing editor,None given,None given,None given,None given,,None given,1996
Laura,L,Vaughn,,Editorial Assistant,None given,None given,None given,None given,,None given,1996
Robert,M,Zink,,Associate Editor,University of Minnesota,Bell Museum of Natural History,,USA,Book reviews,Minnesota,1996
Thomas ,E,Martin,,Editor,University of Montana,Montana Cooperative Wildlife Reserve,Missoula,USA,,Montana,1997
Jefrey,S,Marks,,Managing Editor,None given,None given,None given,None given,,None given,1997
Alison,E H,Perkins,,Editorial Assistant,None given,None given,None given,None given,,None given,1997
Allan,J,Baker,,Editorial Board,Royal Ontario Museum,None given,None given,None given,,None given,1997
I,Joseph,Ball,,Editorial Board,University of Montana,None given,,None given,,None given,1997
Kenneth,P,Dial,,Editorial Board,University of Montana,None given,None given,None given,,None given,1997
John,M,Eadie,,Editorial Board,University of Montana,None given,None given,None given,,None given,1997
Jan,,Eakman,,Editorial Board,Uppsala  University,None given,None given,None given,,None given,1997
Erick,,Greene,,Editorial Board,University of Montana,None given,None given,None given,,None given,1997
Richard,L,Hutto,,Editorial Board,University of Montana,None given,None given,None given,,None given,1997
Delbert ,L,Kilgore,,Editorial Board,University of Montana,None given,None given,None given,,None given,1997
Kathy,,Martin,,Editorial Board,University of British Columbia,None given,None given,None given,,None given,1997
Mary,E,Murphy,,Editorial Board,Washington State  University,None given,None given,None given,,None given,1997
Lisa,J,Petit,,Editorial Board,Smithsonian Institution,None given,None given,None given,,None given,1997
Robert,M,Zink,,Editorial Board,University of Minnesota,None given,None given,None given,,None given,1997
Carl,D,Marti,,Book Review Editor,Weber State  University ,Department of Zoology,Ogden,USA,,Utah,1997
Thomas,E,Martin,,Editor,University of Montana,Montana Cooperative Wildlife Research Unit,Missoula,USA,,Montana,1998
Jefrey,S,Marks,,Managing Editor,None given,None given,None given,None given,,None given,1998
Alison,E H,Perkins,,Editorial Assistant,None given,None given,None given,None given,,None given,1998
Todd,W,Arnold,,Editorial Board,Delta Waterfowl Foundation,None given,None given,None given,,None given,1998
Allan,J,Baker,,Editorial Board,Royal Ontario Museum,None given,None given,None given,,None given,1998
I,Joseph,Ball,,Editorial Board,University of Montana,None given,None given,None given,,None given,1998
Keith,L,Bildstein,,Editorial Board,Hawk Mountain Sanctuary,None given,None given,None given,,None given,1998
Kenneth,P,Dial,,Editorial Board,University of Montana,,None given,None given,,None given,1998
John ,M ,Eadie,,Editorial Board,University of California,None given,None given,None given,,None given,1998
Jan,,Ekman,,Editorial Board,Uppsala  Universityniversity,None given,None given,None given,,None given,1998
Erick,, Greene ,,Editorial Board,University of Montana,None given,None given,None given,,None given,1998
Richard,L,Hutto,,Editorial Board,University of Montana,None given,None given,None given,,None given,1998
Kathy,,Martin,,Editorial Board,University of British Columbia,None given,None given,None given,,None given,1998
Mary,E,Murphy,,Editorial Board,Washington State  University,None given,None given,None given,,None given,1998
Lisa,J,Petit,,Editorial Board,Smithsonian Institution,None given,None given,None given,,None given,1998
Stephen ,I,Rothstein,,Editorial Board,University of California,None given,None given,None given,,None given,1998
James,S,Sedinger,,Editorial Board,University of Alaska,None given,None given,None given,,None given,1998
Wesley,W,Weathers,,Editorial Board,University of California,None given,None given,None given,,None given,1998
Robert,M,Zink,,Editorial Board,University of Minnesota,None given,None given,None given,,None given,1998
Carl,D,Marti,,Book Review Editor,Weber State  University,Department of Zoology,Ogden,USA,,Utah,1998
Thomas,E,Martin,,Editor,University of Montana,Montana Cooperative Wildlife Research Unit,Missoula,USA,,Montana,1999
Jeffrey,S,Marks,,Managing Editor,None given,None given,None given,None given,,None given,1999
Alison,E H,Perkins,,Editorial Assistant,None given,None given,None given,None given,,None given,1999
Todd,W,Arnold,,Editorial Board,Delta Waterfowl Foundation,None given,None given,None given,,None given,1999
Allan,J,Backer,,Editorial Board,Royal Ontario Museum,None given,None given,None given,,None given,1999
Keith,L,Bildstein,,Editorial Board,Hawk Mountain Sanctuary,None given,None given,None given,,None given,1999
Carlos,,Bosque,,Editorial Board, Universidad Simon Bolivar,None given,None given,None given,,None given,1999
Jeffrey,D,Brawn,,Editorial Board,Illinois Natural History Survey,None given,None given,None given,,None given,1999
Etienne,,Danchin,,Editorial Board,Universite Pierre et Marie Curie,None given,None given,None given,,None given,1999
Kenneth,P,Dial ,,Editorial Board,University of Montana,None given,None given,None given,,None given,1999
Morne,D,Plessis,,Editorial Board,Percy Fitzpatrick Institute,None given,None given,None given,,None given,1999
Jan,,Ekman,,Editorial Board,Uppsala  University,None given,None given,None given,,None given,1999
Donald,E,Kroodsma,,Editorial Board,University of Massachusetts,None given,None given,None given,,None given,1999
Bette,A,Loiselle,,Editorial Board,University of Missouri,None given,None given,None given,,None given,1999
Frank,R,Moore,,Editorial Board,University of Southern Mississippi,None given,None given,None given,,None given,1999
Stephen,I,Rothstein,,Editorial Board,University of California,None given,None given,None given,,None given,1999
James,S,Sedinger,,Editorial Board,University of Alaska,None given,None given,None given,,None given,1999
Jeffrey,R,Walters,,Editorial Board,Virginia Tech  University,None given,None given,None given,,None given,1999
