FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Daniel,,Kissling,,Editorial Board,Aarhus University,None given,None given,None given,,None given,2011
Dave,,Shutler,,Editorial Board,Acadia U,None given,None given,None given,,None given,2009
Dave,,Shutler,,Editorial Board,Acadia University,None given,None given,None given,,None given,2010
Dave,,Shutler,,Editorial Board,Acadia University,None given,None given,None given,,None given,2011
Dave,,Shutler,,Board of Reviewing Editors,Acadia University,None given,None given,None given,,None given,2012
Dave,,Shutler,,Board of Reviewing Editors,Acadia University,None given,None given,None given,,None given,2013
Dave,,Shutler,,Associate Editors,Acadia University,None given,None given,None given,,None given,2014
Santiago,,Claramunt,,Latin American Editorial Board,American Museum of Natural History,None given,None given,None given,,None given,2012
Santiago,,Claramunt,,Latin American Editorial Board,American Museum of Natural History,None given,None given,None given,,None given,2013
Ethan,D,Clotfelter,,Editorial Board,Amherst College,None given,None given,None given,,None given,2009
Kevin,J,McGraw,,Editorial Board,Arizona State U,None given,None given,None given,,None given,2009
Kevin,J,McGraw,,Editorial Board,Arizona State University,None given,None given,None given,,None given,2010
Kevin,J,McGraw,,Editorial Board,Arizona State University,None given,None given,None given,,None given,2011
Kevin,J,McGraw,,Board of Reviewing Editors,Arizona State University,None given,None given,None given,,None given,2012
Stefan,,Woltmann,,Associate Editors,Austin Peay State University,None given,None given,None given,,None given,2018
Veronica,A,Doerr,,Editorial Board,Australian Commonwealth Scientific and Research Organization,None given,None given,None given,,None given,2009
Veronica,A,Doerr,,Editorial Board,Australian Commonwealth Scientific and Research Organization,None given,None given,None given,,None given,2010
Veronica,A,Doerr,,Editorial Board,Australian Commonwealth Scientific and Research Organization,None given,None given,None given,,None given,2011
Veronica,A,Doerr,,Board of Reviewing Editors,Australian Commonwealth Scientific and Research Organization,None given,None given,None given,,None given,2012
Veronica,A,Doerr,,Board of Reviewing Editors,Australian Commonwealth Scientific and Research Organization,None given,None given,None given,,None given,2013
Juan,M,Barnett,,Latin American Editorial Board,Aves Argentinas,None given,None given,None given,,None given,2012
Juan,M,Barnett,,Latin American Editorial Board,Aves Argentinas,None given,None given,None given,,None given,2013
Alfred,M,Dufty,Jr,Editorial Board,Boise State U,None given,None given,None given,,None given,2009
Alfred,M,Dufty,Jr,Editorial Board,Boise State University,None given,None given,None given,,None given,2010
Alfred,M,Dufty,,Editorial Board,Boise State University,None given,None given,None given,,None given,2011
Alfred,M,Dufty,,Board of Reviewing Editors,Boise State University,None given,None given,None given,,None given,2012
William,B,Kristan,III,Editorial Board,California State University San Marcos,None given,None given,None given,,None given,2009
William,B,Kristan,III,Editorial Board,California State University San Marcos,None given,None given,None given,,None given,2010
William,B,Kristan,,Editorial Board,California State University San Marcos,None given,None given,None given,,None given,2011
William,B,Kristan,,Board of Reviewing Editors,California State University San Marcos,None given,None given,None given,,None given,2012
William,B,Kristan,III,Board of Reviewing Editors,California State University San Marcos,None given,None given,None given,,None given,2013
Matthias,,Leu,,Editorial Board,College of William and Mary,None given,None given,None given,,None given,2011
Matthias,,Leu,,Board of Reviewing Editors,College of William and Mary,None given,None given,None given,,None given,2012
Matthias,,Leu,,Board of Reviewing Editors,College of William and Mary,None given,None given,None given,,None given,2013
Matthias,,Leu,,Associate Editors,College of William and Mary,None given,None given,None given,,None given,2014
Matthias,,Leu,,Associate Editors,College of William and Mary,None given,None given,None given,,None given,2015
Matthias,,Leu,,Associate Editors,College of William and Mary,None given,None given,None given,,None given,2016
Matthias,,Leu,,Associate Editors,College of William and Mary,None given,None given,None given,,None given,2017
Matthias,,Leu,,Associate Editors,College of William and Mary,None given,None given,None given,,None given,2018
Paul,F,Doherty,,Editor,Colorado State University,None given,None given,None given,,None given,2015
Paul,F,Doherty,,Editor,Colorado State University,None given,None given,None given,,None given,2016
Paul,F,Doherty,,Editor,Colorado State University,None given,None given,None given,,None given,2017
Paul,F,Doherty,,Editor,Colorado State University,None given,None given,None given,,None given,2018
Juan,I,Areta,,Editorial Board,Consejo Nacional de Investigaciones Cientificas y Tecnicas,None given,None given,None given,,None given,2010
Juan,I,Areta,,Editorial Board,Consejo Nacional de Investigaciones Cientificas y Tecnicas,None given,None given,None given,,None given,2011
Juan,I,Areta,,Board of Reviewing Editors,Consejo Nacional de Investigaciones Cientificas y Tecnicas,None given,None given,None given,,None given,2012
Juan,I,Areta,,Board of Reviewing Editors,Consejo Nacional de Investigaciones Cientificas y Tecnicas,None given,None given,None given,,None given,2013
Frank,A,La Sorte,,Associate Editors,Cornell Lab of Ornithology,None given,None given,None given,,None given,2017
Frank,A,La Sorte,,Associate Editors,Cornell Lab of Ornithology,None given,None given,None given,,None given,2018
Maiken,,Winter,,Editorial Board,Cornell U,None given,None given,None given,,None given,2009
Maiken,,Winter,,Editorial Board,Cornell University,None given,None given,None given,,None given,2010
Maiken,,Winter,,Editorial Board,Cornell University,None given,None given,None given,,None given,2011
Maiken,,Winter,,Board of Reviewing Editors,Cornell University,None given,None given,None given,,None given,2012
Maiken,,Winter,,Board of Reviewing Editors,Cornell University,None given,None given,None given,,None given,2013
Jill,A,Soha,,Editorial Board,Duke University,None given,None given,None given,,None given,2010
Jill,A,Soha,,Editorial Board,Duke University,None given,None given,None given,,None given,2011
Jill,A,Soha,,Board of Reviewing Editors,Duke University,None given,None given,None given,,None given,2012
Jill,A,Soha,,Board of Reviewing Editors,Duke University,None given,None given,None given,,None given,2013
Jill,L,Deppe,,Associate Editors,Eastern Illinois University,None given,None given,None given,,None given,2016
Jill,L,Deppe,,Associate Editors,Eastern Illinois University,None given,None given,None given,,None given,2017
Jill,L,Deppe,,Associate Editors,Eastern Illinois University,None given,None given,None given,,None given,2018
Gregory,J,Robertson,,Editorial Board,Environment Canada,None given,None given,None given,,None given,2009
Keith,A,Hobson,,Editorial Board,Environment Canada,None given,None given,None given,,None given,2010
Gregory,J,Robertson,,Editorial Board,Environment Canada,None given,None given,None given,,None given,2010
