JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
AGRONOMY,2010,102,1,1,Ardeshir,,Adeli,Ardeshir Adeli,SE,SE,USDA,ARS Genetics and Precision Agriculture Research Unit,Mississippi State,Mississippi,USA,USA
AGRONOMY,2011,103,1,1,Ardeshir,,Adeli,Ardeshir Adeli,SE,SE,USDA,ARS Genetics and Precision Agriculture Research Unit,Mississippi State,Mississippi,USA,USA
AGRONOMY,2012,104,1,1,Ardeshir,,Adeli,Ardeshir Adeli,SE,SE,USDA,ARS Genetics and Precision Agriculture Research Unit,Mississippi State,Mississippi,USA,USA
AGRONOMY,2014,106,1,1,Ardeshir,,Adeli,Ardeshir Adeli,AE,SE,USDA,ARS Genetics and Precision Agriculture Research Unit,Mississippi State,Mississippi,USA,USA
AGRONOMY,2009,101,1,12,Allen,,Barker,Allen Barker,SE,SE,University of Massachusetts,Stockbridge School of Agriculture,Amherst,Massachusetts,USA,USA
AGRONOMY,2010,102,1,12,Allen,,Barker,Allen Barker,SE,SE,University of Massachusetts,Stockbridge School of Agriculture,Amherst,Massachusetts,USA,USA
AGRONOMY,2011,103,1,12,Allen,,Barker,Allen Barker,SE,SE,University of Massachusetts,Stockbridge School of Agriculture,Amherst,Massachusetts,USA,USA
AGRONOMY,2012,104,1,12,Allen,,Barker,Allen Barker,SE,SE,University of Massachusetts,Stockbridge School of Agriculture,Amherst,Massachusetts,USA,USA
AGRONOMY,1989,81,1,13,Armand,,Bauer,Armand Bauer,SE,SE,USDA,ARS Northern Great Plain,Mandan,North Dakota,USA,USA
AGRONOMY,1990,82,1,13,Armand,,Bauer,Armand Bauer,SE,SE,USDA,ARS Northern Great Plain,Mandan,North Dakota,USA,USA
AGRONOMY,1992,84,1,19,Alfred,,Blackmer,Alfred Blackmer,SE,SE,Iowa State University,,Ames,Iowa,USA,USA
AGRONOMY,1995,87,1,19,Alfred,,Blackmer,Alfred Blackmer,SE,SE,Iowa State University,,Ames,Iowa,USA,USA
AGRONOMY,1997,89,1,21,Alan,,Blaylock,Alan Blaylock,SE,SE,Agrium Advanced Technologies,,Loveland,Colorado,USA,USA
AGRONOMY,2000,92,1,21,Alan,,Blaylock,Alan Blaylock,SE,SE,Agrium Advanced Technologies,,Loveland,Colorado,USA,USA
AGRONOMY,2008,100,1,22,Arvid,,Boe,Arvid Boe,SE,SE,South Dakota State University,Plant Sciences Department,Brookings,South Dakota,USA,USA
AGRONOMY,2009,101,1,22,Arvid,,Boe,Arvid Boe,SE,SE,South Dakota State University,Plant Sciences Department,Brookings,South Dakota,USA,USA
AGRONOMY,2010,102,1,22,Arvid,,Boe,Arvid Boe,SE,SE,South Dakota State University,Plant Sciences Department,Brookings,South Dakota,USA,USA
AGRONOMY,2011,103,1,22,Arvid,,Boe,Arvid Boe,SE,SE,South Dakota State University,Plant Sciences Department,Brookings,South Dakota,USA,USA
AGRONOMY,1996,88,1,25,A,Douglas,Brede,A Douglas Brede,SE,SE,Jacklin Seed Company,,Veradale,Washington,USA,USA
AGRONOMY,1999,91,1,25,A,Douglas,Brede,A Douglas Brede,SE,SE,Jacklin Seed Company,,Veradale,Washington,USA,USA
AGRONOMY,2013,105,1,37,Amitava,,Chatterjee,Amitava Chatterjee,SE,SE,North Dakota State University,Department of Soil Science,Fargo,North Dakota,USA,USA
