JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
AMNAT,1985,125,1,2799,Paul,R,Ehrlich,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1985,125,1,2363,Marcus,W,Feldman,Marcus W Feldman,EIC,EIC,Stanford University,,,,USA,USA
AMNAT,1985,125,1,1340,Harold,A,Mooney,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA
AMNAT,1985,125,1,1847,Jonathan,,Roughgarden,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA
AMNAT,1986,127,1,2799,Paul,R,Ehrlich,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1986,127,1,2363,Marcus,W,Feldman,Marcus W Feldman,EIC,EIC,Stanford University,,,,USA,USA
AMNAT,1986,127,1,1340,Harold,A,Mooney,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA
AMNAT,1986,127,1,1847,Jonathan,,Roughgarden,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA
AMNAT,1986,127,1,2946,Peter,M,Vitousek,Peter M Vitousek,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1987,129,1,2799,Paul,R,Ehrlich,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1987,129,1,2363,Marcus,W,Feldman,Marcus W Feldman,EIC,EIC,Stanford University,,,,USA,USA
AMNAT,1987,129,1,1340,Harold,A,Mooney,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA
AMNAT,1987,129,1,1847,Jonathan,,Roughgarden,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA
AMNAT,1987,129,1,2946,Peter,M,Vitousek,Peter M Vitousek,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1988,131,1,2799,Paul,R,Ehrlich,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1988,131,1,2363,Marcus,W,Feldman,Marcus W Feldman,EIC,EIC,Stanford University,,,,USA,USA
AMNAT,1988,131,1,1340,Harold,A,Mooney,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA
AMNAT,1988,131,1,1847,Jonathan,,Roughgarden,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA
AMNAT,1988,131,1,2946,Peter,M,Vitousek,Peter M Vitousek,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1989,133,1,2799,Paul,R,Ehrlich,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1989,133,1,2363,Marcus,W,Feldman,Marcus W Feldman,EIC,EIC,Stanford University,,,,USA,USA
AMNAT,1989,133,1,1340,Harold,A,Mooney,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA
AMNAT,1989,133,1,1847,Jonathan,,Roughgarden,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA
AMNAT,1989,133,1,2946,Peter,M,Vitousek,Peter M Vitousek,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1989,133,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1990,135,1,2799,Paul,R,Ehrlich,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1990,135,1,2363,Marcus,W,Feldman,Marcus W Feldman,EIC,EIC,Stanford University,,,,USA,USA
AMNAT,1990,135,1,1340,Harold,A,Mooney,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA
AMNAT,1990,135,1,1847,Jonathan,,Roughgarden,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA
AMNAT,1990,135,1,2946,Peter,M,Vitousek,Peter M Vitousek,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1990,135,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Board,SE,Stanford University,,,,USA,USA
AMNAT,1991,137,1,2633,Nancy,T,Burley,Nancy T Burley,Editorial.Board,SE,University of Illinois,,,,USA,USA
AMNAT,1991,137,1,1062,F,Stuart,Chapin,F Stuart Chapin,Editorial.Board,SE,University of California,,,,USA,USA
AMNAT,1991,137,1,648,Deborah,,Charlesworth,Deborah Charlesworth,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,2782,Peter,,Chesson,Peter Chesson,Editorial.Board,SE,,,,,Australiatralia,AUS
AMNAT,1991,137,1,3022,Robert,K,Colwell,Robert K Colwell,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,1524,Jerry,A,Coyne,Jerry A Coyne,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,2435,Mark,,Kirkpatrick,Mark Kirkpatrick,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,3603,Thomas,R,Meagher,Thomas R Meagher,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,327,Brent,D,Mishle,Brent D Mishle,Editorial.Board,SE,Duke University,,,,USA,USA
AMNAT,1991,137,1,3426,Stephen,W,Pacal,Stephen W Pacal,Editorial.Board,SE,University of Connecticut,,,,USA,USA
AMNAT,1991,137,1,1800,John,,Pastor,John Pastor,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,2532,Mark,D,Rausher,Mark D Rausher,EIC,EIC,Duke University,,,,USA,USA
AMNAT,1991,137,1,2226,Leslie,A,Real,Leslie A Real,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,3697,V,Louise,Roth,V Louise Roth,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,1861,Jon,,Seger,Jon Seger,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,2917,Paul,W,Sherma,Paul W Sherma,Editorial.Board,SE,Cornell University,,,,USA,USA
AMNAT,1991,137,1,891,David,,Tilma,David Tilma,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,1912,Joseph,,Travis,Joseph Travis,Editorial.Board,SE,,,,,USA,USA
AMNAT,1991,137,1,601,Chung-I,,Wu,Chung-I Wu,Editorial.Board,SE,,,,,USA,USA
AMNAT,1992,139,1,1437,Jeanne,,Altmann,Jeanne Altmann,Editorial.Board,SE,,,,,USA,USA
AMNAT,1992,139,1,1062,F,Stuart,Chapin,F Stuart Chapin,Editorial.Board,SE,University of California,,,,USA,USA
AMNAT,1992,139,1,648,Deborah,,Charlesworth,Deborah Charlesworth,Editorial.Board,SE,,,,,USA,USA
