JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
AREES,1985,16,NA,1570,Joseph,,Felsenstein,Joseph Felsenstein,EC,SE,,,,,USA,USA
AREES,1985,16,NA,2809,Peter,W,Frank,Peter W Frank,AE,AE,University of Oregon,,,,USA,USA
AREES,1985,16,NA,3112,Richard,F,Johnston,Richard F Johnston,E,EIC,University of Kansas,,,,USA,USA
AREES,1985,16,NA,530,Charles,D,Michener,Charles D Michener,AE,AE,University of Kansas,,,,USA,USA
AREES,1985,16,NA,833,David,M,Raup,David M Raup,EC,SE,,,,,USA,USA
AREES,1985,16,NA,1361,Herman,H,Shugart,Herman H Shugart,EC,SE,,,,,USA,USA
AREES,1985,16,NA,358,Beryl,B,Simpson,Beryl B Simpson,EC,SE,,,,,USA,USA
AREES,1985,16,NA,2952,Patricia,A,Werner,Patricia A Werner,EC,SE,,,,,USA,USA
AREES,1986,17,NA,1570,Joseph,,Felsenstein,Joseph Felsenstein,EC,SE,,,,,USA,USA
AREES,1986,17,NA,2809,Peter,W,Frank,Peter W Frank,AE,AE,University of Oregon,,,,USA,USA
AREES,1986,17,NA,1085,Frances,C,James,Frances C James,EC,SE,,,,,USA,USA
AREES,1986,17,NA,3112,Richard,F,Johnston,Richard F Johnston,E,EIC,University of Kansas,,,,USA,USA
AREES,1986,17,NA,530,Charles,D,Michener,Charles D Michener,AE,AE,University of Kansas,,,,USA,USA
AREES,1986,17,NA,833,David,M,Raup,David M Raup,EC,SE,,,,,USA,USA
AREES,1986,17,NA,1361,Herman,H,Shugart,Herman H Shugart,EC,SE,,,,,USA,USA
AREES,1986,17,NA,358,Beryl,B,Simpson,Beryl B Simpson,EC,SE,,,,,USA,USA
AREES,1987,18,NA,2809,Peter,W,Frank,Peter W Frank,AE,AE,University of Oregon,,,,USA,USA
AREES,1987,18,NA,697,Douglas,J,Futuyma,Douglas J Futuyma,EC,SE,,,,,USA,USA
AREES,1987,18,NA,1085,Frances,C,James,Frances C James,EC,SE,,,,,USA,USA
AREES,1987,18,NA,3112,Richard,F,Johnston,Richard F Johnston,E,EIC,University of Kansas,,,,USA,USA
AREES,1987,18,NA,530,Charles,D,Michener,Charles D Michener,AE,AE,University of Kansas,,,,USA,USA
AREES,1987,18,NA,833,David,M,Raup,David M Raup,EC,SE,,,,,USA,USA
