JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,NOTES
BIOCON,1985,31,1,32,A,,CARR,A CARR,EB,SE,University of Florida,missing,Gainesville,Florida,USA,USA,
BIOCON,1986,35,1,32,A,,CARR,A CARR,EB,SE,,,,,USA,USA,
BIOCON,1985,31,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,WWF,Italian Appeal,Rome,missing,Italy,ITA,
BIOCON,1986,35,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1987,39,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1988,43,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1989,47,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1990,51,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1991,55,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1992,59,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1993,64,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1994,67,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1995,71,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1996,75,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1997,79,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1998,83,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,Ministry of the Environment,missing,Rome,missing,Italy,ITA,
BIOCON,1999,87,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,2000,92,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,2001,97,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,2002,103,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,2003,109,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,2004,115,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,ITALY,ITA,
BIOCON,2005,121,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,2006,133,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1985,31,1,56,A,,DeVos,A DeVos,EB,SE,missing,missing,Auckland,missing,New Zealand,NZL,
BIOCON,1986,35,1,56,A,,DeVos,A DeVos,EB,SE,,,,,New Zealand,NZL,
BIOCON,1996,75,1,58,Andrew,P,Dobson,Andrew P Dobson,SE,SE,Princeton University,Ecology and Evoloutionary Biology,Princeton,New Jersey,USA,USA,
BIOCON,1997,79,1,58,Andrew,P,Dobson,Andrew P Dobson,SE,SE,,,,,USA,USA,
BIOCON,2006,133,1,84,Andrew,B,Gill,Andrew B Gill,SE,SE,Cranfield University,Institute of Water and Environment,Silsoe Bedfordshire,missing,UK,GBR,
BIOCON,2007,140,1,84,Andrew,B,Gill,Andrew B Gill,SE,SE,Cranfield University,Department of Natural Resources,Cranfield,missing,UK,GBR,
BIOCON,2008,141,1,84,Andrew,B,Gill,Andrew B Gill,AE,AE,,,,,UK,GBR,
BIOCON,2009,142,1,84,Andrew,B,Gill,Andrew B Gill,AE,AE,,,,,UK,GBR,
BIOCON,2010,143,1,84,Andrew,B,Gill,Andrew B Gill,AE,AE,,,,,UK,GBR,
BIOCON,2012,145,1,84,Andrew,B,Gill,Andrew B Gill,SE,SE,Cranfield University,missing,Bedford,missing,UK,GBR,
BIOCON,2013,157,1,84,Andrew,B,Gill,Andrew B Gill,SE,SE,,,,,UK,GBR,
BIOCON,2006,133,1,113,A,JT,Johnsingh,A JT Johnsingh,EB,SE,,,,,India,IND,
BIOCON,2002,103,1,114,AJT,,JONHSINGH,AJT JONHSINGH,EB,SE,Wildlife Institute of India,missing,Uttaranchal,missing,India,IND,
BIOCON,2003,109,1,114,AJT,,JONHSINGH,AJT JONHSINGH,EB,SE,,,,,India,IND,
BIOCON,2004,115,1,114,AJT,,JONHSINGH,AJT JONHSINGH,EB,SE,,,,,India,IND,
BIOCON,2013,157,1,154,Atte,,Moilanen,Atte Moilanen,SE,SE,University of Helsinki,Biosciences,missing,missing,Finland,FIN,
BIOCON,2014,169,NA,154,Atte,,Moilanen,Atte Moilanen,EB,SE,,,,,Finland,FIN,
BIOCON,2004,115,1,173,Andrew,S,Pullin,Andrew S Pullin,SE,SE,University of Birmingham,School of Biosciences,Birmingham,missing,UK,GBR,
BIOCON,2005,121,1,173,Andrew,S,Pullin,Andrew S Pullin,SE,SE,,,,,UK,GBR,
BIOCON,2005,123,4,173,Andrew,S,Pullin,Andrew S Pullin,SE,SE,,,,,UK,GBR,
BIOCON,2006,133,1,173,Andrew,S,Pullin,Andrew S Pullin,SE,SE,,,,,UK,GBR,
BIOCON,2007,140,1,173,Andrew,S,Pullin,Andrew S Pullin,SE,SE,University of Wales,Centre for Evidence based conservation,Bangor,Gwynedd,UK,GBR,
BIOCON,2008,141,1,173,Andrew,S,Pullin,Andrew S Pullin,AE,AE,,,,,UK,GBR,
BIOCON,2009,142,1,173,Andrew,S,Pullin,Andrew S Pullin,AE,AE,,,,,UK,GBR,
BIOCON,2010,143,1,173,Andrew,S,Pullin,Andrew S Pullin,AE,AE,,,,,UK,GBR,
BIOCON,2011,144,1,173,Andrew,S,Pullin,Andrew S Pullin,AE,AE,,,,,UK,GBR,
BIOCON,2012,145,1,173,Andrew,S,Pullin,Andrew S Pullin,AE,AE,,,,,UK,GBR,
BIOCON,2013,157,1,173,Andrew,S,Pullin,Andrew S Pullin,AE,AE,,,,,UK,GBR,
BIOCON,2014,169,NA,173,Andrew,S,Pullin,Andrew S Pullin,E,AE,,,,,UK,GBR,
BIOCON,2004,115,1,236,Andrew,,Young,Andrew Young,EB,SE,CSIRO,Division of Plant Industry,Canberra,missing,Australia,AUS,
BIOCON,2005,121,1,236,Andrew,,Young,Andrew Young,EB,SE,,,,,Australia,AUS,
BIOCON,2006,133,1,236,Andrew,,Young,Andrew Young,EB,SE,,,,,Australia,AUS,
BIOCON,2007,140,1,236,Andrew,,Young,Andrew Young,EB,SE,,,,,Australia,AUS,
BIOCON,2008,141,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2009,142,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2010,143,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
