JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,NOTES
ECOLOGY,1999,2263,Marc,D,Abrams,Pennsylvania State University,NA,State College,PA,USA,
ECOLOGY,2000,2263,Marc,D,Abrams,Pennsylvania State University,NA,State College,PA,USA,
ECOLOGY,2001,2263,Marc,D,Abrams,Pennsylvania State University,NA,State College,PA,USA,
ECOLOGY,1998,2750,Peter,A,Abrams,University of Maryland,NA,College Park,MD,Canada,
ECOLOGY,1999,2750,Peter,A,Abrams,University of Maryland,NA,College Park,MD,Canada,
ECOLOGY,2000,2750,Peter,A,Abrams,University of Toronto,NA,Toronto,ON,Canada,
ECOLOGY,1990,1433,John,F,Addicott,University of Alberta,NA,Edmonton,AB,Canada,
ECOLOGY,1991,1433,John,F,Addicott,University of Alberta,NA,Edmonton,AB,Canada,
ECOLOGY,1992,1433,John,F,Addicott,University of Alberta,NA,Edmonton,AB,Canada,
ECOLOGY,1993,1433,John,F,Addicott,University of Alberta,NA,Edmonton,AB,Canada,
ECOLOGY,2000,1046,Fred,,Adler,Univerity of Utah,NA,Salt Lake City,UT,USA,
ECOLOGY,1999,1046,Fred,,Adler,University of Utah,NA,Salt Lake City,UT,USA,
ECOLOGY,2001,1046,Fred,,Adler,University of Utah,NA,Salt Lake City,UT,USA,
ECOLOGY,2002,1046,Fred,,Adler,University of Utah,NA,Salt Lake City,UT,USA,
ECOLOGY,2003,1046,Fred,,Adler,University of Utah,NA,,,USA,
ECOLOGY,2010,2120,Lynn,S,Adler,University of Massachusetts-Amherst,NA,,,USA,
ECOLOGY,2011,2120,Lynn,S,Adler,University of Massachusetts-Amherst,NA,,,USA,
ECOLOGY,2012,2120,Lynn,S,Adler,University of Massachusetts-Amherst,NA,,,USA,
ECOLOGY,2014,2120,Lynn,S,Adler,University of Massachusetts-Amherst,NA,,,USA,
ECOLOGY,2014,2120,Lynn,S,Adler,Utah State University,NA,,,USA,
ECOLOGY,2014,2752,Peter,B,Adler,University of Massachusetts-Amherst,NA,,,USA,
ECOLOGY,2013,2752,Peter,B,Adler,Utah State University,NA,,,USA,
ECOLOGY,2014,2752,Peter,B,Adler,Utah State University,NA,,,USA,
ECOLOGY,2002,2,Anurag,,Agrawal,University of Toronto,NA,Toronto,ON,USA,
