Changes,DF,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,INST2
row removed,1,AMNAT,1992,139,1,2226,Leslie,A,Real,Leslie A Real,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,1993,141,1,1240,Geoffrey,A,Parker,Geoffrey A Parker,Editorial.Board,SE,University of Liverpool,NA,NA,NA,UK,GBR,NA
row removed,1,AMNAT,1993,141,1,2226,Leslie,A,Real,Leslie A Real,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,1998,152,1,2814,Patricia,A,Gowaty,Patricia A Gowaty,Editorial.Board,SE,University of Georgia,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2008,172,1,940,Edmund,D,Brodie,Edmund D Brodie,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2008,172,1,3315,Sebastian,NA,Diehl,Sebastian Diehl,Editorial.Board,SE,NA,NA,NA,NA,Germany,DEU,NA
row removed,1,AMNAT,2008,172,1,3739,William,F,Fagan,William F Fagan,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2008,172,1,3101,Raymond,B,Huey,Raymond B Huey,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2008,172,1,1646,Jef,NA,Huisman,Jef Huisman,Editorial.Board,SE,NA,NA,NA,NA,Netherlands,NLD,NA
row removed,1,AMNAT,2008,172,1,1086,Frederic,C,Janzen,Frederic C Janzen,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2008,172,1,3589,Thomas,NA,Lenormand,Thomas Lenormand,Editorial.Board,SE,NA,NA,NA,NA,France,FRA,NA
row removed,1,AMNAT,2008,172,1,1755,John,M,McNamara,John M McNamara,Editorial.Board,SE,NA,NA,NA,NA,UK,GBR,NA
