Change Made,DF,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,INST2
row removed,1,CONBIO,1989,3,1,58,Andrew,P,Dobson,Andrew P Dobson,SE,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,CONBIO,1989,3,1,3364,Stephen,NA,Hubbell,Stephen Hubbell,SE,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,CONBIO,1991,5,1,1073,Fredrick,NA,Grassle,Fredrick Grassle,SE,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,CONBIO,1991,5,1,1660,James,NA,Karr,James Karr,SE,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,CONBIO,1993,7,1,528,Curt,NA,Meine,Curt Meine,SE,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,CONBIO,1994,8,1,2613,Mary,F,Willson,Mary F Willson,SE,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,CONBIO,2009,23,1,3280,Steven,R,Beissinger,Steven R Beissinger,SE,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,CONBIO,2012,26,1,3151,Rodrigo,NA,Medellin,Rodrigo Medellin,SE,SE,NA,NA,NA,NA,Mexico,MEX,NA
change country from UK to USA,2,CONBIO,1987,1,1,3147,Robert,NA,May,Robert May,SE,SE,Princeton University,NA,Princeton,New Jersey,USA,USA,NA
change country from UK to USA,2,CONBIO,1988,2,1,3147,Robert,NA,May,Robert May,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1989,3,1,1224,Guillermo,W,Mann,Guillermo W Mann,AE,AE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1990,4,1,1224,Guillermo,W,Mann,Guillermo W Mann,AE,AE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1993,7,1,1660,James,NA,Karr,James Karr,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1993,7,1,912,David,NA,Western,David Western,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1994,8,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1995,9,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1996,10,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1997,11,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1997,11,1,1229,Gary,K,Meffe,Gary K Meffe,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1997,11,1,796,Dennis,NA,Murphy,Dennis Murphy,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1998,12,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1998,12,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,1999,13,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
moved middle initial from first name column to middle initial column,2,CONBIO,1999,13,1,2390,Martha,J,Groom,Martha J Groom,SE,SE,University of Washington,NA,Seattle,Washington,USA,USA,NA
row added,2,CONBIO,1999,13,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2000,14,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
moved middle initial from first name column to middle initial column,2,CONBIO,2000,14,1,2390,Martha,J,Groom,Martha J Groom,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2000,14,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2001,15,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
moved middle initial from first name column to middle initial column,2,CONBIO,2001,15,1,2390,Martha,J,Groom,Martha J Groom,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2001,15,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2002,16,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
moved middle initial from first name column to middle initial column,2,CONBIO,2002,16,1,2390,Martha,J,Groom,Martha J Groom,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2002,16,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2003,17,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
moved middle initial from first name column to middle initial column,2,CONBIO,2003,17,1,2390,Martha,J,Groom,Martha J Groom,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2003,17,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,University of Central Florida,NA,Chuluota,Florida,USA,USA,NA
row added,2,CONBIO,2004,18,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
changed first name (from William),2,CONBIO,2004,18,1,3769,Brenda,C,McComb,Brenda C McComb,SE,SE,US Environmental Protection Agency,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2004,18,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2005,19,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2005,19,1,2465,Michael,NA,Mascia,Michael Mascia,SE,SE,World Wildlife Fund,NA,NA,NA,USA,USA,NA
changed first name (from William),2,CONBIO,2005,19,1,3769,Brenda,C,McComb,Brenda C McComb,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2005,19,1,1004,E,J,Milner-Gulland,E J Milner-Gulland,SE,SE,Imperial College,NA,London,England,UK,GBR,NA
row added,2,CONBIO,2005,19,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
corrected first name and author ID,2,CONBIO,2006,20,1,2791,Peter,NA,Daszak,Peter Daszak,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2006,20,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2006,20,1,2465,Michael,NA,Mascia,Michael Mascia,SE,SE,NA,NA,NA,NA,USA,USA,NA
changed first name (from William),2,CONBIO,2006,20,1,3769,Brenda,C,McComb,Brenda C McComb,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2006,20,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
corrected first name and author ID,2,CONBIO,2007,21,1,2791,Peter,NA,Daszak,Peter Daszak,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2007,21,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
changed first name (from William),2,CONBIO,2007,21,1,3769,Brenda,C,McComb,Brenda C McComb,SE,SE,University of Massachusetts,NA,Amherst,Massachusetts,USA,USA,NA
row added,2,CONBIO,2007,21,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
corrected first name and author ID,2,CONBIO,2008,22,1,2791,Peter,NA,Daszak,Peter Daszak,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2008,22,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
changed first name (from William),2,CONBIO,2008,22,1,3769,Brenda,C,McComb,Brenda C McComb,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2008,22,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2008,22,1,2516,Michelle,NA,Pinard,Michelle Pinard,SE,SE,University of Aberdeen,NA,Aberdeen,Scotland,UK,GBR,NA
changed country from Mexico to Venezuela,2,CONBIO,2008,22,1,1839,Jon,Paul,Rodriguez,Jon Paul Rodriguez,SE,SE,Venezuelan Institute for Scientific Investigation,NA,Altos de Pipe,Miranda,Venezuela,VEN,NA
corrected first name and author ID,2,CONBIO,2009,23,1,2791,Peter,NA,Daszak,Peter Daszak,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2009,23,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2009,23,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
changed country from Mexico to Venezuela,2,CONBIO,2009,23,1,1839,Jon,Paul,Rodriguez,Jon Paul Rodriguez,SE,SE,NA,NA,NA,NA,Venezuela,VEN,NA
corrected first name and author ID,2,CONBIO,2010,24,1,2791,Peter,NA,Daszak,Peter Daszak,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2010,24,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2010,24,1,1229,Gary,K,Meffe,Gary K Meffe,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2010,24,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2010,24,1,2073,Kent,H,Redford,Kent H Redford,AE,AE,NA,NA,NA,NA,USA,USA,NA
changed country from Mexico to Venezuela,2,CONBIO,2010,24,1,1839,Jon,Paul,Rodriguez,Jon Paul Rodriguez,SE,SE,NA,NA,NA,NA,Venezuela,VEN,NA
row added,2,CONBIO,2011,25,1,3887,J,Alan,Clark,J Alan Clark,SE,SE,Fordham University,NA,New York City,New York,USA,USA,NA
corrected first name and author ID,2,CONBIO,2011,25,1,2791,Peter,NA,Daszak,Peter Daszak,SE,SE,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2011,25,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2011,25,1,1229,Gary,K,Meffe,Gary K Meffe,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2011,25,1,3176,Reed,NA,Noss,Reed Noss,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2011,25,1,2073,Kent,H,Redford,Kent H Redford,AE,AE,NA,NA,NA,NA,USA,USA,NA
changed country from Mexico to Venezuela,2,CONBIO,2011,25,1,1839,Jon,Paul,Rodriguez,Jon Paul Rodriguez,SE,SE,NA,NA,NA,NA,Venezuela,VEN,NA
last name corrected (Catterall from Catterakk),2,CONBIO,2012,26,1,420,Carla,NA,Catterall,Carla Catterall,SE,SE,Griffith University,NA,Brisbane,Queensland,Australia,AUS,NA
corrected first name and author ID,2,CONBIO,2012,26,1,2791,Peter,NA,Daszak,Peter Daszak,SE,SE,EcoHealth Alliance,NA,New Yor City,New York,USA,USA,NA
row added,2,CONBIO,2012,26,1,680,David,NA,Ehrenfeld,David Ehrenfeld,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row added,2,CONBIO,2012,26,1,1229,Gary,K,Meffe,Gary K Meffe,Consulting.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
changed country from Mexico to Venezuela,2,CONBIO,2012,26,1,1839,Jon,Paul,Rodriguez,Jon Paul Rodriguez,SE,SE,NA,NA,NA,NA,Venezuela,VEN,NA
