JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,INST.2,UNIT,CITY,STATE,COUNTRY,geo.code
FUNECOL,1987,1,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,NoInst,,,Plymouth,,UK,GBR
FUNECOL,1987,1,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,NoInst,Colorado,,,Colorado,USA,USA
FUNECOL,1987,1,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,NoInst,Utah,,,Utah,USA,USA
FUNECOL,1987,1,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,University of Sheffield,,Department of Zoology,,,UK,GBR
FUNECOL,1987,1,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,NoInst,Woods Hole,,Woods Hole,,USA,USA
FUNECOL,1987,1,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,NoInst,Utah,,,Utah,USA,USA
FUNECOL,1987,1,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,NoInst,Canberra,,Canberra,,Australia,AUS
FUNECOL,1987,1,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,NoInst,,,Copenhagen,,Denmark,DNK
FUNECOL,1987,1,1,3893,John,,Grace,John Grace,Editor,EIC,University of Edinburgh,,Department of Forestry and Natural Resources,,,UK,GBR
FUNECOL,1987,1,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,NoInst,,,Cambridge,,UK,GBR
FUNECOL,1987,1,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,NoInst,Vancouver,,Vancouver,,Canada,CAN
FUNECOL,1987,1,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,NoInst,,,Kyoto,,Japan,JPN
FUNECOL,1987,1,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,NoInst,,,Innsbruick,,Austria,AUT
FUNECOL,1987,1,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,NoInst,Florida,,,Florida,USA,USA
FUNECOL,1987,1,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,NoInst,,,Bristol,,UK,GBR
FUNECOL,1987,1,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,NoInst,Wisconsin,,,Wisconsin,USA,USA
FUNECOL,1987,1,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,NoInst,,,Dundee,,UK,GBR
FUNECOL,1987,1,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,NoInst,Pennsylvania,,,Pennsylvania,USA,USA
FUNECOL,1987,1,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,NoInst,"Washington U, St Louis",,St Louis,Washington,USA,USA
FUNECOL,1987,1,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,NoInst,,,Reading,,UK,GBR
FUNECOL,1987,1,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,NoInst,Stanford,,Stanford,,USA,USA
FUNECOL,1987,1,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,NoInst,,,Aberystwyth,,UK,GBR
FUNECOL,1988,2,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1988,2,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1988,2,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1988,2,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1988,2,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1988,2,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1988,2,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1988,2,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1988,2,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1988,2,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1988,2,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1988,2,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1988,2,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,,,Austria,AUT
FUNECOL,1988,2,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1988,2,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1988,2,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1988,2,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1988,2,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1988,2,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1988,2,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1988,2,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1988,2,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1989,3,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1989,3,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1989,3,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1989,3,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1989,3,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1989,3,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1989,3,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1989,3,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1989,3,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1989,3,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,,,Austria,AUT
FUNECOL,1989,3,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1989,3,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1989,3,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1989,3,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
