JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
FUNECOL,2010,24,1,associate editor,Adam,D,Kay,Adam D Kay,Minnesota,USA,M,SE,
FUNECOL,2011,25,1,associate editor,Adam,D,Kay,Adam D Kay,Minnesota,USA,M,SE,
FUNECOL,2012,26,1,associate editor,Adam,D,Kay,Adam D Kay,Minnesota,USA,M,SE,
FUNECOL,2013,27,1,associate editor,Adam,D,Kay,Adam D Kay,Minnesota,USA,M,SE,
FUNECOL,2014,28,1,associate editor,Adam,D,Kay,Adam D Kay,Minnesota,USA,M,SE,
FUNECOL,2015,29,1,associate editor,Adam,D,Kay,Adam D Kay,Minnesota,USA,M,SE,
FUNECOL,2012,26,1,editor,Alan,,Knapp,Alan Knapp,Colorado State,USA,M,EIC,
FUNECOL,2013,27,1,editor,Alan,,Knapp,Alan Knapp,Colorado State,USA,M,EIC,
FUNECOL,2014,28,1,editor,Alan,,Knapp,Alan Knapp,Colorado State,USA,M,EIC,
FUNECOL,2015,29,1,editor,Alan,,Knapp,Alan Knapp,Colorado State,USA,M,EIC,
FUNECOL,2006,20,1,associate editor,Alexander,V,Badyaev,Alexander V Badyaev,Arizona,USA,M,SE,
FUNECOL,2007,21,2,associate editor,Alexander,V,Badyaev,Alexander V Badyaev,Arizona,USA,M,SE,
FUNECOL,2008,22,1,associate editor,Alexander,V,Badyaev,Alexander V Badyaev,Arizona,USA,M,SE,
FUNECOL,2015,29,1,associate editor,Alison,,Bennett,Alison Bennett,Dundee,Scotland,F,SE,
FUNECOL,2011,25,1,associate editor,Alison,K,Brody,Alison K Brody,Vermont,USA,F,SE,
FUNECOL,2012,26,1,associate editor,Alison,K,Brody,Alison K Brody,Vermont,USA,F,SE,
FUNECOL,2013,27,1,associate editor,Alison,K,Brody,Alison K Brody,Vermont,USA,F,SE,
FUNECOL,2014,28,1,associate editor,Alison,K,Brody,Alison K Brody,Vermont,USA,F,SE,
FUNECOL,2015,29,1,associate editor,Alison,K,Brody,Alison K Brody,Vermont,USA,F,SE,
FUNECOL,2006,20,1,associate editor,Alistair,,Dawson,Alistair Dawson,Monks Wood,England,M,SE,
FUNECOL,2007,21,2,associate editor,Alistair,,Dawson,Alistair Dawson,Monks Wood,England,M,SE,
FUNECOL,2008,22,1,associate editor,Alistair,,Dawson,Alistair Dawson,Monks Wood,England,M,SE,
FUNECOL,2009,23,1,associate editor,Alistair,,Dawson,Alistair Dawson,Monks Wood,England,M,SE,
FUNECOL,2010,24,1,associate editor,Alistair,,Dawson,Alistair Dawson,Monks Wood,England,M,SE,
FUNECOL,2011,25,1,associate editor,Alistair,,Dawson,Alistair Dawson,Monks Wood,England,M,SE,
FUNECOL,2000,14,1,editorial review board,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2001,15,1,editorial review board,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2002,16,1,editorial review board,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2003,17,1,editorial review board,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2004,18,1,editorial review board,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2005,19,1,editorial review board,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2006,20,1,associate editor,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2007,21,2,associate editor,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2008,22,1,associate editor,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2009,23,1,associate editor,Andrew,,Clarke,Andrew Clarke,Cambridge,England,M,SE,
FUNECOL,2012,26,1,associate editor,Anthony,,Herrel,Anthony Herrel,CNRS,France,M,SE,
FUNECOL,2013,27,1,associate editor,Anthony,,Herrel,Anthony Herrel,CNRS,France,M,SE,
FUNECOL,2014,28,1,associate editor,Anthony,,Herrel,Anthony Herrel,CNRS,France,M,SE,
FUNECOL,2015,29,1,associate editor,Anthony,,Herrel,Anthony Herrel,CNRS,France,M,SE,
FUNECOL,2015,29,1,associate editor,Arjen,,Biere,Arjen Biere,Wageningen,Netherlands,M,SE,
FUNECOL,2012,26,1,associate editor,Art,,Woods,Art Woods,Montana,USA,M,SE,
FUNECOL,2013,27,1,associate editor,Art,,Woods,Art Woods,Montana,USA,M,SE,
FUNECOL,2014,28,1,associate editor,Art,,Woods,Art Woods,Montana,USA,M,SE,
FUNECOL,2015,29,1,associate editor,Art,,Woods,Art Woods,Montana,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,Barbara,A,Schaal,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1988,2,1,editorial review board,Barbara,A,Schaal,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1989,3,1,editorial review board,Barbara,A,Schaal,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
