JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,COUNTRY_Prior_Class,geo.code_Prior_Class
JAPE,1985,22,1,24,Anthony,David,Bradshaw,Anthony David Bradshaw,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,24,Anthony,David,Bradshaw,Anthony David Bradshaw,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,1987,24,1,24,Anthony,David,Bradshaw,Anthony David Bradshaw,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,1988,25,1,24,Anthony,David,Bradshaw,Anthony David Bradshaw,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,2006,43,1,65,Andreas,,Erhardt,Andreas Erhardt,Associate.Editor,SE,NA,NA,Basel,NA,Switzerland,CHE,Switzerland,CHE
JAPE,2007,44,1,65,Andreas,,Erhardt,Andreas Erhardt,Associate.Editor,SE,,,,,Switzerland,CHE,Switzerland,CHE
JAPE,2008,45,1,65,Andreas,,Erhardt,Andreas Erhardt,Associate.Editor,SE,,,,,Switzerland,CHE,Switzerland,CHE
JAPE,2009,46,1,65,Andreas,,Erhardt,Andreas Erhardt,Associate.Editor,SE,,,,,Switzerland,CHE,Switzerland,CHE
JAPE,1996,33,1,104,Alison,,Hester,Alison Hester,Review.Board,SE,NA,NA,Aberdeen,NA,UK,GBR,UK,GBR
JAPE,1997,34,1,104,Alison,,Hester,Alison Hester,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,1998,35,1,104,Alison,,Hester,Alison Hester,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,1999,36,1,104,Alison,,Hester,Alison Hester,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,2000,37,1,104,Alison,,Hester,Alison Hester,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,2001,38,1,104,Alison,,Hester,Alison Hester,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,2002,39,1,104,Alison,,Hester,Alison Hester,Review.Board,SE,,,,,UK,GBR,UK,GBR
JAPE,2013,50,1,150,Ailsa,,McKenzie,Ailsa McKenzie,Associate.Editor,SE, Newcastle University,NA,NA,NA,UK,GBR,UK,GBR
JAPE,2014,51,1,150,Ailsa,,McKenzie,Ailsa McKenzie,Associate.Editor,SE,,,,,UK,GBR,UK,GBR
JAPE,2015,52,1,150,Ailsa,,McKenzie,Ailsa McKenzie,Associate.Editor,SE,,,,,UK,GBR,UK,GBR
JAPE,2015,52,1,159,Akira,,Mori,Akira Mori,Associate.Editor,SE, Yokohama National University,NA,NA,NA,Japan,JPN,Japan,JPN
JAPE,2006,43,1,174,Andres,,Punt,Andres Punt,Associate.Editor,SE,NA,NA,Seattle,NA,USA,USA,USA,USA
