JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
JZOOL,1985,205,1,3918,Marcia,A,Edwards,Marcia A Edwards,EIC,EIC,,,,,UK,GBR
JZOOL,1986,208,1,3918,Marcia,A,Edwards,Marcia A Edwards,Editor,EIC,,,,,UK,GBR
JZOOL,1987,211,1,3918,Marcia,A,Edwards,Marcia A Edwards,Editor,EIC,,,,,UK,GBR
JZOOL,1988,214,1,3918,Marcia,A,Edwards,Marcia A Edwards,Editor,EIC,,,,,UK,GBR
JZOOL,1989,216,1,384,C,,Arme,C Arme,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,2983,R,J,Berry,R J Berry,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,3717,W,N,Bonner,W N Bonner,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,2777,P,J,Butler,P J Butler,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,419,C,K,Catchpole,C K Catchpole,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,35,A,JE,Cave,A JE Cave,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,2332,M,J,Coe,M J Coe,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,3918,Marcia,A,Edwards,Marcia A Edwards,Editor,EIC,,,,,UK,GBR
JZOOL,1989,216,1,72,A,A,Fincham,A A Fincham,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,277,B,Green,Gardiner,B Green Gardiner,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,1761,J,B,Messenger,J B Messenger,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1989,216,1,2955,P,J,Whitfield,P J Whitfield,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,384,C,,Arme,C Arme,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,2983,R,J,Berry,R J Berry,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,3717,W,N,Bonner,W N Bonner,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,35,A,JE,Cave,A JE Cave,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,2332,M,J,Coe,M J Coe,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,1531,J,P,Croxall,J P Croxall,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,3918,Marcia,A,Edwards,Marcia A Edwards,Editor,EIC,,,,,UK,GBR
JZOOL,1990,220,1,277,B,Green,Gardiner,B Green Gardiner,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,1761,J,B,Messenger,J B Messenger,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,2899,P,S,Rainbow,P S Rainbow,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1990,220,1,2955,P,J,Whitfield,P J Whitfield,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1991,223,1,2983,R,J,Berry,R J Berry,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1991,223,1,3717,W,N,Bonner,W N Bonner,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1991,223,1,35,A,JE,Cave,A JE Cave,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1991,223,1,2332,M,J,Coe,M J Coe,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1991,223,1,1531,J,P,Croxall,J P Croxall,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1991,223,1,3918,Marcia,A,Edwards,Marcia A Edwards,Editor,EIC,,,,,UK,GBR
JZOOL,1991,223,1,277,B,Green,Gardiner,B Green Gardiner,Publications.Committee,SE,,,,,UK,GBR
JZOOL,1991,223,1,1614,J,,Gurnell,J Gurnell,Publications.Committee,SE,,,,,UK,GBR
