JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,NOTES,,,,,
LECO,2007,22,1,68,A,,Farina,A Farina,SE,SE,The University of Urbino,Faculty of Environmental Sciences,Urbino,Marche,Italy,ITA,,,,,,
LECO,2008,23,1,68,A,,Farina,A Farina,SE,SE,The University of Urbino,Faculty of Environmental Sciences,Urbino,Marche,Italy,ITA,,,,,,
LECO,2009,24,1,68,A,,Farina,A Farina,SE,SE,The University of Urbino,,Urbino,Marche,Italy,ITA,,,,,,
LECO,2015,30,1,93,A,K,Hahs,A K Hahs,SE,SE,Australian research center for urban ecology,missing,missing,missing,Australia,AUS,,,,,,
LECO,1987,1,1,177,A,F,Ramos,A F Ramos,Editorial.Board,SE,missing,missing,missing,missing,Spain,ESP,,,,,,
LECO,1988,1,3,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1989,2,3,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1990,5,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1991,6,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1992,7,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1993,8,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1994,9,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1995,10,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1996,11,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1997,12,1,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP,,,,,,
LECO,1998,13,1,177,A,F,Ramos,A F Ramos,SE,SE,Ciudad Universitaria,"Catedra de Planficacion, Ets Ingenieros de Montes",Madrid,missing,Spain,ESP,,,,,,
LECO,2015,30,1,213,A,JA,Teefelen,A JA Teefelen,SE,SE,VU University Amsterdam,missing,Amsterdam,missing,Netherlands,NLD,,,,,,
LECO,2013,27,1,222,A,JA,vanTeeffelen,A JA vanTeeffelen,Editorial.Board,SE,VU University Amsterdam,missing,Amsterdam,missing,The Netherlands,NLD,,,,,,
LECO,2014,29,1,222,A,JA,vanTeeffelen,A JA vanTeeffelen,Editorial.Board,SE,VU University Amsterdam,,Amsterdam,,The Netherlands,NLD,,,,,,
LECO,2007,22,1,223,A,,Veldkamp,A Veldkamp,SE,SE,Wageningen Agricultural University,Laboratory of Soil Science and Geology,Wageningen,missing,Netherlands,NLD,,,,,,
LECO,2008,23,1,223,A,,Veldkamp,A Veldkamp,SE,SE,Wageningen Agricultural University,Laboratory of Soil Science and Geology,Wageningen,missing,Netherlands,NLD,,,,,,
LECO,2009,24,1,223,A,,Veldkamp,A Veldkamp,SE,SE,Wageningen Agricultural University,,Wageningen,missing,Netherlands,NLD,,,,,,
LECO,2010,25,1,223,A,,Veldkamp,A Veldkamp,SE,SE,Wageningen Agricultural University and Research Center-Alterra,,Wageningen,missing,Netherlands,NLD,,,,,,
LECO,2007,22,1,275,B,,Fu,B Fu,SE,SE,Chinese Academy of Sciences,missing,Beijing,missing,China,CHN,,,,,,
LECO,2008,23,1,275,B,,Fu,B Fu,SE,SE,Chinese Academy of Sciences,,Beijing,,China,CHN,,,,,,
LECO,2009,24,1,275,B,,Fu,B Fu,SE,SE,Chinese Academy of Sciences,,Beijing,,China,CHN,,,,,,
LECO,2010,25,1,275,B,,Fu,B Fu,SE,SE,Chinese Academy of Sciences,,Beijing,,China,CHN,,,,,,
LECO,2011,26,1,275,B,,Fu,B Fu,SE,SE,Chinese Academy of Sciences,,Beijing,,China,CHN,,,,,,
LECO,2012,27,1,275,B,,Fu,B Fu,Editorial.Board,SE,Chinese Academy of Sciences,,Beijing,,P.R. China,CHN,,,,,,
LECO,2013,27,1,275,B,,Fu,B Fu,Editorial.Board,SE,Chinese Academy of Sciences,,Beijing,,P.R. China,CHN,,,,,,
LECO,2014,29,1,275,B,,Fu,B Fu,Editorial.Board,SE,Chinese Academy of Sciences,,Beijing,,P.R. China,CHN,,,,,,
LECO,2015,30,1,275,B,,Fu,B Fu,SE,SE,,,,,China,CHN,,,,,,
LECO,2007,22,1,281,B,,Goodwin,B Goodwin,SE,SE,University of North Dakota,Department of Biology,Grand Forks,ND,USA,USA,,,,,,
LECO,2008,23,1,281,B,,Goodwin,B Goodwin,SE,SE,University of North Dakota,Department of Biology,Grand Forks,ND,USA,USA,,,,,,
LECO,2009,24,1,281,B,,Goodwin,B Goodwin,SE,SE,University of North Dakota,,Grand Forks,ND,USA,USA,,,,,,
LECO,2010,25,1,281,B,,Goodwin,B Goodwin,SE,SE,University of North Dakota,,Grand Forks,ND,USA,USA,,,,,,
LECO,2011,26,1,281,B,,Goodwin,B Goodwin,SE,SE,University of North Dakota,,Grand Forks,ND,USA,USA,,,,,,
LECO,2012,27,1,281,B,,Goodwin,B Goodwin,Editorial.Board,SE,University of North Dakota,,Grand Forks,ND,USA,USA,,,,,,
LECO,2013,27,1,281,B,,Goodwin,B Goodwin,Editorial.Board,SE,University of North Dakota,,Grand Forks,ND,USA,USA,,,,,,
LECO,2014,29,1,281,B,,Goodwin,B Goodwin,Editorial.Board,SE,University of North Dakota,,Grand Forks,ND,USA,USA,,,,,,
LECO,2015,30,1,281,B,,Goodwin,B Goodwin,SE,SE,,,,,USA,USA,,,,,,
LECO,1999,14,1,326,Bruce,,Milne,Bruce Milne,SE,SE,University of New Mexico,Department of Biology,Albuquerque,NM,USA,USA,,,,,,
LECO,2000,15,1,326,Bruce,,Milne,Bruce Milne,SE,SE,University of New Mexico,Department of Biology,Albuquerque,NM,USA,USA,,,,,,
LECO,2013,27,1,340,B,,Pijanowski,B Pijanowski,Editorial.Board,SE,Purdue University,missing,West Lafayette,IN,USA,USA,,,,,,
LECO,2014,29,1,340,B,,Pijanowski,B Pijanowski,Editorial.Board,SE,Purdue University,,West Lafayette,IN,USA,USA,,,,,,
LECO,2015,30,1,340,B,,Pijanowski,B Pijanowski,SE,SE,,,,,USA,USA,,,,,,
LECO,2012,27,1,371,B,L,Turner,B L Turner,Editorial.Board,SE,missing,missing,missing,missing,USA,USA,,,,,,
LECO,2013,27,1,371,B,L,Turner,B L Turner,Editorial.Board,SE,,,,,USA,USA,,,,,,
LECO,2015,30,1,381,C,,Albert,C Albert,SE,SE,missing,missing,missing,missing,Germany,DEU,,,,,,
LECO,2013,27,1,439,C,,Echeverria,C Echeverria,Editorial.Board,SE,Universidad de Concepcion,missing,Concepcion,missing,Chile,CHL,,,,,,
LECO,2014,29,1,439,C,,Echeverria,C Echeverria,Editorial.Board,SE,Universidad de Concepcion,,Concepcion,,Chile,CHL,,,,,,
LECO,2015,30,1,439,C,,Echeverria,C Echeverria,SE,SE,,,,,Chile,CHL,,,,,,
LECO,2004,19,1,448,Curtis,,Flather,Curtis Flather,SE,SE,missing,missing,missing,missing,USA,USA,,,,,,
LECO,2005,20,1,448,C,H,Flather,C H Flather,SE,SE,USDA Forest Service,,Fort Collins,CO,USA,USA,,,,,,
LECO,2006,21,1,448,C,H,Flather,C H Flather,SE,SE,USDA Forest Service,,Fort Collins,CO,USA,USA,,,,,,
LECO,2007,22,1,448,C,H,Flather,C H Flather,SE,SE,USDA Forest Service,,Fort Collins,CO,USA,USA,,,,,,
LECO,1997,12,1,492,C,W,Johnson,C W Johnson,SE,SE,missing,missing,missing,missing,USA,USA,,,,,,
LECO,1998,13,1,492,C,W,Johnson,C W Johnson,SE,SE,South Dakota State University,Department of Horticulture and Forestry,Brookings,SD,USA,USA,,,,,,
LECO,1999,14,1,492,C,W,Johnson,C W Johnson,SE,SE,South Dakota State University,"Department of Horticulture, Forestry, Landscape and Parks",Brookings,SD,USA,USA,,,,,,
LECO,2000,15,1,492,C,W,Johnson,C W Johnson,SE,SE,South Dakota State University,"Department of Horticulture, Forestry, Landscape and Parks",Brookings,SD,USA,USA,,,,,,
LECO,2001,16,1,492,C,W,Johnson,C W Johnson,SE,SE,South Dakota State University,"Department of Horticulture, Forestry, Landscape and Parks",Brookings,SD,USA,USA,,,,,,
LECO,2010,25,1,522,C,,McAlpine,C McAlpine,SE,SE,University of Queensland,missing,Brisbane,missing,Australia,AUS,,,,,,
LECO,2011,26,1,522,C,,McAlpine,C McAlpine,SE,SE,University of Queensland,,Brisbane,,Australia,AUS,,,,,,
LECO,2012,27,1,522,C,,McAlpine,C McAlpine,Editorial.Board,SE,University of Queensland,,Brisbane,,Australia,AUS,,,,,,
