no,JOURNAL,YEAR,Volume,Issue,Title,FIRST_NAME,MIDDLE NAME,LAST_NAME,NAME,INST,UNIT,CITY,STATE,COUNTRY
618,MARECOL,1985,6,1,Editorial Board,,,,A. Zhirmunsky,Academy of Sciences of Russia,Institute of Marine Biology ,Vladivostok,,Russia
617,MARECOL,1985,6,1,Editorial Board,,,,T. Smayda,University of Rhode Island,Graduate School of Oceanography,Kingston,RI,USA
616,MARECOL,1985,6,1,Editorial Board,,,,M. Sara,Universita di Genova,Istituto di Zoologia,Genova,,Italy
615,MARECOL,1985,6,1,Editorial Board,,,,P. Sale,University of Sydney,School of Biological Sciences,Sydney,N.S.W.,Australia
614,MARECOL,1985,6,1,Editorial Board,,,,K. Rutzler,Smithsonian Institution,National Museum of Natural History,Washington DC,,USA
613,MARECOL,1985,6,1,Editorial Board,,,,F. D. Por,The Hebrew University of Jerusalem,Department of Zoology,,Jerusalem,Israel
612,MARECOL,1985,6,1,Editorial Board,,,,R. Margalef,University of Barcelona,Dept. of Ecology,Barcelona,,Spain
611,MARECOL,1985,6,1,Editorial Board,,,,T. Kikuchi,Kyushu Unniversity,Amakusa Marine Biological Laboratory,Kumamoto,,Japan
610,MARECOL,1985,6,1,Editorial Board,,,,T. S. Hopkins,Brookhaven National Laboratory,Dept. of Energy and Environment,Upton,NY,USA
609,MARECOL,1985,6,1,Editorial Board,,,,R. Hessler,University of California San Diego,Scripps Institution of Oceanography,La Jolla,CA,USA
608,MARECOL,1985,6,1,Editorial Board,,,,Y. Halim,Alexandra University,Dept. of Oceanography,,Alexandria,Egypt
607,MARECOL,1985,6,1,Editorial Board,,,,R. W. Grigg,University of Hawaii at Manoa,Hawaii Institute of Marine Biology,,Hawaii,USA
606,MARECOL,1985,6,1,Editorial Board,,,,J. S. Gray,University of Oslo,"Dept. for Zoology and Marine Chemistry, Institute for Marine Biology",,Oslo,Norway
605,MARECOL,1985,6,1,Editorial Board,,,,T. Gamulin,Biological Institute,,,Dubrovnik,Yugoslavia
604,MARECOL,1985,6,1,Editorial Board,,,,H. Fricke,Haus Nr.9 ,,,,Germany
603,MARECOL,1985,6,1,Editorial Board,,,,T. Fenchel,University of Aarhus,Institute of Ecology and Genetics,,Aarhus,Denmark
602,MARECOL,1985,6,1,Editorial Board,,,,P. Colantoni,Laboratorio di Geologia Marina del C.N.R.,,,Bologna,Italy
601,MARECOL,1985,6,1,Editorial Board,,,,G. C. Carrada,Stazione Zoologica di Napoli Villa Comunale,,,Naples,Italy
