JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
NEWPHYT,1985,99,1,2760,Peter,,Ayers,Peter Ayers,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,636,David,,Briggs,David Briggs,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,1535,J,E,Dale,J E Dale,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,1549,Jeff,Green,Duckett,Jeff Green Duckett,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,762,D,H,Lewis,D H Lewis,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,3596,T,A,Mansfield,T A Mansfield,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,881,D,P,Stribley,D P Stribley,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,2932,P,J,Syrett,P J Syrett,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,3247,R,Green,West,R Green West,Editor,SE,,,,,UK,GBR
NEWPHYT,1985,99,1,2618,M,M,Yeoman,M M Yeoman,Editor,SE,,,,,UK,GBR
NEWPHYT,1986,102,1,2760,Peter,,Ayers,Peter Ayers,Editor,SE,,,,,UK,GBR
NEWPHYT,1986,102,1,636,David,,Briggs,David Briggs,Editor,SE,,,,,UK,GBR
NEWPHYT,1986,102,1,1535,J,E,Dale,J E Dale,Editor,SE,,,,,UK,GBR
NEWPHYT,1986,102,1,1549,Jeff,Green,Duckett,Jeff Green Duckett,Editor,SE,,,,,UK,GBR
NEWPHYT,1986,102,1,762,D,H,Lewis,D H Lewis,Editor,SE,,,,,UK,GBR
NEWPHYT,1986,102,1,3596,T,A,Mansfield,T A Mansfield,Editor,SE,,,,,UK,GBR
NEWPHYT,1986,102,1,881,D,P,Stribley,D P Stribley,Editor,SE,,,,,UK,GBR
