JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
OECOL,1985,65,2,1052,Fakhri,A,Bazzaz,Fakhri A Bazzaz,Editorial.Board,SE,University of Illinois ,,,,USA,USA
OECOL,1985,65,2,1062,F,Stuart,Chapin,F Stuart Chapin,Editorial.Board,SE,University of Alaska,,,,USA,USA
OECOL,1985,65,2,2793,Piet,J,denBoer,Piet J denBoer,Editorial.Board,SE,Biological Station Wijster,,,,Netherlands,NLD
OECOL,1985,65,2,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Board,SE,University of Utah,,,,USA,USA
OECOL,1985,65,2,2799,Paul,R,Ehrlich,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,,,USA,USA
OECOL,1985,65,2,2361,Michael,,Evenari,Michael Evenari,Editorial.Board,SE,,,,,Israel,ISR
OECOL,1985,65,2,1624,John,L,Harper,John L Harper,Editorial.Board,SE,Bangor University,,,,UK,GBR
OECOL,1985,65,2,3101,Raymond,B,Huey,Raymond B Huey,Editorial.Board,SE,University of Washington,,,,USA,USA
OECOL,1985,65,2,1320,Heinrich,,Kaiser,Heinrich Kaiser,Editorial.Board,SE,,,,,Germany,DEU
OECOL,1985,65,2,500,Charles,J,Krebs,Charles J Krebs,Editorial.Board,SE,University of British Columbia,,,,Canada,CAN
OECOL,1985,65,2,2725,Otto,L,Lange,Otto L Lange,Editorial.Board,SE,,,,,Germany,DEU
OECOL,1985,65,2,3761,Walter,,Larcher,Walter Larcher,Editorial.Board,SE,,,,,Austria,AUT
OECOL,1985,65,2,1779,Judith,H,Myers,Judith H Myers,Editorial.Board,SE,University of British Columbia,,,,Canada,CAN
OECOL,1985,65,2,799,Dietrich,,Neumann,Dietrich Neumann,Editorial.Board,SE,,,,,Germany,DEU
OECOL,1985,65,2,1811,John,,Phillipson,John Phillipson,Editorial.Board,SE,,,,,UK,GBR
OECOL,1985,65,2,1352,Hermann,,Remmert,Hermann Remmert,EIC,EIC,,,,,Germany,DEU
OECOL,1985,65,2,1128,Friedrich,,Schaller,Friedrich Schaller,Editorial.Board,SE,,,,,Austria,AUT
OECOL,1985,65,2,3635,Thomas,W,Schoener,Thomas W Schoener,Editorial.Board,SE,"University of California, Davis",,,,USA,USA
OECOL,1985,65,2,1024,Ernst-Detlef,,Schulze,Ernst-Detlef Schulze,EIC,EIC,,,,,Germany,DEU
OECOL,1985,65,2,225,Andrew,,Watkinson,Andrew Watkinson,Editorial.Board,SE,,,,,UK,GBR
OECOL,1985,65,2,3817,Wolfgang,W,Weisser,Wolfgang W Weisser,Editorial.Board,SE,,,,,Austria,AUT
