JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
AGRONOMY,1985,77,1,1387,I,C,Anderson,I C Anderson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2978,R,E,Barker,R E Barker,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,245,B,L,Blad,B L Blad,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1983,K,J,Boote,K J Boote,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1479,J,M,Bradford,J M Bradford,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,660,D,Green,Cummins,D Green Cummins,Technical.Editor,AE,,,,,USA,USA
AGRONOMY,1985,77,1,61,A,R,Eaglesham,A R Eaglesham,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,678,D,J,Eckert,D J Eckert,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,679,D,B,Egli,D B Egli,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2816,P,H,Graham,P H Graham,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1190,G,,Guinn,G Guinn,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,95,A,D,Halvorson,A D Halvorson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2167,L,A,Harper,L A Harper,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3085,R,H,Hart,R H Hart,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1627,J,L,Hatfield,J L Hatfield,Technical.Editor,AE,,,,,USA,USA
AGRONOMY,1985,77,1,1630,J,L,Heilman,J L Heilman,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1081,F,M,Hons,F M Hons,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2414,M,L,Hooker,M L Hooker,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3097,R,D,Horrocks,R D Horrocks,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3115,R,S,Kalmbacher,R S Kalmbacher,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,495,C,C,King,C C King,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3759,W,R,Kneebone,W R Kneebone,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,752,D,R,Krieg,D R Krieg,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2210,L,E,Moser,L E Moser,Technical.Editor,AE,,,,,USA,USA
AGRONOMY,1985,77,1,2214,L,R,Nelson,L R Nelson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2214,L,A,Nelson,L A Nelson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1788,J,M,Norman,J M Norman,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1242,G,M,Paulsen,G M Paulsen,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3620,T,R,Peck,T R Peck,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1245,G,A,Peterson,G A Peterson,Editor,EIC,,,,,USA,USA
AGRONOMY,1985,77,1,1816,J,F,Power,J F Power,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,837,D,C,Reicosky,D C Reicosky,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2544,M,P,Russelle,M P Russelle,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,192,A,A,Schneiter,A A Schneiter,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1363,H,D,Skipper,H D Skipper,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,201,A,E,Smith,A E Smith,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3224,R,E,Sojka,R E Sojka,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2920,P,N,Soltanpour,P N Soltanpour,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1893,J,F,Stone,J F Stone,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,1423,I,D,Teare,I D Teare,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,2947,P,LG,Vlek,P LG Vlek,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3704,V,V,Volk,V V Volk,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1985,77,1,3245,R,W,Weaver,R W Weaver,Technical.Editor,AE,,,,,USA,USA
AGRONOMY,1985,77,1,1143,F,D,Whisler,F D Whisler,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2122,L,H,Allen,L H Allen,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,240,B,E,Anderson,B E Anderson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2978,R,E,Barker,R E Barker,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,245,B,L,Blad,B L Blad,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,1983,K,J,Boote,K J Boote,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,1479,J,M,Bradford,J M Bradford,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2334,M,,Collins,M Collins,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,431,C,S,Daughtry,C S Daughtry,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,61,A,R,Eaglesham,A R Eaglesham,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,678,D,J,Eckert,D J Eckert,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2816,P,H,Graham,P H Graham,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,1190,G,,Guinn,G Guinn,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,95,A,D,Halvorson,A D Halvorson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2167,L,A,Harper,L A Harper,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,1627,J,L,Hatfield,J L Hatfield,Technical.Editor,AE,,,,,USA,USA
AGRONOMY,1986,78,1,1081,F,M,Hons,F M Hons,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2414,M,L,Hooker,M L Hooker,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,3097,R,D,Horrocks,R D Horrocks,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,737,D,L,Jeffers,D L Jeffers,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,3115,R,S,Kalmbacher,R S Kalmbacher,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,495,C,C,King,C C King,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2434,M,B,Kirkham,M B Kirkham,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,3759,W,R,Kneebone,W R Kneebone,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,751,D,R,Kreig,D R Kreig,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,756,D,A,Lauer,D A Lauer,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2210,L,E,Moser,L E Moser,Technical.Editor,AE,,,,,USA,USA
AGRONOMY,1986,78,1,2214,L,R,Nelson,L R Nelson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2214,L,A,Nelson,L A Nelson,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,1242,G,M,Paulsen,G M Paulsen,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,3620,T,R,Peck,T R Peck,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,2509,M,M,Peet,M M Peet,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,1245,G,A,Peterson,G A Peterson,Editor,EIC,,,,,USA,USA
AGRONOMY,1986,78,1,1816,J,F,Power,J F Power,Associate.Editor,SE,,,,,USA,USA
AGRONOMY,1986,78,1,837,D,C,Reicosky,D C Reicosky,Associate.Editor,SE,,,,,USA,USA
