JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
AJB,1985,72,1,1146,Gregory,,Anderson,Gregory Anderson,EC ,SE,U Connecticut,,,,USA,USA
AJB,1985,72,1,1454,Jerry,,Baskin,Jerry Baskin,EC,SE,U Kentucky,,,,USA,USA
AJB,1985,72,1,3535,Theodore,,Delevoryas,Theodore Delevoryas,EIC,EIC,,,,,USA,USA
AJB,1985,72,1,3052,Robert,,Essman,Robert Essman,EC,SE,Ohio State,,,,USA,USA
AJB,1985,72,1,2846,Peter,,Kaupman,Peter Kaupman,EC,SE,U Michigan,,,,USA,USA
AJB,1985,72,1,3123,Ross,,Koning,Ross Koning,EC,SE,Rutgers U,,,,USA,USA
AJB,1986,73,1,1146,Gregory,,Anderson,Gregory Anderson,EC,SE,U Connecticut,,,,USA,USA
AJB,1986,73,1,617,Dominick,,Basile,Dominick Basile,EC,SE,Lehman College,,,,USA,USA
AJB,1986,73,1,3535,Theodore,,Delevoryas,Theodore Delevoryas,EIC,EIC,U Texas,,,,USA,USA
AJB,1986,73,1,3052,Robert,,Essman,Robert Essman,EC,SE,Ohio State,,,,USA,USA
AJB,1986,73,1,3257,Robert,,Wyatt,Robert Wyatt,EC,SE,U Georgia,,,,USA,USA
AJB,1987,74,1,1146,Gregory,,Anderson,Gregory Anderson,EC,SE,U Connecticut,,,,USA,USA
AJB,1987,74,1,617,Dominick,,Basile,Dominick Basile,EC,SE,Lehman College,,,,USA,USA
AJB,1987,74,1,3535,Theodore,,Delevoryas,Theodore Delevoryas,EIC,EIC,U Texas,,,,USA,USA
AJB,1987,74,1,3052,Robert,,Essman,Robert Essman,EC,SE,Ohio State,,,,USA,USA
AJB,1987,74,1,3257,Robert,,Wyatt,Robert Wyatt,EC,SE,U Georgia,,,,USA,USA
AJB,1988,75,1,1146,Gregory,,Anderson,Gregory Anderson,EC,SE,U Connecticut,,,,USA,USA
AJB,1988,75,1,617,Dominick,,Basile,Dominick Basile,EC,SE,Lehman College,,,,USA,USA
AJB,1988,75,1,3535,Theodore,,Delevoryas,Theodore Delevoryas,EIC,EIC,U Texas,,,,USA,USA
AJB,1988,75,1,3052,Robert,,Essman,Robert Essman,EC,SE,Ohio State,,,,USA,USA
AJB,1988,75,1,3257,Robert,,Wyatt,Robert Wyatt,EC,SE,U Georgia,,,,USA,USA
AJB,1989,76,1,1146,Gregory,,Anderson,Gregory Anderson,EC,SE,U Connecticut,,,,USA,USA
AJB,1989,76,1,617,Dominick,,Basile,Dominick Basile,EC,SE,Lehman College,,,,USA,USA
AJB,1989,76,1,3535,Theodore,,Delevoryas,Theodore Delevoryas,EIC,EIC,U Texas,,,,USA,USA
AJB,1989,76,1,3052,Robert,,Essman,Robert Essman,EC,SE,Ohio State,,,,USA,USA
AJB,1989,76,1,3257,Robert,,Wyatt,Robert Wyatt,EC,SE,U Georgia,,,,USA,USA
AJB,1990,77,1,1146,Gregory,,Anderson,Gregory Anderson,Editorial Committee (EC),SE,U Connecticut,,,,USA,USA
AJB,1990,77,1,617,Dominick,,Basile,Dominick Basile,AE,SE,Lehman College-CUNY,,,,USA,USA
AJB,1990,77,1,3052,Robert,,Essman,Robert Essman,AE,SE,Ohio State,,,,USA,USA
AJB,1990,77,1,2660,Nels,R,Lersten,Nels R Lersten,EIC,EIC,Iowa State,,,,USA,USA
AJB,1990,77,1,3257,Robert,,Wyatt,Robert Wyatt,AE,SE,U Georgia,,,,USA,USA
AJB,1991,78,1,1146,Gregory,,Anderson,Gregory Anderson,AE,SE,U Connecticut,,,,USA,USA
AJB,1991,78,1,617,Dominick,,Basile,Dominick Basile,AE,SE,Lehman College-CUNY,,,,USA,USA
AJB,1991,78,1,3052,Robert,,Essman,Robert Essman,AE,SE,Ohio State,,,,USA,USA
AJB,1991,78,1,2660,Nels,R,Lersten,Nels R Lersten,EIC,EIC,Iowa State,,,,USA,USA
AJB,1991,78,1,3257,Robert,,Wyatt,Robert Wyatt,AE,SE,U Georgia,,,,USA,USA
AJB,1992,79,1,1146,Gregory,,Anderson,Gregory Anderson,AE,SE,U Connecticut,,,,USA,USA
AJB,1992,79,1,617,Dominick,,Basile,Dominick Basile,AE,SE,Lehman College-CUNY,,,,USA,USA
AJB,1992,79,1,3052,Robert,,Essman,Robert Essman,AE,SE,Ohio State,,,,USA,USA
AJB,1992,79,1,2660,Nels,R,Lersten,Nels R Lersten,EIC,EIC,Iowa State,,,,USA,USA
AJB,1992,79,1,3257,Robert,,Wyatt,Robert Wyatt,AE,SE,U Georgia,,,,USA,USA
AJB,1993,80,1,1146,Gregory,,Anderson,Gregory Anderson,AE,SE,U Connecticut,,,,USA,USA
AJB,1993,80,1,665,Darleen,,Demason,Darleen Demason,AE,SE,U California Riverside,,,,USA,USA
AJB,1993,80,1,3052,Robert,,Essman,Robert Essman,AE,SE,Ohio State,,,,USA,USA
AJB,1993,80,1,2660,Nels,R,Lersten,Nels R Lersten,EIC,EIC,Iowa State,,,,USA,USA
AJB,1993,80,1,3257,Robert,,Wyatt,Robert Wyatt,AE,SE,U Georgia,,,,USA,USA
