JOURNAL,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,YEAR,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,INST2
AMNAT,125,1,2799,Paul,R,Ehrlich,1985,Paul R Ehrlich,Editorial.Board,SE,Stanford University,,Stanford,California,USA,USA,
AMNAT,125,1,2363,Marcus,W,Feldman,1985,Marcus W Feldman,EIC,EIC,Stanford University,,Stanford,California,USA,USA,
AMNAT,125,1,1340,Harold,A,Mooney,1985,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA,
AMNAT,125,1,1847,Jonathan,,Roughgarden,1985,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA,
AMNAT,127,1,2799,Paul,R,Ehrlich,1986,Paul R Ehrlich,Editorial.Board,SE,,,,,USA,USA,
AMNAT,127,1,2363,Marcus,W,Feldman,1986,Marcus W Feldman,EIC,EIC,,,,,USA,USA,
AMNAT,127,1,1340,Harold,A,Mooney,1986,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA,
AMNAT,127,1,1847,Jonathan,,Roughgarden,1986,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA,
AMNAT,127,1,2946,Peter,M,Vitousek,1986,Peter M Vitousek,Editorial.Board,SE,Stanford University,,Stanford,California,USA,USA,
AMNAT,129,1,2799,Paul,R,Ehrlich,1987,Paul R Ehrlich,Editorial.Board,SE,,,,,USA,USA,
AMNAT,129,1,2363,Marcus,W,Feldman,1987,Marcus W Feldman,EIC,EIC,,,,,USA,USA,
AMNAT,129,1,1340,Harold,A,Mooney,1987,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA,
AMNAT,129,1,1847,Jonathan,,Roughgarden,1987,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA,
AMNAT,129,1,2946,Peter,M,Vitousek,1987,Peter M Vitousek,Editorial.Board,SE,,,,,USA,USA,
AMNAT,131,1,2799,Paul,R,Ehrlich,1988,Paul R Ehrlich,Editorial.Board,SE,,,,,USA,USA,
AMNAT,131,1,2363,Marcus,W,Feldman,1988,Marcus W Feldman,EIC,EIC,,,,,USA,USA,
AMNAT,131,1,1340,Harold,A,Mooney,1988,Harold A Mooney,Editorial.Board,SE,,,,,USA,USA,
AMNAT,131,1,1847,Jonathan,,Roughgarden,1988,Jonathan Roughgarden,Editorial.Board,SE,,,,,USA,USA,
AMNAT,131,1,2946,Peter,M,Vitousek,1988,Peter M Vitousek,Editorial.Board,SE,,,,,USA,USA,
AMNAT,133,1,2799,Paul,R,Ehrlich,1989,Paul R Ehrlich,Editorial.Board,SE,,,,,USA,USA,
AMNAT,133,1,2363,Marcus,W,Feldman,1989,Marcus W Feldman,EIC,EIC,,,,,USA,USA,
