JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,INSTITUTION,CATEGORY,GENDER
AMNAT,2006,,,Editor,Donald,L.,DeAngelis,,USA, US Geological Survey and University of Miami,AE,male
AMNAT,2006,,,Editor-in-Chief,Jonathan,B.,Losos,,USA, Washington University,EIC,male
AMNAT,2006,,,Editor,Michael,C.,Whitlock,,Canada, University of British Columbia,EIC,male
AMNAT,2006,,,Editorial Assistants,Rob,C.,Blixt,,NA,NA,NA,male
AMNAT,2006,,,Editorial Assistants,Alexa,,Bontrager,,NA,NA,NA,female
AMNAT,2006,,,Managing Editor,Patrica,L.,Morse,,NA,NA,NA,female
AMNAT,2006,,,Editorial Board,Elizabeth,,Adkins-Regan,,USA, Cornell University,SE,female
AMNAT,2006,,,Editorial Board,Bradley,R.,Anholt,,Canada, University of Victoria,SE,male
AMNAT,2006,,,Editorial Board,Tia-Lynn,,Ashman,,USA, University of Pittsburgh,SE,female
AMNAT,2006,,,Editorial Board,Mark,,Blows,,Australia, University of Queensland,SE,male
AMNAT,2006,,,Editorial Board,Benjamin,,Bolker,,USA, University of Florida,SE,male
AMNAT,2006,,,Editorial Board,Edmund,D.,Brodie,III,USA, Indiana University,SE,male
AMNAT,2006,,,Editorial Board,Judith,L.,Bronstein,,USA, University ofArizona,SE,female
AMNAT,2006,,,Editorial Board,Armando,,Caballero,,Spain, Universidad de Vigo,SE,male
AMNAT,2006,,,Editorial Board,Jonathan,M.,Chase,,USA, Washington University,SE,male
AMNAT,2006,,,Editorial Board,Steven,L.,Chown,,South Africa, University of Stellenbosch ,SE,male
AMNAT,2006,,,Editorial Board,Hans,,Cornelissen,,Netherlands, Vrije Universiteit Amsterdam,SE,male
AMNAT,2006,,,Editorial Board,Tim,,Coulson,,England, Imperial College,SE,male
AMNAT,2006,,,Editorial Board,Bernard,J.,Crespi,,Canada, Simon Fraser University,SE,male
AMNAT,2006,,,Editorial Board,Troy,,Day,,Canada, Queens University,SE,male
AMNAT,2006,,,Editorial Board,Sebastian,,Diehl,,Germany, Ludwig-Maximilians-Universitat Munchen,SE,male
AMNAT,2006,,,Editorial Board,Robert,,Dudley,,USA, University of California-Berkeley,SE,male
AMNAT,2006,,,Editorial Board,Elizabeth,,Elle,,Canada, Simon Fraser University,SE,female
AMNAT,2006,,,Editorial Board,Douglas,H.,Erwin,,USA, National Museum of Natural History,SE,male
AMNAT,2006,,,Editorial Board,William,F.,Fagan,,USA, University of Maryland,SE,male
AMNAT,2006,,,Editorial Board,James,D.,Fry,,USA, University of Rochester,SE,male
AMNAT,2006,,,Editorial Board,Sergey,,Gavrilets,,USA, University of Tennessee,SE,male
AMNAT,2006,,,Editorial Board,Greg,,Gibson,,USA, North Carolina State University,SE,male
AMNAT,2006,,,Editorial Board,George,W.,Gilchrist,,USA, College of William and Mary,SE,male
AMNAT,2006,,,Editorial Board,Luc-Alain,,Giraldeau,,Canada, Universite de Quebec a Montreal,SE,male
AMNAT,2006,,,Editorial Board,Richard,,Gomulkiewicz,,USA, Washington State University,SE,male
AMNAT,2006,,,Editorial Board,Volker,,Grimm,,Germany, UfZ Centre for Environmental Research Leipzig-Halle,SE,male
