JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
BIOCON,1985,31,1,1057,F,,BOURLIERE,F BOURLIERE,EB,SE,,,,,France,FRA
BIOCON,1985,31,1,1157,G,,BUDOWSKI,G BUDOWSKI,EB,SE,,,,,Costa Rica,CRI
BIOCON,1985,31,1,32,A,,CARR,A CARR,EB,SE,,,,,USA,USA
BIOCON,1985,31,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA
BIOCON,1985,31,1,2333,M,J,COE,M J COE,EB,SE,,,,,UK,GBR
BIOCON,1985,31,1,1525,JB,,CRAGG,JB CRAGG,EB,SE,,,,,Canada,CAN
BIOCON,1985,31,1,1294,H,,CRUSZ,H CRUSZ,EB,SE,,,,,Sri Lanka,LKA
BIOCON,1985,31,1,1540,JC,,DeM-Carvalho,JC DeM-Carvalho,EB,SE,,,,,Brazil,BRA
BIOCON,1985,31,1,2346,Manuel,G,DeViedma,Manuel G DeViedma,EB,SE,,,,,Spain,ESP
BIOCON,1985,31,1,56,A,,DeVos,A DeVos,EB,SE,,,,,New Zealand,NZL
BIOCON,1985,31,1,3734,WH,,DRURY,WH DRURY,EB,SE,,,,,USA,USA
BIOCON,1985,31,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR
BIOCON,1985,31,1,3738,W,,ERZ,W ERZ,EB,SE,,,,,Germany,DEU
BIOCON,1985,31,1,1595,JOHN,A,GIBB,JOHN A GIBB,EB,SE,,,,,New Zealand,NZL
BIOCON,1985,31,1,1071,F,B,Goldsmith,F B Goldsmith,EB,SE,,,,,UK,GBR
BIOCON,1985,31,1,2164,Lennart,,Hansson,Lennart Hansson,EB,SE,,,,,Sweden,SWE
BIOCON,1985,31,1,2173,L,,HOFFMANN,L HOFFMANN,EB,SE,,,,,France,FRA
BIOCON,1985,31,1,2722,OSAMU,,IKENOUYE,OSAMU IKENOUYE,EB,SE,,,,,Japan,JPN
BIOCON,1985,31,1,753,DJ,,KUENEN,DJ KUENEN,EB,SE,,,,,Netherlands,NLD
BIOCON,1985,31,1,2050,K,,MELLANBY,K MELLANBY,EB,SE,,,,,UK,GBR
BIOCON,1985,31,1,3607,TH,,MONOD,TH MONOD,EB,SE,,,,,France,FRA
BIOCON,1985,31,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE
BIOCON,1985,31,1,1796,JD,,OVINGTON,JD OVINGTON,EB,SE,,,,,Australia,AUS
BIOCON,1985,31,1,1810,JFV,,PHILLIPS,JFV PHILLIPS,EB,SE,,,,,South Africa,ZAF
BIOCON,1985,31,1,2914,Peter,,Scott,Peter Scott,EB,SE,,,,,UK,GBR
BIOCON,1985,31,1,2242,LK,,SHAPOSHNIKOV,LK SHAPOSHNIKOV,EB,SE,,,,,USSR,RUS
