JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,
BIOCON,1985,31,1,1057,F,,BOURLIERE,F BOURLIERE,EB,SE,NoInst,NoUnit,Paris,,France,FRA,
BIOCON,1985,31,1,1157,G,,BUDOWSKI,G BUDOWSKI,EB,SE,Tropical Research and Training Center,NoUnit,Turrialba,,Costa Rica,CRI,
BIOCON,1985,31,1,32,A,,CARR,A CARR,EB,SE,University of Florida,Zoology,Gainesville,Florida,USA,USA,
BIOCON,1985,31,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,WWF,Italian Appeal,Rome,,Italy,ITA,
BIOCON,1985,31,1,2333,M,J,COE,M J COE,EB,SE,University of Oxford,Zoology,Oxford ,,UK,GBR,
BIOCON,1985,31,1,1525,JB,,CRAGG,JB CRAGG,EB,SE,University of Calgary,Faculty of Environmental Design,Alberta,Ontario,Canada,CAN,
BIOCON,1985,31,1,1294,H,,CRUSZ,H CRUSZ,EB,SE,University of Peradeniya,NoUnit,Peradeniya,,Sri Lanka,LKA,
BIOCON,1985,31,1,1540,JC,,DeM-Carvalho,JC DeM-Carvalho,EB,SE,Museu Nacional,NoUnit,Rio de Janeiro,,Brazil,BRA,
BIOCON,1985,31,1,2346,Manuel,G,DeViedma,Manuel G DeViedma,EB,SE,Universidad Politecnica de Madrid,Entomology,Madrid,,Spain,ESP,
BIOCON,1985,31,1,56,A,,DeVos,A DeVos,EB,SE,NoInst,NoUnit,Auckland,,New Zealand,NZL,
BIOCON,1985,31,1,3734,WH,,DRURY,WH DRURY,EB,SE,College of the Atlantic,NoUnit,Bar Harbor,Maine,USA,USA,
BIOCON,1985,31,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,Monks Wood Experiment Station,NoUnit,Huntingdon,,UK,GBR,
BIOCON,1985,31,1,3738,W,,ERZ,W ERZ,EB,SE,Federal Research Center for Nature Conservation and Landscape Ecology,NoUnit,Bonn,,Germany,DEU,
