ID,JOURNAL,YEAR,V,i,Month,Title,Name,Institution,Country,Gender
1,BiolCons,2013,157,1,1,EIC,Richard B Primack,Boston University,USA,m
2,BiolCons,2013,157,1,1,AE,Mark A Burgman,University of Melbourne,Australia,m
3,BiolCons,2013,157,1,1,AE,Richard T Corlett,Chinese Academy of Sciences,China,m
4,BiolCons,2013,157,1,1,AE,Mark J Costello,University of Auckland,New Zealand,m
5,BiolCons,2013,157,1,1,AE,Mauro Galetti,UNESP Universidade Estadual Paulista,Brazil,m
6,BiolCons,2013,157,1,1,AE,Lian P Koh,ETH Zurich,Switzerland,m
7,BiolCons,2013,157,1,1,AE,Julie Lockwood,Rutgers University,USA,f
8,BiolCons,2013,157,1,1,AE,Daniel Oro,IMEDEA,Spain,m
9,BiolCons,2013,157,1,1,AE,Robin Pakeman,Macaulay Land Use Research Institute,UK,m
10,BiolCons,2013,157,1,1,AE,Andrew S Pullin,University of Wales,UK,m
11,BiolCons,2013,157,1,1,BRE,Dave Aplin,Botanical Values,UK,m
12,BiolCons,2013,157,1,1,SE,Barry W Brook,University of Adelaide,Australia,m
13,BiolCons,2013,157,1,1,SE,Tim Caro,University of California,USA,m
14,BiolCons,2013,157,1,1,SE,Regis Cereghino,University of Toulouse,France,m
15,BiolCons,2013,157,1,1,SE,John L Craig,University of Auckland,New Zealand,m
16,BiolCons,2013,157,1,1,SE,William Darwall,Freshwater Unit IUCN,UK,m
17,BiolCons,2013,157,1,1,SE,E Duffey,Chez Gouillard,France,na
18,BiolCons,2013,157,1,1,SE,Carlos Roberto Fonseca,UFRN Universidade Federal do Rio Grande do Norte,Brazil,m
19,BiolCons,2013,157,1,1,SE,Kevin J Gaston,University of Exeter Penryn,UK,m
20,BiolCons,2013,157,1,1,SE,Andrew B Gill,Cranfield University,UK,m
21,BiolCons,2013,157,1,1,SE,Lena Gustafsson,Swedish University of Agricultural Sciences,Sweden,f
22,BiolCons,2013,157,1,1,SE,Steve Hawkins,University of Southhampton,UK,m
23,BiolCons,2013,157,1,1,SE,Phil A R Hockey, Percy FitzPatrick Institute of African Ornithology,South Africa,m
24,BiolCons,2013,157,1,1,SE,Falk Huettmann,University of Alaska Fairbanks,USA,m
25,BiolCons,2013,157,1,1,SE,Jose M Iriondo,Universidade Rey Juan Carlos,Spain,m
26,BiolCons,2013,157,1,1,SE,Keith Kirby,English Nature,UK,m
27,BiolCons,2013,157,1,1,SE,William F Laurance,STRI,Panama,m
28,BiolCons,2013,157,1,1,SE,Jean-Dominique Lebreton,CNRS Montellier,France,m
29,BiolCons,2013,157,1,1,SE,David B Lindenmayer,Australian National University,Australia,m
30,BiolCons,2013,157,1,1,SE,Karen R Lips,Southern Illinois University,USA,f
31,BiolCons,2013,157,1,1,SE,Rafael D Loyola,Universidade Federal de Goias,Brazil,m
32,BiolCons,2013,157,1,1,SE,Rob Marrs,School of Biological Sciences,UK,m
33,BiolCons,2013,157,1,1,SE,Eve McDonald-Madden,University of Queensland,Australia,f
34,BiolCons,2013,157,1,1,SE,Jean Paul Metzger,University of Sao Paulo,Brazil,m
35,BiolCons,2013,157,1,1,SE,Atte Moilanen,University of Helsinki,Finland,m
36,BiolCons,2013,157,1,1,SE,Brian Moss,University of Liverpool,UK,m
37,BiolCons,2013,157,1,1,SE,Peter B Moyle,University of California Davis,USA,m
38,BiolCons,2013,157,1,1,SE,Tim R New,La Trobe University,Australia,m
39,BiolCons,2013,157,1,1,SE,Jacob Pollock,University of California at Santa Cruz,USA,m
40,BiolCons,2013,157,1,1,SE,Peter Poschlod,University of Regensburg,Germany,m
41,BiolCons,2013,157,1,1,SE,Fred Rumsey,The Natural History Museum London,UK,m
42,BiolCons,2013,157,1,1,SE,Denis A Saunders,CSIRO Sustainable Ecosystems,Australia,m
43,BiolCons,2013,157,1,1,SE,Mark W Schwartz,University of California,USA,m
44,BiolCons,2013,157,1,1,SE,Cagan Sekercioglu,University of Utah,USA,m
45,BiolCons,2013,157,1,1,SE,Bo Soderstrom,Swedish University of Agricutural Sciences,Sweden,m
46,BiolCons,2013,157,1,1,SE,Tim Sparks,Centre for Ecology and Hydrology,UK,m
47,BiolCons,2013,157,1,1,SE,Andrea Taylor,Monash University,Australia,f
48,BiolCons,2013,157,1,1,SE,Stephen Waldren,Trinity College Botanic Garden,Ireland,m
49,BiolCons,2013,157,1,1,SE,Phill Watts,University of Liverpool,UK,m
50,BiolCons,2013,157,1,1,SE,Jeffrey Wielgus,World Resources Institute Washington,USA,m
51,BiolCons,2013,157,1,1,SE,Michael R Willig, University of Connecticut,USA,m
52,BiolCons,2013,157,1,1,SE,Andrew Young,CSIRO Division of Plant Industry,Australia,m
53,BiolCons,2012,145,1,1,EIC,Richard B Primack,Boston University,USA,m
54,BiolCons,2012,145,1,1,AE,Mark A Burgman,University of Melbourne,Australia,m
55,BiolCons,2012,145,1,1,AE,Richard T Corlett,Chinese Academy of Sciences,China,m
56,BiolCons,2012,145,1,1,AE,Mark J Costello,University of Auckland,New Zealand,m
57,BiolCons,2012,145,1,1,AE,Mauro Galetti,UNESP Universidade Estadual Paulista,Brazil,m
58,BiolCons,2012,145,1,1,AE,Lian P Koh,ETH Zurich,Switzerland,m
59,BiolCons,2012,145,1,1,AE,Julie Lockwood,Rutgers University,USA,f
60,BiolCons,2012,145,1,1,AE,Daniel Oro,IMEDEA,Spain,m
61,BiolCons,2012,145,1,1,AE,Robin Pakeman,Macaulay Land Use Research Institute,UK,m
62,BiolCons,2012,145,1,1,AE,Andrew S Pullin,University of Wales,UK,m
63,BiolCons,2012,145,1,1,BRE,Dave Aplin,Botanical Values,UK,m
