JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
CONBIO,1987,1,1,1976,Kamaijit,S,Bawa,Kamaijit S Bawa,AE,AE,,,,,USA,USA
CONBIO,1987,1,1,424,Colin,,Clark,Colin Clark,SE,SE,,,,,Canada,CAN
CONBIO,1987,1,1,3034,Raymon,,Dasmann,Raymon Dasmann,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,1545,Jared,,Diamond,Jared Diamond,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,680,David,,Ehrenfeld,David Ehrenfeld,EIC,EIC,,,,,USA,USA
CONBIO,1987,1,1,2380,Madhav,,Gadgil,Madhav Gadgil,SE,SE,,,,,India,IND
CONBIO,1987,1,1,87,Arturo,,Gomez-Pompa,Arturo Gomez-Pompa,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,972,Eville,,Gorham,Eville Gorham,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,1188,Gordon,,Grigg,Gordon Grigg,SE,SE,,,,,Australia,AUS
CONBIO,1987,1,1,734,David,,Jablonski,David Jablonski,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,3109,Robert,,Jenkins,Robert Jenkins,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,748,Devra,G,Kleiman,Devra G Kleiman,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,1218,Grenville,,Lucas,Grenville Lucas,SE,SE,,,,,UK,GBR
CONBIO,1987,1,1,1224,Guillermo,W,Mann,Guillermo W Mann,AE,AE,,,,,USA,USA
CONBIO,1987,1,1,3147,Robert,,May,Robert May,SE,SE,,,,,UK,GBR
CONBIO,1987,1,1,335,Bryan,,Norton,Bryan Norton,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,2886,Paul,,Opler,Paul Opler,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,1250,G,Carlton,Ray,G Carlton Ray,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,3942,Stephen,,Schneider,Stephen Schneider,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,1361,Herman,H,Shugart,Herman H Shugart,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,867,Daniel,,Simberloff,Daniel Simberloff,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,1426,Itaru,,Uchida,Itaru Uchida,SE,SE,,,,,Japan,JPN
CONBIO,1987,1,1,3241,Robert,,Vrijenhoek,Robert Vrijenhoek,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,912,David,,Western,David Western,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,227,Arthur,,Westing,Arthur Westing,SE,SE,,,,,USA,USA
CONBIO,1987,1,1,375,Bruce,,Wilcox,Bruce Wilcox,AE,AE,,,,,USA,USA
CONBIO,1988,2,1,1976,Kamaijit,S,Bawa,Kamaijit S Bawa,AE,AE,,,,,USA,USA
CONBIO,1988,2,1,935,Eric,,Bolen,Eric Bolen,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,424,Colin,,Clark,Colin Clark,SE,SE,,,,,Canada,CAN
CONBIO,1988,2,1,3034,Raymon,,Dasmann,Raymon Dasmann,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,1545,Jared,,Diamond,Jared Diamond,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,680,David,,Ehrenfeld,David Ehrenfeld,EIC,EIC,,,,,USA,USA
CONBIO,1988,2,1,2380,Madhav,,Gadgil,Madhav Gadgil,SE,SE,,,,,India,IND
CONBIO,1988,2,1,87,Arturo,,Gomez-Pompa,Arturo Gomez-Pompa,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,972,Eville,,Gorham,Eville Gorham,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,1188,Gordon,,Grigg,Gordon Grigg,SE,SE,,,,,Australia,AUS
CONBIO,1988,2,1,2175,Laura,,Huenneke,Laura Huenneke,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,734,David,,Jablonski,David Jablonski,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,3109,Robert,,Jenkins,Robert Jenkins,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,748,Devra,G,Kleiman,Devra G Kleiman,SE,SE,,,,,USA,USA
CONBIO,1988,2,1,1218,Grenville,,Lucas,Grenville Lucas,SE,SE,,,,,UK,GBR
CONBIO,1988,2,1,1224,Guillermo,W,Mann,Guillermo W Mann,AE,AE,,,,,USA,USA
