JOURNAL,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,YEAR,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,INST2
CONBIO,1,1,1976,Kamaijit,S,Bawa,1987,Kamaijit S Bawa,AE,AE,"University of Massachusetts, Boston",,Boston,Massachusetts,USA,USA,
CONBIO,1,1,424,Colin,,Clark,1987,Colin Clark,SE,SE,University of British Columbia,,Vancouver,British Columbia,Canada,CAN,
CONBIO,1,1,3034,Raymon,,Dasmann,1987,Raymon Dasmann,SE,SE,NoInst,,Santa Cruz,California,USA,USA,
CONBIO,1,1,1545,Jared,,Diamond,1987,Jared Diamond,SE,SE,"University of California, Los Angeles",,Los Angeles,California,USA,USA,
CONBIO,1,1,680,David,,Ehrenfeld,1987,David Ehrenfeld,EIC,EIC,Rutgers University,,New Brunswick,New Jersey,USA,USA,
CONBIO,1,1,2380,Madhav,,Gadgil,1987,Madhav Gadgil,SE,SE,Indian Institue of Science,,Bangalore,Karnataka,India,IND,
CONBIO,1,1,87,Arturo,,Gomez-Pompa,1987,Arturo Gomez-Pompa,SE,SE,"University of California, Riverside",,Riverside,California,USA,USA,
CONBIO,1,1,972,Eville,,Gorham,1987,Eville Gorham,SE,SE,Unversity of Minnestoa,,Minneapolis-St. Paul,Minnesota,USA,USA,
CONBIO,1,1,1188,Gordon,,Grigg,1987,Gordon Grigg,SE,SE,University of Sydney,,Sydney,New South Wales,Australia,AUS,
CONBIO,1,1,734,David,,Jablonski,1987,David Jablonski,SE,SE,University of Chicago,,Chicago,Illinois,USA,USA,
CONBIO,1,1,3109,Robert,,Jenkins,1987,Robert Jenkins,SE,SE,The Nature Conservancy,,Arlington,Virginia,USA,USA,
CONBIO,1,1,748,Devra,G,Kleiman,1987,Devra G Kleiman,SE,SE,Smithosonian Institution,,Washington,District of Columbia,USA,USA,
CONBIO,1,1,1218,Grenville,,Lucas,1987,Grenville Lucas,SE,SE,Royal Botanic Gardens,,,,UK,GBR,
CONBIO,1,1,1224,Guillermo,W,Mann,1987,Guillermo W Mann,AE,AE,Conservation International,,Washington,District of Columbia,USA,USA,
CONBIO,1,1,3147,Robert,,May,1987,Robert May,SE,SE,Princeton University,,Princeton,New Jersey,USA,USA,
CONBIO,1,1,335,Bryan,,Norton,1987,Bryan Norton,SE,SE,University of Southern Florida,,Tampa,Florida,USA,USA,
CONBIO,1,1,2886,Paul,,Opler,1987,Paul Opler,SE,SE,US Fish and Wildlife Service,,,Colorado,USA,USA,
CONBIO,1,1,1250,G,Carlton,Ray,1987,G Carlton Ray,SE,SE,University of Virginia,,Charlottesville,Virginia,USA,USA,
CONBIO,1,1,3942,Stephen,,Schneider,1987,Stephen Schneider,SE,SE,National Center for Atmospheric Research,,Santa Barbara,California,USA,USA,
CONBIO,1,1,1361,Herman,H,Shugart,1987,Herman H Shugart,SE,SE,University of Virginia,,Charlottesville,Virginia,USA,USA,
CONBIO,1,1,867,Daniel,,Simberloff,1987,Daniel Simberloff,SE,SE,Florida State University,,Tallahassee,Florida,USA,USA,
CONBIO,1,1,1426,Itaru,,Uchida,1987,Itaru Uchida,SE,SE,Himeji City Aquarium,,Himeji,Kansai,Japan,JPN,
CONBIO,1,1,3241,Robert,,Vrijenhoek,1987,Robert Vrijenhoek,SE,SE,Rutgers University,,New Brunswick,New Jersey,USA,USA,
CONBIO,1,1,912,David,,Western,1987,David Western,SE,SE,New York Zoological Society,,Bronx,New York,USA,USA,
CONBIO,1,1,227,Arthur,,Westing,1987,Arthur Westing,SE,SE,Stockholm International Peace Research Institute,,Stockholm,Uppland,USA,USA,
CONBIO,1,1,375,Bruce,,Wilcox,1987,Bruce Wilcox,AE,AE,Stanford University,,Stanford,California,USA,USA,
CONBIO,2,1,1976,Kamaijit,S,Bawa,1988,Kamaijit S Bawa,AE,AE,,,,,USA,USA,
CONBIO,2,1,935,Eric,,Bolen,1988,Eric Bolen,SE,SE,Texas Tech University,,Lubbock ,Texas,USA,USA,
CONBIO,2,1,424,Colin,,Clark,1988,Colin Clark,SE,SE,,,,,Canada,CAN,
CONBIO,2,1,3034,Raymon,,Dasmann,1988,Raymon Dasmann,SE,SE,,,,,USA,USA,
CONBIO,2,1,1545,Jared,,Diamond,1988,Jared Diamond,SE,SE,,,,,USA,USA,
CONBIO,2,1,680,David,,Ehrenfeld,1988,David Ehrenfeld,EIC,EIC,,,,,USA,USA,
CONBIO,2,1,2380,Madhav,,Gadgil,1988,Madhav Gadgil,SE,SE,,,,,India,IND,
CONBIO,2,1,87,Arturo,,Gomez-Pompa,1988,Arturo Gomez-Pompa,SE,SE,,,,,USA,USA,
CONBIO,2,1,972,Eville,,Gorham,1988,Eville Gorham,SE,SE,,,,,USA,USA,
CONBIO,2,1,1188,Gordon,,Grigg,1988,Gordon Grigg,SE,SE,,,,,Australia,AUS,
CONBIO,2,1,2175,Laura,,Huenneke,1988,Laura Huenneke,SE,SE,New Mexico State University,,Las Cruces,New Mexico,USA,USA,
CONBIO,2,1,734,David,,Jablonski,1988,David Jablonski,SE,SE,,,,,USA,USA,
CONBIO,2,1,3109,Robert,,Jenkins,1988,Robert Jenkins,SE,SE,,,,,USA,USA,
CONBIO,2,1,748,Devra,G,Kleiman,1988,Devra G Kleiman,SE,SE,,,,,USA,USA,
CONBIO,2,1,1218,Grenville,,Lucas,1988,Grenville Lucas,SE,SE,,,,,UK,GBR,
CONBIO,2,1,1224,Guillermo,W,Mann,1988,Guillermo W Mann,AE,AE,,,,,USA,USA,
CONBIO,2,1,3147,Robert,,May,1988,Robert May,SE,SE,,,,,USA,USA,
