JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
ECOGRAPHY,1985,8,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1985,8,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,,,,,Norway,NOR
ECOGRAPHY,1985,8,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1985,8,1,2930,Per,,Sunding,Per Sunding,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1985,8,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,,,,,Norway,NOR
ECOGRAPHY,1986,9,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1986,9,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,,,,,Norway,NOR
ECOGRAPHY,1986,9,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1986,9,1,2930,Per,,Sunding,Per Sunding,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1986,9,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,,,,,Norway,NOR
ECOGRAPHY,1987,10,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1987,10,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,,,,,Norway,NOR
ECOGRAPHY,1987,10,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1987,10,1,2930,Per,,Sunding,Per Sunding,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1987,10,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,,,,,Norway,NOR
ECOGRAPHY,1988,11,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1988,11,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,,,,,Norway,NOR
ECOGRAPHY,1988,11,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1988,11,1,2930,Per,,Sunding,Per Sunding,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1988,11,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,,,,,Norway,NOR
ECOGRAPHY,1989,12,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1989,12,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,,,,,Norway,NOR
ECOGRAPHY,1989,12,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1989,12,1,2930,Per,,Sunding,Per Sunding,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1989,12,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,,,,,Norway,NOR
ECOGRAPHY,1990,13,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1990,13,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,,,,,Norway,NOR
ECOGRAPHY,1990,13,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1990,13,1,2930,Per,,Sunding,Per Sunding,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1990,13,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,,,,,Norway,NOR
ECOGRAPHY,1991,14,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1991,14,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,,,,,Norway,NOR
ECOGRAPHY,1991,14,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1991,14,1,2930,Per,,Sunding,Per Sunding,AE,AE,,,,,Norway,NOR
ECOGRAPHY,1991,14,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,,,,,Norway,NOR
ECOGRAPHY,1992,15,1,2664,Nils,,Malmer,Nils Malmer,AEIC,EIC,,,,,Sweden,SWE
ECOGRAPHY,1993,16,1,3371,Sven,,Jonasson,Sven Jonasson,EIC,EIC,,,,,Denmark,DNK
ECOGRAPHY,1994,17,1,3371,Sven,,Jonasson,Sven Jonasson,EIC,EIC,,,,,Denmark,DNK
ECOGRAPHY,1995,18,1,3371,Sven,,Jonasson,Sven Jonasson,EIC,EIC,,,,,Denmark,DNK
ECOGRAPHY,1996,19,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,,,,,Finland,FIN
ECOGRAPHY,1996,19,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,,,,,Finland,FIN
ECOGRAPHY,1996,19,1,1787,Jari,,Niemela,Jari Niemela,E,AE,,,,,Finland,FIN
ECOGRAPHY,1996,19,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,,,,,Finland,FIN
ECOGRAPHY,1997,20,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,,,,,Finland,FIN
ECOGRAPHY,1997,20,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,,,,,Finland,FIN
ECOGRAPHY,1997,20,1,1787,Jari,,Niemela,Jari Niemela,E,AE,,,,,Finland,FIN
ECOGRAPHY,1997,20,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,,,,,Finland,FIN
ECOGRAPHY,1998,21,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,,,,,Finland,FIN
ECOGRAPHY,1998,21,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,,,,,Finland,FIN
ECOGRAPHY,1998,21,1,1787,Jari,,Niemela,Jari Niemela,E,AE,,,,,Finland,FIN
ECOGRAPHY,1998,21,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,,,,,Finland,FIN
ECOGRAPHY,1999,22,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,,,,,Finland,FIN
ECOGRAPHY,1999,22,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,,,,,Finland,FIN
ECOGRAPHY,1999,22,1,1787,Jari,,Niemela,Jari Niemela,E,AE,,,,,Finland,FIN
ECOGRAPHY,1999,22,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,,,,,Finland,FIN
ECOGRAPHY,2000,23,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,,,,,Finland,FIN
ECOGRAPHY,2000,23,1,2622,Martin,,Zobel,Martin Zobel,DEIC,AE,,,,,Estonia,EST
ECOGRAPHY,2001,24,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,,,,,Finland,FIN
ECOGRAPHY,2001,24,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,,,,,Estonia,EST
ECOGRAPHY,2002,25,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,,,,,Finland,FIN
ECOGRAPHY,2002,25,1,1880,John,R,Spence,John R Spence,DEIC,AE,,,,,Canada,CAN
ECOGRAPHY,2002,25,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,,,,,Estonia,EST
ECOGRAPHY,2003,26,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,,,,,Finland,FIN
ECOGRAPHY,2003,26,1,1880,John,R,Spence,John R Spence,DEIC,AE,,,,,Canada,CAN
ECOGRAPHY,2003,26,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,,,,,Estonia,EST
ECOGRAPHY,2004,27,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,,,,,Finland,FIN
ECOGRAPHY,2004,27,1,1880,John,R,Spence,John R Spence,DEIC,AE,,,,,Canada,CAN
ECOGRAPHY,2004,27,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,,,,,Estonia,EST
ECOGRAPHY,2005,28,1,1311,Helmut,,Hillebrand,Helmut Hillebrand,SE,SE,,,,,Germany,DEU
ECOGRAPHY,2005,28,1,746,Douglas,,Kelt,Douglas Kelt,SE,SE,,,,,United States,USA
ECOGRAPHY,2005,28,1,124,Anders,,Klemetsen,Anders Klemetsen,SE,SE,,,,,Norway,NOR
ECOGRAPHY,2005,28,1,135,Andrew,,Liebhold,Andrew Liebhold,SE,SE,,,,,United States,USA
ECOGRAPHY,2005,28,1,1119,Francisco,,Pugnaire,Francisco Pugnaire,SE,SE,,,,,Spain,ESP
ECOGRAPHY,2005,28,1,559,Carsten,,Rahbek,Carsten Rahbek,EIC,EIC,,,,,Denmark,DNK
ECOGRAPHY,2005,28,1,1880,John,R,Spence,John R Spence,SE,SE,,,,,Canada,CAN
ECOGRAPHY,2006,29,1,2275,Miguel,B,Araujo,Miguel B Araujo,SE,SE,,,,,United Kingdom,GBR
ECOGRAPHY,2006,29,1,3022,Robert,K,Colwell,Robert K Colwell,SE,SE,,,,,United Kingdom,GBR
ECOGRAPHY,2006,29,1,1311,Helmut,,Hillebrand,Helmut Hillebrand,SE,SE,,,,,Germany,DEU
ECOGRAPHY,2006,29,1,746,Douglas,,Kelt,Douglas Kelt,SE,SE,,,,,United States,USA
ECOGRAPHY,2006,29,1,124,Anders,,Klemetsen,Anders Klemetsen,SE,SE,,,,,Norway,NOR
ECOGRAPHY,2006,29,1,135,Andrew,,Liebhold,Andrew Liebhold,SE,SE,,,,,United States,USA
ECOGRAPHY,2006,29,1,1119,Francisco,,Pugnaire,Francisco Pugnaire,SE,SE,,,,,Spain,ESP
ECOGRAPHY,2006,29,1,559,Carsten,,Rahbek,Carsten Rahbek,EIC,EIC,,,,,Denmark,DNK
