JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,
ECOGRAPHY,1984,7,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,Zoological Museum,,Oslo,,Norway,NOR,
ECOGRAPHY,1984,7,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,Institute of Geology and Biology,,Oslo,,Norway,NOR,
ECOGRAPHY,1984,7,1,,John,E.,Brittain,John E Brittain,AE,AE,Zoological Museum,,Oslo,,Norway,NOR,
ECOGRAPHY,1984,7,1,,Albert,,Lillehammer,Albert Lillehammer,AE,AE,Zoological Museum,Freshwater Ecology,Oslo,,Norway,NOR,
ECOGRAPHY,1984,7,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,University of Oslo,Division of Zoology,Oslo,,Norway,NOR,
ECOGRAPHY,1984,7,1,2930,Per,,Sunding,Per Sunding,AE,AE,Botanical Museum,Plant Ecology,Oslo,,Norway,NOR,
ECOGRAPHY,1985,8,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,Institute of Nature Conservation,Freshwater Ecology,As-NLH,,Norway,NOR,
ECOGRAPHY,1985,8,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,Institute of Geology and Biology,,Oslo,,Norway,NOR,
ECOGRAPHY,1985,8,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,University of Oslo,Division of Zoology,Oslo,,Norway,NOR,
ECOGRAPHY,1985,8,1,2930,Per,,Sunding,Per Sunding,AE,AE,Botanical Museum,Plant Ecology,Oslo,,Norway,NOR,
ECOGRAPHY,1985,8,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,Zoological Museum,,Oslo,,Norway,NOR,
ECOGRAPHY,1986,9,1,2992,Reidar,,Borgstrom,Reidar Borgstrom,AE,AE,Institute of Nature Conservation,Freshwater Ecology,As-NLH,,Norway,NOR,
ECOGRAPHY,1986,9,1,2719,Odd,,Halvorsen,Odd Halvorsen,DEIC,AE,Institute of Geology and Biology,,Oslo,,Norway,NOR,
ECOGRAPHY,1986,9,1,2695,Nils,Christian,Stenseth,Nils Christian Stenseth,AE,AE,University of Oslo,Division of Zoology,Oslo,,Norway,NOR,
ECOGRAPHY,1986,9,1,2930,Per,,Sunding,Per Sunding,AE,AE,Botanical Museum,Plant Ecology,Oslo,,Norway,NOR,
