JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
ECOGRAPHY,2013,36,1,SE,Marti,Jane,Anderson,,New Zealand,,SE,,
ECOGRAPHY,2014,37,1,SE,Marti,Jane,Anderson,,New Zealand,,SE,,
ECOGRAPHY,2013,36,1,DEIC,Miguel,B,Araujo,,Spain,,AE,,
ECOGRAPHY,2014,37,1,DEIC,Miguel,B,Araujo,,Spain,,AE,,
ECOGRAPHY,2013,36,1,SE,Michel,,Baguette,,France,,SE,,
ECOGRAPHY,2014,37,1,SE,Michel,,Baguette,,France,,SE,,
ECOGRAPHY,2013,36,1,SE,Robert,K,Colwell,,United States,,SE,,
ECOGRAPHY,2014,37,1,SE,Robert,K,Colwell,,United States,,SE,,
ECOGRAPHY,2013,36,1,SE,Alexandre,,Diniz-Filho,,Brazil,,SE,,
ECOGRAPHY,2014,37,1,SE,Alexandre,,Diniz-Filho,,Brazil,,SE,,
ECOGRAPHY,2014,37,1,SE,Carsten,,Dormann,,Germany,,SE,,
ECOGRAPHY,2013,36,1,SE,Rob,,Dunn,,United States,,SE,,
ECOGRAPHY,2014,37,1,SE,Rob,,Dunn,,United States,,SE,,
ECOGRAPHY,2013,36,1,SE,Johan,,Ehrlen,,Sweden,,SE,,
ECOGRAPHY,2014,37,1,SE,Johan,,Ehrlen,,Sweden,,SE,,
ECOGRAPHY,2013,36,1,SE,Erica,,Fleishman,,United States,,SE,,
ECOGRAPHY,2014,37,1,SE,Erica,,Fleishman,,United States,,SE,,
ECOGRAPHY,2013,36,1,SE,Janet,,Franklin,,United States,,SE,,
ECOGRAPHY,2014,37,1,SE,Janet,,Franklin,,United States,,SE,,
ECOGRAPHY,2013,36,1,SE,Jean-Michel,,Gaillard,,France,,SE,,
ECOGRAPHY,2014,37,1,SE,Jean-Michel,,Gaillard,,France,,SE,,
ECOGRAPHY,2013,36,1,SE,Catherine,H,Graham,,United States,F,SE,,
ECOGRAPHY,2014,37,1,SE,Catherine,H,Graham,,United States,F,SE,,
ECOGRAPHY,2013,36,1,SE,Russell,,Greenberg,,United States,M,SE,,
ECOGRAPHY,2014,37,1,SE,Russell,,Greenberg,,United States,M,SE,,
ECOGRAPHY,2013,36,1,SE,Joaquin,,Hortal,,United Kingdom,M,SE,,
ECOGRAPHY,2014,37,1,SE,Joaquin,,Hortal,,United Kingdom,M,SE,,
ECOGRAPHY,2013,36,1,SE,Douglas,,Kelt,,United States,M,SE,,
ECOGRAPHY,2014,37,1,SE,Douglas,,Kelt,,United States,M,SE,,
ECOGRAPHY,2013,36,1,SE,Jeremy,,Kerr,,Canada,M,SE,,
ECOGRAPHY,2014,37,1,SE,Jeremy,,Kerr,,Canada,M,SE,,
ECOGRAPHY,2013,36,1,SE,Kenneth,H,Kozak,,United States,M,SE,,
ECOGRAPHY,2014,37,1,SE,Kenneth,H,Kozak,,United States,M,SE,,
ECOGRAPHY,2013,36,1,SE,Jill,,Lancaster,,Australia,F,SE,,
ECOGRAPHY,2014,37,1,SE,Jill,,Lancaster,,Australia,F,SE,,
ECOGRAPHY,2013,36,1,SE,Erik,,Matthysen,,Belgium,M,SE,,
ECOGRAPHY,2014,37,1,SE,Erik,,Matthysen,,Belgium,M,SE,,
ECOGRAPHY,2013,36,1,SE,David,,Nogues,,Denmark,M,SE,,
ECOGRAPHY,2014,37,1,SE,David,,Nogues,,Denmark,M,SE,,
ECOGRAPHY,2013,36,1,SE,Kai,,Norrdahl,,Finland,M,SE,,
ECOGRAPHY,2014,37,1,SE,Kai,,Norrdahl,,Finland,M,SE,,
ECOGRAPHY,2013,36,1,SE,Thierry,,Oberdorff,,France,M,SE,,
ECOGRAPHY,2014,37,1,SE,Thierry,,Oberdorff,,France,M,SE,,
ECOGRAPHY,2013,36,1,SE,Pedro,,Peres-Neto,,Canada,M,SE,,
ECOGRAPHY,2014,37,1,SE,Pedro,,Peres-Neto,,Canada,M,SE,,
ECOGRAPHY,2013,36,1,SE,Eric,,Post,,United States,M,SE,,
ECOGRAPHY,2014,37,1,SE,Eric,,Post,,United States,M,SE,,
ECOGRAPHY,2013,36,1,SE,Francisco,,Pugnaire,,Spain,M,SE,,
ECOGRAPHY,2014,37,1,SE,Francisco,,Pugnaire,,Spain,M,SE,,
ECOGRAPHY,2013,36,1,EIC,Carsten,,Rahbek,,Denmark,,EIC,,
ECOGRAPHY,2014,37,1,EIC,Carsten,,Rahbek,,Denmark,,EIC,,
ECOGRAPHY,2013,35,1,SE,Thiago,,Rangel,,United States,M,SE,,
ECOGRAPHY,2014,36,1,SE,Thiago,,Rangel,,United States,M,SE,,
ECOGRAPHY,2013,36,1,SE,Jacques,,Regniere,,Canada,M,SE,,
ECOGRAPHY,2013,36,1,DEIC,Nathan,,Sanders,,United States,,AE,,
ECOGRAPHY,2014,37,1,DEIC,Nathan,,Sanders,,United States,,AE,,
ECOGRAPHY,2013,36,1,SE,John,R,Spence,,Canada,M,SE,,
ECOGRAPHY,2014,37,1,SE,John,R,Spence,,Canada,M,SE,,
ECOGRAPHY,2013,36,1,DEIC,Jens-Christian,,Svenning,,Denmark,,AE,,
ECOGRAPHY,2014,37,1,DEIC,Jens-Christian,,Svenning,,Denmark,,AE,,
ECOGRAPHY,2013,36,1,SE,Hanna,,Tuomisto,,Finland,F,SE,,
ECOGRAPHY,2014,37,1,SE,Hanna,,Tuomisto,,Finland,F,SE,,
ECOGRAPHY,2013,36,1,SE,Thorsten,,Wiegand,,Germany,M,SE,,
ECOGRAPHY,2014,37,1,SE,Thorsten,,Wiegand,,Germany,M,SE,,
ECOGRAPHY,2013,36,1,SE,John,J,Wiens,,United States,M,SE,,
ECOGRAPHY,2014,37,1,SE,John,J,Wiens,,United States,M,SE,,
ECOGRAPHY,2013,36,1,SE,Niklaus,E,Zimmermann,,Switzerland,M,SE,,
ECOGRAPHY,2014,37,1,SE,Niklaus,E,Zimmermann,,Switzerland,M,SE,,
