JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
EVOL,1985,39,NA,3709,William,R,Atchley,William R Atchley,Special.Editor,SPECIAL, University of Wisconsin,,Madison,WI,USA,USA
EVOL,1985,39,NA,3721,Wesley,M,Brown,Wesley M Brown,AE,SE,University of Michigan,,Ann Arbor,MI,USA,USA
EVOL,1985,39,NA,31,Allan,M,Campbell,Allan M Campbell,Special.Editor,SPECIAL, Stanford University,,Stanford,CA,USA,USA
EVOL,1985,39,NA,3521,Ted,J,Case,Ted J Case,AE,SE, University of California- San Diego,,La Jolla,CA,USA,USA
EVOL,1985,39,NA,3027,Rossiter,H,Crozier,Rossiter H Crozier,AE,SE, University of New South Wales,,Sydney,NSW,Australia,AUS
EVOL,1985,39,NA,59,Arthur,E,Dunham,Arthur E Dunham,AE,SE,Univeristy of Pennsylvania,,Philadelphia,PA,USA,USA
EVOL,1985,39,NA,1561,John,A,Endler,John A Endler,AE,SE, University of Utah,,Salt Lake City,UT,USA,USA
EVOL,1985,39,NA,3737,William,R,Engels,William R Engels,AE,SE, University of Wisconsin,,Madison,WI,USA,USA
EVOL,1985,39,NA,3867,Daniel,,Fisher,Daniel Fisher,AE,SE,University of Michigan,,Ann Arbor,MI,USA,USA
EVOL,1985,39,NA,1579,Joseph,,Frankel,Joseph Frankel,Special.Editor,SPECIAL,University of Iowa,,Iowa City,IA,USA,USA
EVOL,1985,39,NA,2823,Paul,H,Harvey,Paul H Harvey,AE,SE,Princeton University,,Princeton,NJ,USA,USA
EVOL,1985,39,NA,1314,Henry,S,Horn,Henry S Horn,AE,SE,Princeton University,,Princeton,NJ,USA,USA
EVOL,1985,39,NA,734,David,,Jablonski,David Jablonski,AE,SE,University of Arizona,,Tuscon,AZ,USA,USA
EVOL,1985,39,NA,3156,Roger,,Milkman,Roger Milkman,Editor,EIC,University of Iowa,,Iowa City,IA,USA,USA
EVOL,1985,39,NA,1772,Jeffry,B,Mitton,Jeffry B Mitton,Special.Editor,SPECIAL, University of Colorado,,Denver,CO,USA,USA
EVOL,1985,39,NA,797,David,L,Nanney,David L Nanney,Special.Editor,SPECIAL, University of Illinois,,Champaign,IL,USA,USA
EVOL,1985,39,NA,858,Douglas,W,Schemske,Douglas W Schemske,AE,SE, University of Chicago,,Chicago,IL,USA,USA
EVOL,1985,39,NA,2565,Montgomery,,Slatkin,Montgomery Slatkin,AE,SE,University of Washington,,Seattle,WA,USA,USA
EVOL,1985,39,NA,1882,Janice,B,Spofford,Janice B Spofford,AE,SE, University of Chicago,,Chicago,IL,USA,USA
EVOL,1985,39,NA,573,Curtis,,Strobeck,Curtis Strobeck,AE,SE,University of Alberta,,Edmonton,AB,Canada,CAN
EVOL,1985,39,NA,3499,Stephen,Green,Weller,Stephen Green Weller,AE,SE,University of Illimois at Chicago,,Chicago,IL,USA,USA
EVOL,1986,40,NA,3709,William,R,Atchley,William R Atchley,AE,SE, University of Wisconsin,,Madison,WI,USA,USA
EVOL,1986,40,NA,31,Allan,M,Campbell,Allan M Campbell,Special.Editor,SPECIAL, Stanford University,,Stanford,CA,USA,USA
EVOL,1986,40,NA,3521,Ted,J,Case,Ted J Case,AE,SE, University of California at San Diego,,La Jolla,CA,USA,USA
EVOL,1986,40,NA,648,Deborah,,Charlesworth,Deborah Charlesworth,AE,SE,University of Chicago,,Chicago,IL,USA,USA
EVOL,1986,40,NA,943,Eric,L,Charnov,Eric L Charnov,AE,SE, University of Utah,,Salt Lake City,UT,USA,USA
EVOL,1986,40,NA,1509,James,M,Cheverud,James M Cheverud,AE,SE, Northwestern University,,Evanston,IL,USA,USA
EVOL,1986,40,NA,1524,Jerry,A,Coyne,Jerry A Coyne,AE,SE, University of Maryland,,College Park,MD,USA,USA
EVOL,1986,40,NA,3027,Rossiter,H,Crozier,Rossiter H Crozier,AE,SE, University of New South Wales,,Sydney,NSW,Australia,AUS
EVOL,1986,40,NA,1561,John,A,Endler,John A Endler,AE,SE,University of Utah,,Salt Lake City,UT,USA,USA
EVOL,1986,40,NA,3737,William,R,Engels,William R Engels,AE,SE,University of Wisconsin,,Madison,WI,USA,USA
EVOL,1986,40,NA,1579,Joseph,,Frankel,Joseph Frankel,Special.Editor,SPECIAL,University of Iowa,,Iowa City,IA,USA,USA
EVOL,1986,40,NA,734,David,,Jablonski,David Jablonski,AE,SE,University of Chicago,,Chicago,IL,USA,USA
EVOL,1986,40,NA,308,Bruce,,Levin,Bruce Levin,AE,SE,University of Massachusetts- Amherst,,Amherst,MA,USA,USA
EVOL,1986,40,NA,3156,Roger,,Milkman,Roger Milkman,Editor,EIC,University of Iowa,,Iowa City,IA,USA,USA
EVOL,1986,40,NA,1772,Jeffry,B,Mitton,Jeffry B Mitton,Special.Editor,SPECIAL,University of Colorado,,Boulder,CO,USA,USA
EVOL,1986,40,NA,3611,Terumi,,Mukai,Terumi Mukai,AE,SE,Kyushu University,,Fukuoka,Kyushu,Japan,JPN
EVOL,1986,40,NA,797,David,L,Nanney,David L Nanney,Special.Editor,SPECIAL, University of Illinois,,Champaign,IL,USA,USA
EVOL,1986,40,NA,2532,Mark,D,Rausher,Mark D Rausher,AE,SE, Duke University,,Durham,NC,USA,USA
EVOL,1986,40,NA,858,Douglas,W,Schemske,Douglas W Schemske,AE,SE, University of Chicago,,Chicago,IL,USA,USA
EVOL,1986,40,NA,2565,Montgomery,,Slatkin,Montgomery Slatkin,AE,SE,University of California- Berkeley,,Berkeley,CA,USA,USA
EVOL,1986,40,NA,1882,Janice,B,Spofford,Janice B Spofford,AE,SE,University of Chicago,,Chicago,IL,USA,USA
EVOL,1986,40,NA,207,Andrew,Green,Stephenson,Andrew Green Stephenson,AE,SE,Pennsylvania State University,,University Park,PA,USA,USA
EVOL,1986,40,NA,2584,Marcy,K,Uyenoyama,Marcy K Uyenoyama,AE,SE, Duke University,,Durham,NC,USA,USA
EVOL,1986,40,NA,3241,Robert,C,Vrijenhoek,Robert C Vrijenhoek,AE,SE, Rutgers University,,New Brunswick,NJ,USA,USA
EVOL,1986,40,NA,2595,Michael,J,Wade,Michael J Wade,AE,SE, University of Chicago,,Chicago,IL,USA,USA
EVOL,1987,41,NA,1047,Fred,W,Allendorf,Fred W Allendorf,AE,SE, University of Montana,,Missoula,MT,USA,USA
EVOL,1987,41,NA,383,Charles,F,Aquadro,Charles F Aquadro,AE,SE, Cornell University,,Ithaca,NY,USA,USA
EVOL,1987,41,NA,31,Allan,M,Campbell,Allan M Campbell,Special.Editor,SPECIAL, Stanford University,,Stanford,CA,USA,USA
EVOL,1987,41,NA,3521,Ted,J,Case,Ted J Case,AE,SE, University of California at San Diego,,La Jolla,CA,USA,USA
EVOL,1987,41,NA,645,Douglas,R,Cavener,Douglas R Cavener,AE,SE, Vanderbilt University,,Nashville,TN,USA,USA
EVOL,1987,41,NA,648,Deborah,,Charlesworth,Deborah Charlesworth,AE,SE,University of Chicago,,Chicago,IL,USA,USA
EVOL,1987,41,NA,1509,James,M,Cheverud,James M Cheverud,AE,SE, Northwestern University,,Evanston,IL,USA,USA
EVOL,1987,41,NA,1524,Jerry,A,Coyne,Jerry A Coyne,AE,SE, University of Chicago,,Chicago,IL,USA,USA
EVOL,1987,41,NA,1561,John,A,Endler,John A Endler,AE,SE,University of Utah,,Salt Lake City,UT,USA,USA
EVOL,1987,41,NA,1579,Joseph,,Frankel,Joseph Frankel,Special.Editor,SPECIAL,University of Iowa,,Iowa City,IA,USA,USA
EVOL,1987,41,NA,1620,James,L,Hamrick,James L Hamrick,AE,SE, University of Georgia,,Athens,GA,USA,USA
EVOL,1987,41,NA,308,Bruce,,Levin,Bruce Levin,AE,SE,University of Massachusetts- Amherst,,Amherst,MA,USA,USA
EVOL,1987,41,NA,1772,Jeffry,B,Mitton,Jeffry B Mitton,Special.Editor,SPECIAL,University of Colorado,,Boulder,CO,USA,USA
EVOL,1987,41,NA,3774,William,S,Moore,William S Moore,AE,SE, Wayne State University,,Detroit,MI,USA,USA
EVOL,1987,41,NA,3611,Terumi,,Mukai,Terumi Mukai,AE,SE,Kyushu University,,Fukuoka,Kyushu,Japan,JPN
EVOL,1987,41,NA,797,David,L,Nanney,David L Nanney,Special.Editor,SPECIAL,University of Illinois,,Champaign,IL,USA,USA
EVOL,1987,41,NA,332,Brian,,Nichols,Brian Nichols,AE,SE,University of Illimois at Chicago,,Chicago,IL,USA,USA
EVOL,1987,41,NA,2532,Mark,D,Rausher,Mark D Rausher,AE,SE, Duke University,,Durham,NC,USA,USA
EVOL,1987,41,NA,858,Douglas,W,Schemske,Douglas W Schemske,AE,SE,University of Chicago,,Chicago,IL,USA,USA
EVOL,1987,41,NA,864,Daniel,J,Schoen,Daniel J Schoen,AE,SE, McGill University,,Montreal,QC,Canada,CAN
EVOL,1987,41,NA,2565,Montgomery,,Slatkin,Montgomery Slatkin,AE,SE,University of California- Berkeley,,Berkeley,CA,USA,USA
EVOL,1987,41,NA,1882,Janice,B,Spofford,Janice B Spofford,AE,SE,University of Chicago,,Chicago,IL,USA,USA
EVOL,1987,41,NA,207,Andrew,Green,Stephenson,Andrew Green Stephenson,AE,SE,Pennsylvania State University,,University Park,PA,USA,USA
EVOL,1987,41,NA,2584,Marcy,K,Uyenoyama,Marcy K Uyenoyama,AE,SE,Duke University,,Durham,NC,USA,USA
EVOL,1987,41,NA,3241,Robert,C,Vrijenhoek,Robert C Vrijenhoek,Editor,EIC,Rutgers Univeristy,,New Brunswick,NJ,USA,USA
EVOL,1988,42,NA,1047,Fred,W,Allendorf,Fred W Allendorf,AE,SE,Univeristy of Montana,,Missoula,MT,USA,USA
EVOL,1988,42,NA,383,Charles,F,Aquadro,Charles F Aquadro,AE,SE, Cornell University,,Ithaca,NY,USA,USA
EVOL,1988,42,NA,1288,H,Jane,Brockmann,H Jane Brockmann,AE,SE,University of Florida,,Gainesville,FL,USA,USA
EVOL,1988,42,NA,31,Allan,M,Campbell,Allan M Campbell,Special.Editor,SPECIAL,Stanford University,,Stanford,CA,USA,USA
EVOL,1988,42,NA,645,Douglas,R,Cavener,Douglas R Cavener,AE,SE,Vanderbilt University,,Nashville,TN,USA,USA
EVOL,1988,42,NA,648,Deborah,,Charlesworth,Deborah Charlesworth,AE,SE,University of Chicago,,Chicago,IL,USA,USA
EVOL,1988,42,NA,1509,James,M,Cheverud,James M Cheverud,AE,SE, Northwestern University,,Evanston,IL,USA,USA
EVOL,1988,42,NA,1524,Jerry,A,Coyne,Jerry A Coyne,AE,SE,University of Chicago,,Chicago,CA,USA,USA
EVOL,1988,42,NA,1168,Gerdien,,DeJong,Gerdien DeJong,AE,SE,University of Utrecht,,Utrecht,Utrecht,Netherlands,NLD
EVOL,1988,42,NA,1561,John,A,Endler,John A Endler,Special.Editor,SPECIAL,University of California- Santa Barbara,,Santa Barbara,CA,USA,USA
EVOL,1988,42,NA,1620,James,L,Hamrick,James L Hamrick,AE,SE,University of Georgia,,Athens,GA,USA,USA
EVOL,1988,42,NA,3348,Steven,N,Handel,Steven N Handel,AE,SE, Rutgers University,,New Brunswick,NJ,USA,USA
EVOL,1988,42,NA,2825,Philip,W,Hedrick,Philip W Hedrick,AE,SE,University of Kansas,,Lawrence,KS,USA,USA
EVOL,1988,42,NA,1654,John,,Jaenike,John Jaenike,AE,SE,University of Rochester,,Rochester,NY,USA,USA
EVOL,1988,42,NA,2433,Margaret,Green,Kidwell,Margaret Green Kidwell,AE,SE,University of Arizona,,Tuscon,AZ,USA,USA
EVOL,1988,42,NA,2041,Karel,F,Liem,Karel F Liem,AE,SE, Harvard University,,Cambridge,MA,USA,USA
EVOL,1988,42,NA,2456,Michael,R,Lynch,Michael R Lynch,AE,SE,University of Illinois,,Champaign,IL,USA,USA
EVOL,1988,42,NA,3154,Richard,E,Michod,Richard E Michod,Special.Editor,SPECIAL,University of Arizona,,Tuscon,AZ,USA,USA
EVOL,1988,42,NA,1772,Jeffry,B,Mitton,Jeffry B Mitton,Special.Editor,SPECIAL,University of Colorado,,Boulder,CO,USA,USA
EVOL,1988,42,NA,3774,William,S,Moore,William S Moore,AE,SE, Wayne State University,,Detroit,MI,USA,USA
EVOL,1988,42,NA,3611,Terumi,,Mukai,Terumi Mukai,AE,SE,Kyushu University,,Fukuoka,Kyushu,Japan,JPN
EVOL,1988,42,NA,332,Brian,,Nichols,Brian Nichols,AE,SE,University of Illinois at Chicago,,Chicago,IL,USA,USA
EVOL,1988,42,NA,2060,Karl,J,Niklas,Karl J Niklas,AE,SE,Cornell University,,Ithaca,NY,USA,USA
EVOL,1988,42,NA,2532,Mark,D,Rausher,Mark D Rausher,AE,SE, Duke University,,Durham,NC,USA,USA
EVOL,1988,42,NA,864,Daniel,J,Schoen,Daniel J Schoen,AE,SE, McGill University,,Montreal,QC,Canada,CAN
EVOL,1988,42,NA,2919,Peter,E,Smouse,Peter E Smouse,AE,SE,University of Michigan,,Ann Arbor,MI,USA,USA
EVOL,1988,42,NA,2695,Nils,CHR,Stenseth,Nils CHR Stenseth,AE,SE,University of Oslo,,Oslo,Ostlandet,Norway,NOR
EVOL,1988,42,NA,207,Andrew,Green,Stephenson,Andrew Green Stephenson,AE,SE,Pennsylvania State University,,University Park,PA,USA,USA
EVOL,1988,42,NA,885,David,L,Swofford,David L Swofford,Special.Editor,SPECIAL,Illinois Natural History Survey ,,Champaign,IL,USA,USA
EVOL,1988,42,NA,2584,Marcy,K,Uyenoyama,Marcy K Uyenoyama,AE,SE,Duke University,,Durham,NC,USA,USA
EVOL,1988,42,NA,3241,Robert,C,Vrijenhoek,Robert C Vrijenhoek,Editor,EIC,Rutgers Univeristy,,New Brunswick,NJ,USA,USA
EVOL,1989,43,NA,1047,Fred,W,Allendorf,Fred W Allendorf,AE,SE,University of Montana,,Missoula,MT,USA,USA
EVOL,1989,43,NA,1442,Jonathan,,Arnold,Jonathan Arnold,AE,SE,University of Georgia,,Athens,GA,USA,USA
EVOL,1989,43,NA,3276,Spencer,Ch,Barrett,Spencer Ch Barrett,AE,SE, University of Toronto,,Toronto,ON,Canada,CAN
EVOL,1989,43,NA,1288,H,Jane,Brockmann,H Jane Brockmann,AE,SE,University of Florida,,Gainesville,FL,USA,USA
EVOL,1989,43,NA,2314,Michael,Green,Bulmer,Michael Green Bulmer,AE,SE,University of Oxford,,Oxford,Oxfordshire,United Kingdom,GBR
