JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
FEM,1984,8,1,2233,Laurence,,Roche,Laurence Roche,EIC,EIC,University College of North West Bangor,Department of Forestry and Wood Science,Bangor,,UK,GBR
FEM,1984,8,1,1048,Folke,,Andersson,Folke Andersson,Editorial.Advisory.Board,SE,Swedish University of Agricultural Sciences,,Uppsala,,Sweden,SWE
FEM,1984,8,1,,Wilfredo,H,Barrett,WH Barrett,Editorial.Advisory.Board,SE,Centro de Investigaciones y Experiencias Forestales (CIEF),,Buenos Aires,,Argentina,ARG
FEM,1984,8,1,626,David,I,Bevege,David I Bevege,Editorial.Advisory.Board,SE,Australian International Development Bureau,,Beecroft,,Australia,AUS
FEM,1984,8,1,964,E,P,Farrell,E P Farrell,Editorial.Advisory.Board,SE,University College Dublin,,Dublin,,Ireland,IRL
FEM,1984,8,1,711,David,M,Griffin,David M Griffin,Editorial.Advisory.Board,SE,ANUTECH Australian National University,,Canberra,,Australia,AUS
FEM,1984,8,1,,Hans,H,Hattemer,Hans H Hattemer,Editorial.Advisory.Board,SE,Georg-August-Universitat Gottingen,,Gottingen,,Germany,DEU
FEM,1984,8,1,3895,J,J,Havel,J J Havel,Editorial.Advisory.Board,SE,Forests Department of Western Australia,,Perth,,Australia,AUS
FEM,1984,8,1,3751,Wenyu,,Hsiung,Wenyu Hsiung,Editorial.Advisory.Board,SE,Nanjing Forestry University,,Nanjing,,China,CHN
FEM,1984,8,1,3383,Stanley,L,Krugman,Stanley L Krugman,Editorial.Advisory.Board,SE,USDA Forest Service,,Washington DC,Washington DC,USA,USA
FEM,1984,8,1,1693,Joe,J,Landsberg,Joe J Landsberg,Editorial.Advisory.Board,SE,Commonwealth Scientific and Industrial Research Organisation CSIRO,,Canberra,,Australia,AUS
FEM,1984,8,1,1695,Jean,Paul,Lanly,Jean Paul Lanly,Editorial.Advisory.Board,SE,Food and Agriculture Organization FAO,Forest Resources Division,Rome,,Italy,ITA
FEM,1984,8,1,1095,F,T,Last,F T Last,Editorial.Advisory.Board,SE,Institute of Terrestrial Ecology ,,Penicuik,,UK,GBR
FEM,1984,8,1,311,Bjorn,O,Lundgren,Bjorn O Lundgren,Editorial.Advisory.Board,SE,International Center for Research in Agroforestry ICRAF,,Nairobi,,Kenya,KEN
FEM,1984,8,1,,Peter,John,McKelvey,Peter John McKelvey,Editorial.Advisory.Board,SE,University of Canterbury,School of Forestry,Christchurch,,New Zealand,NZL
FEM,1984,8,1,3846,Zev,,Naveh,Zev Naveh,Editorial.Advisory.Board,SE,Israel Institute of Technology,Agricultural Engineering,Haifa,,Israel,ISR
FEM,1984,8,1,1113,Frank,J,Newhook,Frank J Newhook,Editorial.Advisory.Board,SE,Department of Scientific and Industrial Research,,Auckland,,New Zealand,NZL
FEM,1984,8,1,1114,Frederick,,Owino,Frederick Owino,Editorial.Advisory.Board,SE,Moi University,Forestry and Wildlife,Nairobi,,Kenya,KEN
FEM,1984,8,1,341,Boyd,W,Post,Boyd W Post,Editorial.Advisory.Board,SE,USDA Forest Service,,Washington DC,Washington DC,USA,USA
FEM,1984,8,1,,L,F,Pravdin,L Pravdin,Editorial.Advisory.Board,SE,Science Academy of the USSR,Laboratory of Forestry,Moscow,,USSR,USSR
FEM,1984,8,1,,M,,Rapp,M Rapp,Editorial.Advisory.Board,SE,Centre National de la Recherche Scientifique,,Montpellier,,France,FRA
FEM,1984,8,1,1030,Earl,L,Stone,Earl L Stone,Editorial.Advisory.Board,SE,University of Florida,Institute of Food and Agricultural Sciences IFAS,Gainesville,Florida,USA,USA
FEM,1984,8,1,2744,Oscar,,Sziklai,Oscar Sziklai,Editorial.Advisory.Board,SE,University of British Columbia,,Vancouver,,Canada,CAN
FEM,1984,8,1,1900,John,C,Tappeiner,John C Tappeiner,Editorial.Advisory.Board,SE,Oregon State University,,Corvallis,Oregon,USA,USA
FEM,1985,10,1,1048,Folke,,Andersson,Folke Andersson,Editorial.Advisory.Board,SE,Swedish University of Agricultural Sciences,,Uppsala,,Sweden,SWE
FEM,1985,10,1,626,David,I,Bevege,David I Bevege,Editorial.Advisory.Board,SE,Australian International Development Bureau,,Beecroft,,Australia,AUS
