JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,INST,COUNTRY,GENDER,CATEGORY,Notes
FUNECOL,1987,1,1,editor,Peter Calow,Sheffield,England,M,EIC,
FUNECOL,1987,1,1,editor,John Grace,Edinburgh,Scotland,M,EIC,
FUNECOL,1987,1,1,editorial review board,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1987,1,1,editorial review board,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1987,1,1,editorial review board,Martyn M Caldwell,Utah,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,John WH Dacey,Woods Hole,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,James R Ehleringer,Utah,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,Graham D Farquhar,Canberra,Australia,M,SE,
FUNECOL,1987,1,1,editorial review board,Tom Fenchel,Copenhagen,Denmark,M,SE,
FUNECOL,1987,1,1,editorial review board,Peter J Grubb,Cambridge,England,M,SE,
FUNECOL,1987,1,1,editorial review board,Peter W Hochachka,Vancouver,Canada,M,SE,
FUNECOL,1987,1,1,editorial review board,Sunao Kawano,Kyoto,Japan,M,SE,
FUNECOL,1987,1,1,editorial review board,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1987,1,1,editorial review board,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,Edward I Newman,Bristol,England,M,SE,
FUNECOL,1987,1,1,editorial review board,john W Porter,Wisconsin,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,John Raven,Dundee,Scotland,M,SE,
FUNECOL,1987,1,1,editorial review board,Robert E Ricklefs,Pennsylvania,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1987,1,1,editorial review board,Richard M Sibly,Reading,England,M,SE,
FUNECOL,1987,1,1,editorial review board,Ward B Watt,Stanford,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,Robin J Wootton,Aberystwyth,Wales,M,SE,
FUNECOL,1988,2,1,editor,Peter Calow,Sheffield,England,M,EIC,
FUNECOL,1988,2,1,editor,John Grace,Edinburgh,Scotland,M,EIC,
FUNECOL,1988,2,1,editorial review board,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1988,2,1,editorial review board,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1988,2,1,editorial review board,Martyn M Caldwell,Utah,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,John WH Dacey,Woods Hole,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,James R Ehleringer,Utah,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,Graham D Farquhar,Canberra,Australia,M,SE,
FUNECOL,1988,2,1,editorial review board,Tom Fenchel,Copenhagen,Denmark,M,SE,
FUNECOL,1988,2,1,editorial review board,Peter J Grubb,Cambridge,England,M,SE,
FUNECOL,1988,2,1,editorial review board,Peter W Hochachka,Vancouver,Canada,M,SE,
FUNECOL,1988,2,1,editorial review board,Sunao Kawano,Kyoto,Japan,M,SE,
FUNECOL,1988,2,1,editorial review board,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1988,2,1,editorial review board,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,Edward I Newman,Bristol,England,M,SE,
FUNECOL,1988,2,1,editorial review board,john W Porter,Wisconsin,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,John Raven,Dundee,Scotland,M,SE,
FUNECOL,1988,2,1,editorial review board,Robert E Ricklefs,Pennsylvania,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1988,2,1,editorial review board,Richard M Sibly,Reading,England,M,SE,
FUNECOL,1988,2,1,editorial review board,Ward B Watt,Stanford,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,Robin J Wootton,Aberystwyth,Wales,M,SE,
FUNECOL,1989,3,1,editor,Peter Calow,Sheffield,England,M,EIC,
FUNECOL,1989,3,1,editor,John Grace,Edinburgh,Scotland,M,EIC,
FUNECOL,1989,3,1,editorial review board,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1989,3,1,editorial review board,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1989,3,1,editorial review board,Martyn M Caldwell,Utah,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,John WH Dacey,Woods Hole,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,James R Ehleringer,Utah,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,Graham D Farquhar,Canberra,Australia,M,SE,
FUNECOL,1989,3,1,editorial review board,Tom Fenchel,Copenhagen,Denmark,M,SE,
FUNECOL,1989,3,1,editorial review board,Peter J Grubb,Cambridge,England,M,SE,
FUNECOL,1989,3,1,editorial review board,Peter W Hochachka,Vancouver,Canada,M,SE,
FUNECOL,1989,3,1,editorial review board,Sunao Kawano,Kyoto,Japan,M,SE,
FUNECOL,1989,3,1,editorial review board,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1989,3,1,editorial review board,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,Edward I Newman,Bristol,England,M,SE,
FUNECOL,1989,3,1,editorial review board,john W Porter,Wisconsin,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,John Raven,Dundee,Scotland,M,SE,
FUNECOL,1989,3,1,editorial review board,Robert E Ricklefs,Pennsylvania,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1989,3,1,editorial review board,Richard M Sibly,Reading,England,M,SE,
FUNECOL,1989,3,1,editorial review board,Ward B Watt,Stanford,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,Robin J Wootton,Aberystwyth,Wales,M,SE,
FUNECOL,1990,4,1,editor,Peter Calow,Sheffield,England,M,EIC,
FUNECOL,1990,4,1,editor,John Grace,Edinburgh,Scotland,M,EIC,
FUNECOL,1990,4,1,editorial review board,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1990,4,1,editorial review board,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1990,4,1,editorial review board,Martyn M Caldwell,Utah,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,John WH Dacey,Woods Hole,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,James R Ehleringer,Utah,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,Graham D Farquhar,Canberra,Australia,M,SE,
FUNECOL,1990,4,1,editorial review board,Tom Fenchel,Copenhagen,Denmark,M,SE,
FUNECOL,1990,4,1,editorial review board,Peter J Grubb,Cambridge,England,M,SE,
FUNECOL,1990,4,1,editorial review board,Peter W Hochachka,Vancouver,Canada,M,SE,
FUNECOL,1990,4,1,editorial review board,Sunao Kawano,Kyoto,Japan,M,SE,
FUNECOL,1990,4,1,editorial review board,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1990,4,1,editorial review board,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,Edward I Newman,Bristol,England,M,SE,
FUNECOL,1990,4,1,editorial review board,john W Porter,Wisconsin,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,John Raven,Dundee,Scotland,M,SE,
FUNECOL,1990,4,1,editorial review board,Robert E Ricklefs,Pennsylvania,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1990,4,1,editorial review board,Richard M Sibly,Reading,England,M,SE,
FUNECOL,1990,4,1,editorial review board,Ward B Watt,Stanford,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,Robin J Wootton,Aberystwyth,Wales,M,SE,
FUNECOL,1991,5,1,editor,Peter Calow,Sheffield,England,M,EIC,
FUNECOL,1991,5,1,editor,John Grace,Edinburgh,Scotland,M,EIC,
FUNECOL,1991,5,1,editorial review board,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1991,5,1,editorial review board,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1991,5,1,editorial review board,Martyn M Caldwell,Utah,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,John WH Dacey,Woods Hole,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,James R Ehleringer,Utah,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,Graham D Farquhar,Canberra,Australia,M,SE,
FUNECOL,1991,5,1,editorial review board,Tom Fenchel,Copenhagen,Denmark,M,SE,
FUNECOL,1991,5,1,editorial review board,Peter J Grubb,Cambridge,England,M,SE,
FUNECOL,1991,5,1,editorial review board,Peter W Hochachka,Vancouver,Canada,M,SE,
FUNECOL,1991,5,1,editorial review board,Sunao Kawano,Kyoto,Japan,M,SE,
FUNECOL,1991,5,1,editorial review board,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1991,5,1,editorial review board,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,Edward I Newman,Bristol,England,M,SE,
FUNECOL,1991,5,1,editorial review board,john W Porter,Wisconsin,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,John Raven,Dundee,Scotland,M,SE,
FUNECOL,1991,5,1,editorial review board,Robert E Ricklefs,Pennsylvania,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1991,5,1,editorial review board,Richard M Sibly,Reading,England,M,SE,
FUNECOL,1991,5,1,editorial review board,Ward B Watt,Stanford,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,Robin J Wootton,Aberystwyth,Wales,M,SE,
FUNECOL,1992,6,1,editor,Peter Calow,Sheffield,England,M,EIC,
FUNECOL,1992,6,1,editor,John Grace,Edinburgh,Scotland,M,EIC,
FUNECOL,1992,6,1,editorial review board,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1992,6,1,editorial review board,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1992,6,1,editorial review board,Martyn M Caldwell,Utah,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,John WH Dacey,Woods Hole,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,James R Ehleringer,Utah,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,Graham D Farquhar,Canberra,Australia,M,SE,
FUNECOL,1992,6,1,editorial review board,Tom Fenchel,Copenhagen,Denmark,M,SE,
FUNECOL,1992,6,1,editorial review board,Peter J Grubb,Cambridge,England,M,SE,
FUNECOL,1992,6,1,editorial review board,Peter W Hochachka,Vancouver,Canada,M,SE,
FUNECOL,1992,6,1,editorial review board,Sunao Kawano,Kyoto,Japan,M,SE,
FUNECOL,1992,6,1,editorial review board,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1992,6,1,editorial review board,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,Edward I Newman,Bristol,England,M,SE,
FUNECOL,1992,6,1,editorial review board,john W Porter,Wisconsin,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,John Raven,Dundee,Scotland,M,SE,
FUNECOL,1992,6,1,editorial review board,Robert E Ricklefs,Pennsylvania,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,1992,6,1,editorial review board,Richard M Sibly,Reading,England,M,SE,
FUNECOL,1992,6,1,editorial review board,Ward B Watt,Stanford,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,Robin J Wootton,Aberystwyth,Wales,M,SE,
FUNECOL,1993,7,1,editor,Peter Calow,Sheffield,England,M,EIC,
FUNECOL,1993,7,1,editor,John Grace,Edinburgh,Scotland,M,EIC,
FUNECOL,1993,7,1,editorial review board,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1993,7,1,editorial review board,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1993,7,1,editorial review board,Martyn M Caldwell,Utah,USA,M,SE,
FUNECOL,1993,7,1,editorial review board,John WH Dacey,Woods Hole,USA,M,SE,
FUNECOL,1993,7,1,editorial review board,James R Ehleringer,Utah,USA,M,SE,
FUNECOL,1993,7,1,editorial review board,Graham D Farquhar,Canberra,Australia,M,SE,
FUNECOL,1993,7,1,editorial review board,Tom Fenchel,Copenhagen,Denmark,M,SE,
FUNECOL,1993,7,1,editorial review board,Peter J Grubb,Cambridge,England,M,SE,
FUNECOL,1993,7,1,editorial review board,Peter W Hochachka,Vancouver,Canada,M,SE,
FUNECOL,1993,7,1,editorial review board,Sunao Kawano,Kyoto,Japan,M,SE,
FUNECOL,1993,7,1,editorial review board,Christian Korner,Innsbruck,Austria,M,SE,
