JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,,COUNTRY,GENDER,CATEGORY,NOTES,INST
GCB,1995,1,1,Chief Editor,Steve Long,,UK,M,,,University of Essex
GCB,1995,1,1,Managing Editor,Harry Smith,,UK,M,,,University of Lancaster
GCB,1995,1,1,Editor,Jeff Bale,,UK,M,,,University of Birmingham
GCB,1995,1,1,Editor,Paul Falkowski,,UK,M,,,Brookhaven National Laboratory
GCB,1995,1,1,Editor,Chris Field,,UK,M,,,Carnegie Institution
GCB,1995,1,1,Editor,Jim Prosser,,UK,M,,,University of Aberdeen
GCB,1995,1,1,Production Editor,Richard Spilsbury,,UK,M,,,Blackwell Science Ltd
GCB,1995,1,1,Editorial Advisory Board,Marilyn Ball,,Australia,F,,,
GCB,1995,1,1,Editorial Advisory Board,Fakhri Bazzaz,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Max Beran,,UK,M,,,
GCB,1995,1,1,Editorial Advisory Board,Tom H Blackburn,,Denmark,M,,,
GCB,1995,1,1,Editorial Advisory Board,Bill Block,,UK,M,,,
GCB,1995,1,1,Editorial Advisory Board,Gordan Bonan,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Sandra Brown,,USA,F,,,
GCB,1995,1,1,Editorial Advisory Board,Doug Capone,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Bruce E Chalker,,Australia,M,,,
GCB,1995,1,1,Editorial Advisory Board,James S Clark,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Roger C Dahlman,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Bert G Drake,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Inez Fung,,Canada,F,,,
GCB,1995,1,1,Editorial Advisory Board,Ilkka Hanski,,Finland,M,,,
GCB,1995,1,1,Editorial Advisory Board,Ann Henderson-Sellers,,Australia,F,,,
GCB,1995,1,1,Editorial Advisory Board,Tadaki Hirose,,Japan,M,,,
GCB,1995,1,1,Editorial Advisory Board,Patrick Holligan,,UK,M,,,
GCB,1995,1,1,Editorial Advisory Board,R L Jefferies,,Canada,M,,,
GCB,1995,1,1,Editorial Advisory Board,Peter Kareiva,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Bruce A Kimball,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Roger Knowles,,Canada,M,,,
GCB,1995,1,1,Editorial Advisory Board,Christian Korner,,Switzerland,M,,,
GCB,1995,1,1,Editorial Advisory Board,Jeffrey Levinton,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Pamela Matson,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Hal Mooney,,USA,M,,,
GCB,1995,1,1,Editorial Advisory Board,Marianne Mousseau,,France,F,,,
GCB,1995,1,1,Editorial Advisory Board,JC Murrell,,UK,M,,,
GCB,1995,1,1,Editorial Advisory Board,Hugo Rogers,,USA,M,,,
GCB,1996,2,,Chief Editor,Steve Long,,UK,M,,,University of Essex
GCB,1996,2,,Managing Editor,Harry Smith,,UK,M,,,University of Leichester
GCB,1996,2,,Editor,Jeff Bale,,UK,M,,,University of Birmingham
GCB,1996,2,,Editor,Paul Falkowski,,UK,M,,,Brookhaven National Laboratory
GCB,1996,2,,Editor,Chris Field,,UK,M,,,Carnegie Institution
GCB,1996,2,,Editor,Jim Prosser,,UK,M,,,University of Aberdeen
GCB,1996,2,,Production Editor,Richard Spilsbury,,UK,M,,,Blackwell Science Ltd
GCB,1996,2,,Editorial Advisory Board,Marilyn Ball,,Australia,F,,,
GCB,1996,2,,Editorial Advisory Board,Fakhri Bazzaz,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Max Beran,,UK,M,,,
GCB,1996,2,,Editorial Advisory Board,Tom H Blackburn,,Denmark,M,,,
GCB,1996,2,,Editorial Advisory Board,Bill Block,,UK,M,,,
GCB,1996,2,,Editorial Advisory Board,Gordan Bonan,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Sandra Brown,,USA,F,,,
GCB,1996,2,,Editorial Advisory Board,Doug Capone,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Bruce E Chalker,,Australia,M,,,
GCB,1996,2,,Editorial Advisory Board,James S Clark,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Roger C Dahlman,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Bert G Drake,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Zvy Dubinsky,,Israel,M,,,
GCB,1996,2,,Editorial Advisory Board,Inez Fung,,Canada,F,,,
GCB,1996,2,,Editorial Advisory Board,Ilkka Hanski,,Finland,M,,,
GCB,1996,2,,Editorial Advisory Board,Ann Henderson-Sellers,,Australia,F,,,
GCB,1996,2,,Editorial Advisory Board,Tadaki Hirose,,Japan,M,,,
GCB,1996,2,,Editorial Advisory Board,Patrick Holligan,,UK,M,,,
GCB,1996,2,,Editorial Advisory Board,R L Jefferies,,Canada,M,,,
GCB,1996,2,,Editorial Advisory Board,Peter Kareiva,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Bruce A Kimball,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Roger Knowles,,Canada,M,,,
GCB,1996,2,,Editorial Advisory Board,Christian Korner,,Switzerland,M,,,
GCB,1996,2,,Editorial Advisory Board,Jeffrey Levinton,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Pamela Matson,,USA,F,,,
GCB,1996,2,,Editorial Advisory Board,Hal Mooney,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Marianne Mousseau,,France,F,,,
GCB,1996,2,,Editorial Advisory Board,JC Murrell,,UK,M,,,
GCB,1996,2,,Editorial Advisory Board,Hugo Rogers,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Osvaldo Sala,,Argentina,M,,,
GCB,1996,2,,Editorial Advisory Board,David Schimel,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,William Schlesinger,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Robert Scholes,,South Africa,M,,,
GCB,1996,2,,Editorial Advisory Board,E-D Schulze,,Germany,M,,,
GCB,1996,2,,Editorial Advisory Board,Hank H Schugart,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Ted Smayda,,USA,M,,,
GCB,1996,2,,Editorial Advisory Board,Keith Smith,,UK,M,,,
GCB,1996,2,,Editorial Advisory Board,Nigel E Stork,,Australia,M,,,
