JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
JANE,1985,54,1,EIC,L,R,Taylor,,England,M,EIC,Doesn't say if it's EIC. Main editor.,"Dept. of Statistics, Rothamsted experimental station"
JANE,1985,54,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Main editor.,Freshwater biological association
JANE,1985,54,1,SE,M,P,Hassell,,England,M,SE,Doesn't say what kinf of editor is ,"Dept. of Biology, Imperial College at Silwood Park"
JANE,1985,54,1,SE,J,H,Lawton,,USA,M,SE,Doesn't say what kinf of editor is ,"Dept. of Biology, University of New York"
JANE,1985,54,1,SE,R,A,Kempton,,England,M,SE,Doesn't say what kinf of editor is ,AFRC Unit of Statistics
JANE,1985,54,1,SE,L,P,Lefkovitch,,Canada,M,SE,Doesn't say what kinf of editor is ,Beaverlodge res farm
JANE,1985,54,1,SE,A,D,McIntyre,,Scotland,M,SE,Doesn't say what kinf of editor is ,Dept. of Agriculture and Fisheries for Scotland
JANE,1985,54,1,SE,C,J,Krebs,,Canada,M,SE,Doesn't say what kinf of editor is ,University of British Columbia
JANE,1985,54,1,SE,J,R,Krebs,,USA,M,SE,Doesn't say what kinf of editor is ,Princeton University
JANE,1985,54,1,SE,R,HK,Mann,,Poland,M,SE,Doesn't say what kinf of editor is ,University Lodz
JANE,1985,54,1,SE,J,B,Whittaker,,England,M,SE,Doesn't say what kinf of editor is ,"Dept. of Biological Sciences, Lancaster University"
