JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST_Prior_class,INST,UNIT,CITY,STATE,COUNTRY,geo.code,COUNTRY_Prior_Class,geo.code_Prior_Class
JAPE,1985,22,1,242,B,L,Bayne,B L Bayne,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,629,David,E,Bignell,David E Bignell,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,3714,William,C,Block,William C Block,Editor,EIC,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,24,Anthony,David,Bradshaw,Anthony David Bradshaw,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,1521,J,P,Cooper,J P Cooper,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,1531,John,Patrick,Croxall,John Patrick Croxall,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,3048,Ron,W,Edwards,Ron W Edwards,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,3569,Tom,C,Hutchinson,Tom C Hutchinson,Review.Board,SE,Trent University,NoInst,,NoCity,NoState,Canada,CAN,Canada,CAN
JAPE,1985,22,1,3150,Roger,,Mead,Roger Mead,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,1773,John,Lennox,Monteith,John Lennox Monteith,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,2484,Michael,Green,Morris,Michael Green Morris,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,3784,Wendy,A,Rees,Wendy A Rees,Review.Board,SE,Mount Makulu Research Station,NoInst,,NoCity,NoState,Zambia,ZMB,Zambia,ZMB
JAPE,1985,22,1,3630,T,M,Roberts,T M Roberts,Editor,EIC,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,186,Arthur,John,Rutter,Arthur John Rutter,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,3222,Roy,W,Snaydon,Roy W Snaydon,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1985,22,1,1884,Janet,I,Sprent,Janet I Sprent,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1986,23,1,242,B,L,Bayne,B L Bayne,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,629,David,E,Bignell,David E Bignell,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,3714,William,C,Block,William C Block,Editor,EIC,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,2629,Nigel,,Bonner,Nigel Bonner,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1986,23,1,24,Anthony,David,Bradshaw,Anthony David Bradshaw,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,1521,J,P,Cooper,J P Cooper,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,1531,John,Patrick,Croxall,John Patrick Croxall,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,3048,Ron,W,Edwards,Ron W Edwards,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,3569,Tom,C,Hutchinson,Tom C Hutchinson,Review.Board,SE,Trent University,,,,,Canada,CAN,Canada,CAN
JAPE,1986,23,1,3150,Roger,,Mead,Roger Mead,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,1773,John,Lennox,Monteith,John Lennox Monteith,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,2484,Michael,Green,Morris,Michael Green Morris,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,3784,Wendy,A,Rees,Wendy A Rees,Review.Board,SE,Mount Makulu Research Station,,,,,Zambia,ZMB,Zambia,ZMB
JAPE,1986,23,1,3630,T,M,Roberts,T M Roberts,Editor,EIC,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,2910,Peter,,Rothery,Peter Rothery,Review.Board,SE,,NoInst,,NoCity,NoState,UK,GBR,UK,GBR
JAPE,1986,23,1,186,Arthur,John,Rutter,Arthur John Rutter,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,3222,Roy,W,Snaydon,Roy W Snaydon,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1986,23,1,1884,Janet,I,Sprent,Janet I Sprent,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1987,24,1,242,B,L,Bayne,B L Bayne,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1987,24,1,629,David,E,Bignell,David E Bignell,Review.Board,SE,,,,,,UK,GBR,UK,GBR
JAPE,1987,24,1,3714,William,C,Block,William C Block,Editor,EIC,,,,,,UK,GBR,UK,GBR
