JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
JBIOG,1985,12,1,2758,Peter,Shaw,Ashton,Peter Shaw Ashton,Editorial.Advisory.Board,SE,Arnold Arboretum Of Harvard University,,,,United States,USA
JBIOG,1985,12,1,932,Eduard,MeineVanZinderen,Bakker,Eduard MeineVanZinderen Bakker,Editorial.Advisory.Board,SE,"Institute For Environmental Studies, University Of Orange Free State",,,,South Africa,ZAF
JBIOG,1985,12,1,426,C,Barry,Cox,C Barry Cox,Editorial.Advisory.Board,SE,"Department Of Zoology, King'S College",,,,UK,GBR
JBIOG,1985,12,1,2790,Pierre,,Dansereau,Pierre Dansereau,Editorial.Advisory.Board,SE,,,,,Canada,CAN
JBIOG,1985,12,1,3317,Sir,Richard,Doll,Sir Richard Doll,Editorial.Advisory.Board,SE,"Department Of Medicine, University Of Oxford",,,,UK,GBR
JBIOG,1985,12,1,1574,John,,Flenley,John Flenley,Editor,AE,,,,,United States,USA
JBIOG,1985,12,1,94,Anthony,,Hallam,Anthony Hallam,Editorial.Advisory.Board,SE,,,,,UK,GBR
JBIOG,1985,12,1,3560,Tim,,Halliday,Tim Halliday,Editorial.Advisory.Board,SE,,,,,UK,GBR
JBIOG,1985,12,1,1078,Frederick,Keneth,Hare,Frederick Keneth Hare,Editorial.Advisory.Board,SE,"Department Of Geography, University Of Toronto",,,,Canada,CAN
JBIOG,1985,12,1,475,Carolyn,,Harrison,Carolyn Harrison,Editorial.Advisory.Board,SE,,,,,UK,GBR
JBIOG,1985,12,1,2832,Peter,,Holland,Peter Holland,Associate.Editor,SE,,,,,New Zealand,NZL
JBIOG,1985,12,1,117,Allen,,Keast,Allen Keast,Editorial.Advisory.Board,SE,,,,,Canada,CAN
JBIOG,1985,12,1,1328,Helmut,,Lieth,Helmut Lieth,Editorial.Advisory.Board,SE,,,,,Germany,DEU
JBIOG,1985,12,1,2877,Peter,,Muller,Peter Muller,Editorial.Advisory.Board,SE,,,,,Germany,DEU
JBIOG,1985,12,1,2889,Peter,A,Parsons,Peter A Parsons,Editorial.Advisory.Board,SE,"Department Of Genetics And Human Variation, La Trobe University",,,,Australia,AUS
JBIOG,1985,12,1,2903,Peter,H,Raven,Peter H Raven,Editorial.Advisory.Board,SE,Missouri Botanical Garden,,,,United States,USA
JBIOG,1985,12,1,3906,Jonathan,D,Sauer,Jonathan D Sauer,Editorial.Advisory.Board,SE,"Department Of Geography, University Of California At Los Angeles",,,,United States,USA
JBIOG,1985,12,1,867,Daniel,,Simberloff,Daniel Simberloff,Associate.Editor,SE,,,,,United States,USA
JBIOG,1985,12,1,1134,Forest,,Stearns,Forest Stearns,Editorial.Advisory.Board,SE,,,,,United States,USA
JBIOG,1985,12,1,2927,Philip,,Stott,Philip Stott,Reviews.Editor,SPECIAL,,,,,UK,GBR
