JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
JECOL,1985,73,1,1564,John,R,Etherington,John R Etherington,SE,SE,,,,,UK,GBR
JECOL,1985,73,1,3892,J,,Grace,J Grace,SE,SE,,,,,UK,GBR
JECOL,1985,73,1,1608,J,Philip,Grime,J Philip Grime,SE,SE,,,,,UK,GBR
JECOL,1985,73,1,289,B,,Hopkins,B Hopkins,EIC,EIC,,,,,UK,GBR
JECOL,1985,73,1,292,B,,Huntley,B Huntley,SE,SE,,,,,UK,GBR
JECOL,1985,73,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,,,,,UK,GBR
JECOL,1985,73,1,1704,John,A,Lee,John A Lee,AE,AE,,,,,UK,GBR
JECOL,1985,73,1,330,Brian,,Moss,Brian Moss,AE,AE,,,,,UK,GBR
JECOL,1985,73,1,2583,Michael,B,Usher,Michael B Usher,SE,SE,,,,,UK,GBR
JECOL,1985,73,1,3874,D,A,Williams,D A Williams,SE,SE,,,,,UK,GBR
JECOL,1986,74,1,1564,John,R,Etherington,John R Etherington,SE,SE,,,,,UK,GBR
JECOL,1986,74,1,1608,J,P,Grime,J P Grime,SE,SE,,,,,UK,GBR
JECOL,1986,74,1,292,B,,Huntley,B Huntley,SE,SE,,,,,UK,GBR
JECOL,1986,74,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,,,,,UK,GBR
JECOL,1986,74,1,1704,John,,Lee,John Lee,AE,AE,,,,,UK,GBR
JECOL,1986,74,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,,,,,USA,USA
JECOL,1986,74,1,330,Brian,,Moss,Brian Moss,EIC,EIC,,,,,UK,GBR
JECOL,1986,74,1,2583,Michael,B,Usher,Michael B Usher,SE,SE,,,,,UK,GBR
JECOL,1986,74,1,3911,James,,White,James White,AE,AE,,,,,Ireland,IRL
JECOL,1986,74,1,3874,D,A,Williams,D A Williams,SE,SE,,,,,UK,GBR
JECOL,1987,75,1,1519,John,,Connolly,John Connolly,SE,SE,,,,,Ireland,IRL
JECOL,1987,75,1,2338,M,J,Crawley,M J Crawley,SE,SE,,,,,UK,GBR
JECOL,1987,75,1,1564,John,R,Etherington,John R Etherington,SE,SE,,,,,UK,GBR
JECOL,1987,75,1,291,B,,Huntely,B Huntely,SE,SE,,,,,UK,GBR
JECOL,1987,75,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,,,,,UK,GBR
JECOL,1987,75,1,130,Alan,J,Lack,Alan J Lack,SE,SE,,,,,UK,GBR
JECOL,1987,75,1,1704,John,,Lee,John Lee,AE,AE,,,,,UK,GBR
JECOL,1987,75,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,,,,,USA,USA
JECOL,1987,75,1,330,Brian,,Moss,Brian Moss,EIC,EIC,,,,,UK,GBR
JECOL,1987,75,1,3911,James,,White,James White,AE,AE,,,,,Ireland,IRL
JECOL,1987,75,1,3874,D,A,Williams,D A Williams,SE,SE,,,,,UK,GBR
JECOL,1988,76,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,,,,,Australia,AUS
JECOL,1988,76,1,1519,John,,Connolly,John Connolly,SE,SE,,,,,Ireland,IRL
JECOL,1988,76,1,2338,M,J,Crawley,M J Crawley,SE,SE,,,,,UK,GBR
JECOL,1988,76,1,1564,John,R,Etherington,John R Etherington,AE,AE,,,,,UK,GBR
JECOL,1988,76,1,292,B,,Huntley,B Huntley,SE,SE,,,,,UK,GBR
JECOL,1988,76,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,,,,,UK,GBR
JECOL,1988,76,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,,,,,Canada,CAN
JECOL,1988,76,1,130,Alan,J,Lack,Alan J Lack,SE,SE,,,,,UK,GBR
JECOL,1988,76,1,1704,John,,Lee,John Lee,EIC,EIC,,,,,UK,GBR
JECOL,1988,76,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,,,,,USA,USA
JECOL,1988,76,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,,,,,UK,GBR
JECOL,1988,76,1,3911,James,,White,James White,AE,AE,,,,,Ireland,IRL
JECOL,1988,76,1,3874,D,A,Williams,D A Williams,SE,SE,,,,,UK,GBR
JECOL,1989,77,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,,,,,Australia,AUS
JECOL,1989,77,1,1519,John,,Connolly,John Connolly,SE,SE,,,,,Ireland,IRL
JECOL,1989,77,1,2338,M,J,Crawley,M J Crawley,SE,SE,,,,,UK,GBR
JECOL,1989,77,1,1564,John,R,Etherington,John R Etherington,AE,AE,,,,,UK,GBR
JECOL,1989,77,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,,,,,UK,GBR
JECOL,1989,77,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,,,,,Canada,CAN
JECOL,1989,77,1,130,Alan,J,Lack,Alan J Lack,SE,SE,,,,,UK,GBR
JECOL,1989,77,1,1704,John,,Lee,John Lee,EIC,EIC,,,,,UK,GBR
JECOL,1989,77,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,,,,,USA,USA
JECOL,1989,77,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,,,,,UK,GBR
JECOL,1989,77,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,,,,,Netherlands,NLD
JECOL,1989,77,1,3911,James,,White,James White,AE,AE,,,,,Ireland,IRL
