no,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,other address,,,,2017 current address,,,
1,JECOL,1985,73,1,1564,John,R,Etherington,John R Etherington,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
2,JECOL,1985,73,1,3892,James ,B.,Grace,J Grace,SE,SE,NoInst,,Baton Rouge,Louisiana,US,USA,University of Arkansas,Fayetteville,Arkansas,USA,"US Geological Survey, National Wetlands, Research Center",Lafayette,Louisiana,USA
3,JECOL,1985,73,1,1608,J,Philip,Grime,J Philip Grime,SE,SE,NoInst,,Sheffield S10 2TN,,UK,GBR,,,,,,,,
4,JECOL,1985,73,1,289,B,,Hopkins,B Hopkins,EIC,EIC,NoInst,,,,UK,GBR,,,,,,,,
5,JECOL,1985,73,1,292,B,,Huntley,B Huntley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
6,JECOL,1985,73,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
7,JECOL,1985,73,1,1704,John,A,Lee,John A Lee,AE,AE,NoInst,,,,UK,GBR,,,,,,,,
8,JECOL,1985,73,1,330,Brian,,Moss,Brian Moss,AE,AE,NoInst,,Norwich,NR4 7TJ,UK,GBR,,,,,,,,
9,JECOL,1985,73,1,2583,Michael,B,Usher,Michael B Usher,SE,SE,NoInst,,York,York Y01 5DD,UK,GBR,University of Stirling,Stirling FK9 4LA,UK,,,,,
10,JECOL,1985,73,1,3874,D,A,Williams,D A Williams,SE,SE,NoInst,,Edinburgh EH9 3JZ,Scotland,UK,GBR,,,,,,,,
11,JECOL,1986,74,1,1564,John,R,Etherington,John R Etherington,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
12,JECOL,1986,74,1,1608,J,P,Grime,J P Grime,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
13,JECOL,1986,74,1,292,B,,Huntley,B Huntley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
14,JECOL,1986,74,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
15,JECOL,1986,74,1,1704,John,,Lee,John Lee,AE,AE,NoInst,,,,UK,GBR,,,,,,,,
16,JECOL,1986,74,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,NoInst,,,,USA,USA,,,,,,,,
17,JECOL,1986,74,1,330,Brian,,Moss,Brian Moss,EIC,EIC,NoInst,,,,UK,GBR,,,,,,,,
18,JECOL,1986,74,1,2583,Michael,B,Usher,Michael B Usher,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
19,JECOL,1986,74,1,3911,James,,White,James White,AE,AE,NoInst,,,,Ireland,IRL,,,,,,,,
20,JECOL,1986,74,1,3874,D,A,Williams,D A Williams,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
21,JECOL,1987,75,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,,,Ireland,IRL,,,,,,,,
22,JECOL,1987,75,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
23,JECOL,1987,75,1,1564,John,R,Etherington,John R Etherington,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
24,JECOL,1987,75,1,291,B,,Huntely,B Huntely,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
25,JECOL,1987,75,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
26,JECOL,1987,75,1,130,Alan,J,Lack,Alan J Lack,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
27,JECOL,1987,75,1,1704,John,,Lee,John Lee,AE,AE,NoInst,,,,UK,GBR,,,,,,,,
28,JECOL,1987,75,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,NoInst,,,,USA,USA,,,,,,,,
29,JECOL,1987,75,1,330,Brian,,Moss,Brian Moss,EIC,EIC,NoInst,,,,UK,GBR,,,,,,,,
30,JECOL,1987,75,1,3911,James,,White,James White,AE,AE,NoInst,,,,Ireland,IRL,,,,,,,,
31,JECOL,1987,75,1,3874,D,A,Williams,D A Williams,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
32,JECOL,1988,76,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NoInst,,,,Australia,AUS,,,,,,,,
33,JECOL,1988,76,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,,,Ireland,IRL,,,,,,,,
34,JECOL,1988,76,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
35,JECOL,1988,76,1,1564,John,R,Etherington,John R Etherington,AE,AE,NoInst,,,,UK,GBR,,,,,,,,
36,JECOL,1988,76,1,292,B,,Huntley,B Huntley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
37,JECOL,1988,76,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
38,JECOL,1988,76,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,,,Canada,CAN,,,,,,,,
39,JECOL,1988,76,1,130,Alan,J,Lack,Alan J Lack,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
40,JECOL,1988,76,1,1704,John,,Lee,John Lee,EIC,EIC,NoInst,,,,UK,GBR,,,,,,,,
41,JECOL,1988,76,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,NoInst,,,,USA,USA,,,,,,,,
42,JECOL,1988,76,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
43,JECOL,1988,76,1,3911,James,,White,James White,AE,AE,NoInst,,,,Ireland,IRL,,,,,,,,
44,JECOL,1988,76,1,3874,D,A,Williams,D A Williams,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
45,JECOL,1989,77,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NoInst,,,,Australia,AUS,,,,,,,,
46,JECOL,1989,77,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,,,Ireland,IRL,,,,,,,,
47,JECOL,1989,77,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
48,JECOL,1989,77,1,1564,John,R,Etherington,John R Etherington,AE,AE,NoInst,,,,UK,GBR,,,,,,,,
49,JECOL,1989,77,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
50,JECOL,1989,77,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,,,Canada,CAN,,,,,,,,
51,JECOL,1989,77,1,130,Alan,J,Lack,Alan J Lack,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
52,JECOL,1989,77,1,1704,John,,Lee,John Lee,EIC,EIC,NoInst,,,,UK,GBR,,,,,,,,
53,JECOL,1989,77,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,NoInst,,,,USA,USA,,,,,,,,
54,JECOL,1989,77,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
55,JECOL,1989,77,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NoInst,,,,Netherlands,NLD,,,,,,,,
56,JECOL,1989,77,1,3911,James,,White,James White,AE,AE,NoInst,,,,Ireland,IRL,,,,,,,,
57,JECOL,1989,77,1,3874,D,A,Williams,D A Williams,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
58,JECOL,1990,78,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NoInst,,,,Australia,AUS,,,,,,,,
59,JECOL,1990,78,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,,,Ireland,IRL,,,,,,,,
60,JECOL,1990,78,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
